[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=bitcount (measured)  cpu1=CACHE  cpu2=PR_CACHE  cpu3=PR_CACHE
[sample=0] cpu=0 bench=bitcount cycles=70986 instructions=24592 cache-misses=33
[sample=1] cpu=0 bench=bitcount cycles=46252 instructions=24586 cache-misses=22
[sample=2] cpu=0 bench=bitcount cycles=30272 instructions=24584 cache-misses=12
[sample=3] cpu=0 bench=bitcount cycles=30197 instructions=24583 cache-misses=5
[sample=4] cpu=0 bench=bitcount cycles=30211 instructions=24584 cache-misses=7
[sample=5] cpu=0 bench=bitcount cycles=30250 instructions=24584 cache-misses=2
[sample=6] cpu=0 bench=bitcount cycles=30215 instructions=24586 cache-misses=2
[sample=7] cpu=0 bench=bitcount cycles=30124 instructions=24584 cache-misses=4
[sample=8] cpu=0 bench=bitcount cycles=30123 instructions=24585 cache-misses=4
[sample=9] cpu=0 bench=bitcount cycles=30156 instructions=24586 cache-misses=4
[sample=10] cpu=0 bench=bitcount cycles=30135 instructions=24585 cache-misses=4
[sample=11] cpu=0 bench=bitcount cycles=30203 instructions=24586 cache-misses=3
[sample=12] cpu=0 bench=bitcount cycles=30225 instructions=24582 cache-misses=9
[sample=13] cpu=0 bench=bitcount cycles=30198 instructions=24585 cache-misses=5
[sample=14] cpu=0 bench=bitcount cycles=30163 instructions=24585 cache-misses=4
[sample=15] cpu=0 bench=bitcount cycles=30162 instructions=24584 cache-misses=5
[sample=16] cpu=0 bench=bitcount cycles=30174 instructions=24584 cache-misses=4
[sample=17] cpu=0 bench=bitcount cycles=30133 instructions=24586 cache-misses=3
[sample=18] cpu=0 bench=bitcount cycles=30159 instructions=24584 cache-misses=8
[sample=19] cpu=0 bench=bitcount cycles=30188 instructions=24584 cache-misses=6
[sample=20] cpu=0 bench=bitcount cycles=30210 instructions=24584 cache-misses=7
[sample=21] cpu=0 bench=bitcount cycles=30163 instructions=24582 cache-misses=5
[sample=22] cpu=0 bench=bitcount cycles=30176 instructions=24582 cache-misses=4
[sample=23] cpu=0 bench=bitcount cycles=30164 instructions=24582 cache-misses=6
[sample=24] cpu=0 bench=bitcount cycles=30126 instructions=24582 cache-misses=5
[sample=25] cpu=0 bench=bitcount cycles=30188 instructions=24582 cache-misses=6
[sample=26] cpu=0 bench=bitcount cycles=30122 instructions=24582 cache-misses=4
[sample=27] cpu=0 bench=bitcount cycles=30206 instructions=24581 cache-misses=5
[sample=28] cpu=0 bench=bitcount cycles=30171 instructions=24581 cache-misses=6
[sample=29] cpu=0 bench=bitcount cycles=30112 instructions=24582 cache-misses=6

# Statistics over 30 samples on cpu0 bench=bitcount (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       30112                70986             32072.13             30175.00
  instructions                 24581                24592             24583.97             24584.00
  cache-misses                     2                   33                 6.67                 5.00
