[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=bitonic (measured)  cpu1=CACHE  cpu2=PR_CACHE  cpu3=MTH_CACHE
[sample=0] cpu=0 bench=bitonic cycles=33122 instructions=18399 cache-misses=14
[sample=1] cpu=0 bench=bitonic cycles=23088 instructions=18393 cache-misses=7
[sample=2] cpu=0 bench=bitonic cycles=21692 instructions=18391 cache-misses=5
[sample=3] cpu=0 bench=bitonic cycles=21712 instructions=18391 cache-misses=2
[sample=4] cpu=0 bench=bitonic cycles=21979 instructions=18391 cache-misses=2
[sample=5] cpu=0 bench=bitonic cycles=21795 instructions=18391 cache-misses=3
[sample=6] cpu=0 bench=bitonic cycles=21784 instructions=18391 cache-misses=2
[sample=7] cpu=0 bench=bitonic cycles=21828 instructions=18391 cache-misses=3
[sample=8] cpu=0 bench=bitonic cycles=22027 instructions=18391 cache-misses=3
[sample=9] cpu=0 bench=bitonic cycles=21988 instructions=18391 cache-misses=3
[sample=10] cpu=0 bench=bitonic cycles=21821 instructions=18391 cache-misses=1
[sample=11] cpu=0 bench=bitonic cycles=21756 instructions=18391 cache-misses=3
[sample=12] cpu=0 bench=bitonic cycles=21798 instructions=18391 cache-misses=2
[sample=13] cpu=0 bench=bitonic cycles=21699 instructions=18391 cache-misses=3
[sample=14] cpu=0 bench=bitonic cycles=30763 instructions=18395 cache-misses=9
[sample=15] cpu=0 bench=bitonic cycles=21961 instructions=18391 cache-misses=4
[sample=16] cpu=0 bench=bitonic cycles=21831 instructions=18391 cache-misses=2
[sample=17] cpu=0 bench=bitonic cycles=21900 instructions=18391 cache-misses=3
[sample=18] cpu=0 bench=bitonic cycles=21796 instructions=18391 cache-misses=3
[sample=19] cpu=0 bench=bitonic cycles=22031 instructions=18391 cache-misses=3
[sample=20] cpu=0 bench=bitonic cycles=21715 instructions=18391 cache-misses=3
[sample=21] cpu=0 bench=bitonic cycles=21811 instructions=18391 cache-misses=3
[sample=22] cpu=0 bench=bitonic cycles=21805 instructions=18391 cache-misses=2
[sample=23] cpu=0 bench=bitonic cycles=21865 instructions=18391 cache-misses=3
[sample=24] cpu=0 bench=bitonic cycles=21715 instructions=18391 cache-misses=3
[sample=25] cpu=0 bench=bitonic cycles=21756 instructions=18391 cache-misses=1
[sample=26] cpu=0 bench=bitonic cycles=21741 instructions=18391 cache-misses=2
[sample=27] cpu=0 bench=bitonic cycles=21876 instructions=18391 cache-misses=6
[sample=28] cpu=0 bench=bitonic cycles=21815 instructions=18391 cache-misses=3
[sample=29] cpu=0 bench=bitonic cycles=21841 instructions=18391 cache-misses=3

# Statistics over 30 samples on cpu0 bench=bitonic (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       21692                33122             22543.70             21818.00
  instructions                 18391                18399             18391.47             18391.00
  cache-misses                     1                   14                 3.53                 3.00
