[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=bitonic (measured)  cpu1=MEM  cpu2=PR_ROWBUF  cpu3=MTH_MEM
[sample=0] cpu=0 bench=bitonic cycles=54311 instructions=18402 cache-misses=12
[sample=1] cpu=0 bench=bitonic cycles=24901 instructions=18392 cache-misses=8
[sample=2] cpu=0 bench=bitonic cycles=22514 instructions=18391 cache-misses=2
[sample=3] cpu=0 bench=bitonic cycles=22023 instructions=18391 cache-misses=1
[sample=4] cpu=0 bench=bitonic cycles=23215 instructions=18394 cache-misses=2
[sample=5] cpu=0 bench=bitonic cycles=42772 instructions=18392 cache-misses=8
[sample=6] cpu=0 bench=bitonic cycles=22998 instructions=18391 cache-misses=3
[sample=7] cpu=0 bench=bitonic cycles=21835 instructions=18391 cache-misses=2
[sample=8] cpu=0 bench=bitonic cycles=21880 instructions=18392 cache-misses=2
[sample=9] cpu=0 bench=bitonic cycles=22017 instructions=18391 cache-misses=1
[sample=10] cpu=0 bench=bitonic cycles=21830 instructions=18391 cache-misses=0
[sample=11] cpu=0 bench=bitonic cycles=21856 instructions=18391 cache-misses=1
[sample=12] cpu=0 bench=bitonic cycles=22092 instructions=18391 cache-misses=0
[sample=13] cpu=0 bench=bitonic cycles=21968 instructions=18391 cache-misses=0
[sample=14] cpu=0 bench=bitonic cycles=22008 instructions=18391 cache-misses=1
[sample=15] cpu=0 bench=bitonic cycles=21922 instructions=18391 cache-misses=1
[sample=16] cpu=0 bench=bitonic cycles=24205 instructions=18391 cache-misses=1
[sample=17] cpu=0 bench=bitonic cycles=25045 instructions=18391 cache-misses=0
[sample=18] cpu=0 bench=bitonic cycles=22131 instructions=18391 cache-misses=2
[sample=19] cpu=0 bench=bitonic cycles=26894 instructions=18391 cache-misses=1
[sample=20] cpu=0 bench=bitonic cycles=22457 instructions=18391 cache-misses=0
[sample=21] cpu=0 bench=bitonic cycles=21918 instructions=18392 cache-misses=1
[sample=22] cpu=0 bench=bitonic cycles=22354 instructions=18391 cache-misses=0
[sample=23] cpu=0 bench=bitonic cycles=22438 instructions=18391 cache-misses=1
[sample=24] cpu=0 bench=bitonic cycles=22328 instructions=18391 cache-misses=0
[sample=25] cpu=0 bench=bitonic cycles=22675 instructions=18391 cache-misses=1
[sample=26] cpu=0 bench=bitonic cycles=23004 instructions=18391 cache-misses=2
[sample=27] cpu=0 bench=bitonic cycles=22340 instructions=18391 cache-misses=1
[sample=28] cpu=0 bench=bitonic cycles=23014 instructions=18391 cache-misses=1
[sample=29] cpu=0 bench=bitonic cycles=22783 instructions=18393 cache-misses=0

# Statistics over 30 samples on cpu0 bench=bitonic (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       21830                54311             24457.60             22396.00
  instructions                 18391                18402             18391.67             18391.00
  cache-misses                     0                   12                 1.83                 1.00
