[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=bitonic (measured)  cpu1=POINTER  cpu2=POINTER  cpu3=PR_CACHE
[sample=0] cpu=0 bench=bitonic cycles=41086 instructions=18398 cache-misses=18
[sample=1] cpu=0 bench=bitonic cycles=28820 instructions=18392 cache-misses=6
[sample=2] cpu=0 bench=bitonic cycles=21790 instructions=18391 cache-misses=4
[sample=3] cpu=0 bench=bitonic cycles=22083 instructions=18391 cache-misses=3
[sample=4] cpu=0 bench=bitonic cycles=21914 instructions=18391 cache-misses=0
[sample=5] cpu=0 bench=bitonic cycles=21845 instructions=18391 cache-misses=2
[sample=6] cpu=0 bench=bitonic cycles=21802 instructions=18391 cache-misses=1
[sample=7] cpu=0 bench=bitonic cycles=21800 instructions=18391 cache-misses=1
[sample=8] cpu=0 bench=bitonic cycles=21665 instructions=18391 cache-misses=2
[sample=9] cpu=0 bench=bitonic cycles=21815 instructions=18391 cache-misses=0
[sample=10] cpu=0 bench=bitonic cycles=21868 instructions=18391 cache-misses=1
[sample=11] cpu=0 bench=bitonic cycles=21944 instructions=18391 cache-misses=2
[sample=12] cpu=0 bench=bitonic cycles=21709 instructions=18391 cache-misses=2
[sample=13] cpu=0 bench=bitonic cycles=21696 instructions=18391 cache-misses=0
[sample=14] cpu=0 bench=bitonic cycles=21680 instructions=18391 cache-misses=1
[sample=15] cpu=0 bench=bitonic cycles=21724 instructions=18391 cache-misses=2
[sample=16] cpu=0 bench=bitonic cycles=21801 instructions=18391 cache-misses=2
[sample=17] cpu=0 bench=bitonic cycles=21737 instructions=18391 cache-misses=1
[sample=18] cpu=0 bench=bitonic cycles=21819 instructions=18391 cache-misses=1
[sample=19] cpu=0 bench=bitonic cycles=21855 instructions=18391 cache-misses=0
[sample=20] cpu=0 bench=bitonic cycles=21742 instructions=18391 cache-misses=2
[sample=21] cpu=0 bench=bitonic cycles=21728 instructions=18391 cache-misses=3
[sample=22] cpu=0 bench=bitonic cycles=21715 instructions=18391 cache-misses=0
[sample=23] cpu=0 bench=bitonic cycles=21782 instructions=18391 cache-misses=4
[sample=24] cpu=0 bench=bitonic cycles=21766 instructions=18391 cache-misses=2
[sample=25] cpu=0 bench=bitonic cycles=21671 instructions=18391 cache-misses=1
[sample=26] cpu=0 bench=bitonic cycles=21827 instructions=18391 cache-misses=1
[sample=27] cpu=0 bench=bitonic cycles=21760 instructions=18391 cache-misses=1
[sample=28] cpu=0 bench=bitonic cycles=21792 instructions=18391 cache-misses=1
[sample=29] cpu=0 bench=bitonic cycles=21767 instructions=18391 cache-misses=1

# Statistics over 30 samples on cpu0 bench=bitonic (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       21665                41086             22666.77             21791.00
  instructions                 18391                18398             18391.27             18391.00
  cache-misses                     0                   18                 2.17                 1.00
