[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=bitonic (measured)  cpu1=PR_CACHE  cpu2=PR_CACHE  cpu3=PR_CACHE
[sample=0] cpu=0 bench=bitonic cycles=39874 instructions=18399 cache-misses=13
[sample=1] cpu=0 bench=bitonic cycles=27494 instructions=18391 cache-misses=9
[sample=2] cpu=0 bench=bitonic cycles=21892 instructions=18391 cache-misses=4
[sample=3] cpu=0 bench=bitonic cycles=21951 instructions=18391 cache-misses=5
[sample=4] cpu=0 bench=bitonic cycles=21690 instructions=18391 cache-misses=4
[sample=5] cpu=0 bench=bitonic cycles=21734 instructions=18391 cache-misses=2
[sample=6] cpu=0 bench=bitonic cycles=21719 instructions=18391 cache-misses=3
[sample=7] cpu=0 bench=bitonic cycles=21812 instructions=18391 cache-misses=4
[sample=8] cpu=0 bench=bitonic cycles=21812 instructions=18391 cache-misses=2
[sample=9] cpu=0 bench=bitonic cycles=21755 instructions=18391 cache-misses=3
[sample=10] cpu=0 bench=bitonic cycles=21756 instructions=18391 cache-misses=2
[sample=11] cpu=0 bench=bitonic cycles=21686 instructions=18391 cache-misses=5
[sample=12] cpu=0 bench=bitonic cycles=21733 instructions=18391 cache-misses=5
[sample=13] cpu=0 bench=bitonic cycles=21770 instructions=18391 cache-misses=2
[sample=14] cpu=0 bench=bitonic cycles=21665 instructions=18391 cache-misses=1
[sample=15] cpu=0 bench=bitonic cycles=21735 instructions=18391 cache-misses=1
[sample=16] cpu=0 bench=bitonic cycles=21763 instructions=18391 cache-misses=4
[sample=17] cpu=0 bench=bitonic cycles=21707 instructions=18391 cache-misses=3
[sample=18] cpu=0 bench=bitonic cycles=21808 instructions=18391 cache-misses=1
[sample=19] cpu=0 bench=bitonic cycles=21826 instructions=18391 cache-misses=3
[sample=20] cpu=0 bench=bitonic cycles=21821 instructions=18391 cache-misses=4
[sample=21] cpu=0 bench=bitonic cycles=21750 instructions=18391 cache-misses=2
[sample=22] cpu=0 bench=bitonic cycles=21735 instructions=18391 cache-misses=5
[sample=23] cpu=0 bench=bitonic cycles=21707 instructions=18391 cache-misses=3
[sample=24] cpu=0 bench=bitonic cycles=21885 instructions=18391 cache-misses=3
[sample=25] cpu=0 bench=bitonic cycles=21807 instructions=18391 cache-misses=2
[sample=26] cpu=0 bench=bitonic cycles=21878 instructions=18391 cache-misses=3
[sample=27] cpu=0 bench=bitonic cycles=21834 instructions=18391 cache-misses=2
[sample=28] cpu=0 bench=bitonic cycles=21744 instructions=18391 cache-misses=5
[sample=29] cpu=0 bench=bitonic cycles=21813 instructions=18391 cache-misses=1

# Statistics over 30 samples on cpu0 bench=bitonic (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       21665                39874             22571.87             21766.50
  instructions                 18391                18399             18391.27             18391.00
  cache-misses                     1                   13                 3.53                 3.00
