[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=complex_updates (measured)  cpu1=CACHE  cpu2=BUS  cpu3=MEM
[sample=0] cpu=0 bench=complex_updates cycles=20701 instructions=2558 cache-misses=20
[sample=1] cpu=0 bench=complex_updates cycles=8117 instructions=2554 cache-misses=16
[sample=2] cpu=0 bench=complex_updates cycles=3630 instructions=2553 cache-misses=5
[sample=3] cpu=0 bench=complex_updates cycles=3605 instructions=2553 cache-misses=4
[sample=4] cpu=0 bench=complex_updates cycles=3543 instructions=2553 cache-misses=6
[sample=5] cpu=0 bench=complex_updates cycles=3564 instructions=2553 cache-misses=5
[sample=6] cpu=0 bench=complex_updates cycles=3567 instructions=2553 cache-misses=3
[sample=7] cpu=0 bench=complex_updates cycles=3524 instructions=2553 cache-misses=3
[sample=8] cpu=0 bench=complex_updates cycles=3523 instructions=2553 cache-misses=3
[sample=9] cpu=0 bench=complex_updates cycles=3800 instructions=2553 cache-misses=5
[sample=10] cpu=0 bench=complex_updates cycles=3516 instructions=2553 cache-misses=3
[sample=11] cpu=0 bench=complex_updates cycles=3571 instructions=2553 cache-misses=4
[sample=12] cpu=0 bench=complex_updates cycles=3538 instructions=2553 cache-misses=5
[sample=13] cpu=0 bench=complex_updates cycles=3540 instructions=2553 cache-misses=3
[sample=14] cpu=0 bench=complex_updates cycles=3566 instructions=2553 cache-misses=4
[sample=15] cpu=0 bench=complex_updates cycles=3526 instructions=2553 cache-misses=3
[sample=16] cpu=0 bench=complex_updates cycles=3547 instructions=2553 cache-misses=4
[sample=17] cpu=0 bench=complex_updates cycles=3544 instructions=2553 cache-misses=3
[sample=18] cpu=0 bench=complex_updates cycles=3547 instructions=2553 cache-misses=3
[sample=19] cpu=0 bench=complex_updates cycles=3591 instructions=2553 cache-misses=3
[sample=20] cpu=0 bench=complex_updates cycles=3589 instructions=2553 cache-misses=4
[sample=21] cpu=0 bench=complex_updates cycles=3561 instructions=2553 cache-misses=4
[sample=22] cpu=0 bench=complex_updates cycles=3522 instructions=2553 cache-misses=4
[sample=23] cpu=0 bench=complex_updates cycles=3574 instructions=2553 cache-misses=4
[sample=24] cpu=0 bench=complex_updates cycles=3563 instructions=2553 cache-misses=2
[sample=25] cpu=0 bench=complex_updates cycles=3548 instructions=2553 cache-misses=5
[sample=26] cpu=0 bench=complex_updates cycles=3524 instructions=2553 cache-misses=4
[sample=27] cpu=0 bench=complex_updates cycles=3596 instructions=2553 cache-misses=4
[sample=28] cpu=0 bench=complex_updates cycles=3526 instructions=2553 cache-misses=3
[sample=29] cpu=0 bench=complex_updates cycles=3532 instructions=2553 cache-misses=3

# Statistics over 30 samples on cpu0 bench=complex_updates (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        3516                20701              4286.50              3554.50
  instructions                  2553                 2558              2553.20              2553.00
  cache-misses                     2                   20                 4.73                 4.00
