[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=complex_updates (measured)  cpu1=CACHE  cpu2=BUS  cpu3=MTH_MEM
[sample=0] cpu=0 bench=complex_updates cycles=37809 instructions=2557 cache-misses=26
[sample=1] cpu=0 bench=complex_updates cycles=13476 instructions=2554 cache-misses=13
[sample=2] cpu=0 bench=complex_updates cycles=3679 instructions=2553 cache-misses=6
[sample=3] cpu=0 bench=complex_updates cycles=3691 instructions=2553 cache-misses=5
[sample=4] cpu=0 bench=complex_updates cycles=3870 instructions=2553 cache-misses=2
[sample=5] cpu=0 bench=complex_updates cycles=3925 instructions=2553 cache-misses=2
[sample=6] cpu=0 bench=complex_updates cycles=4166 instructions=2553 cache-misses=2
[sample=7] cpu=0 bench=complex_updates cycles=3627 instructions=2553 cache-misses=1
[sample=8] cpu=0 bench=complex_updates cycles=3630 instructions=2553 cache-misses=2
[sample=9] cpu=0 bench=complex_updates cycles=3825 instructions=2553 cache-misses=1
[sample=10] cpu=0 bench=complex_updates cycles=3847 instructions=2553 cache-misses=2
[sample=11] cpu=0 bench=complex_updates cycles=3975 instructions=2553 cache-misses=1
[sample=12] cpu=0 bench=complex_updates cycles=3866 instructions=2553 cache-misses=1
[sample=13] cpu=0 bench=complex_updates cycles=3888 instructions=2553 cache-misses=2
[sample=14] cpu=0 bench=complex_updates cycles=3611 instructions=2553 cache-misses=2
[sample=15] cpu=0 bench=complex_updates cycles=4082 instructions=2553 cache-misses=2
[sample=16] cpu=0 bench=complex_updates cycles=3666 instructions=2553 cache-misses=3
[sample=17] cpu=0 bench=complex_updates cycles=3662 instructions=2553 cache-misses=2
[sample=18] cpu=0 bench=complex_updates cycles=3671 instructions=2553 cache-misses=1
[sample=19] cpu=0 bench=complex_updates cycles=3841 instructions=2553 cache-misses=2
[sample=20] cpu=0 bench=complex_updates cycles=4127 instructions=2553 cache-misses=3
[sample=21] cpu=0 bench=complex_updates cycles=8130 instructions=2553 cache-misses=0
[sample=22] cpu=0 bench=complex_updates cycles=3748 instructions=2553 cache-misses=2
[sample=23] cpu=0 bench=complex_updates cycles=3827 instructions=2553 cache-misses=2
[sample=24] cpu=0 bench=complex_updates cycles=4287 instructions=2553 cache-misses=3
[sample=25] cpu=0 bench=complex_updates cycles=3829 instructions=2553 cache-misses=1
[sample=26] cpu=0 bench=complex_updates cycles=4028 instructions=2553 cache-misses=2
[sample=27] cpu=0 bench=complex_updates cycles=4306 instructions=2553 cache-misses=2
[sample=28] cpu=0 bench=complex_updates cycles=3873 instructions=2553 cache-misses=3
[sample=29] cpu=0 bench=complex_updates cycles=3661 instructions=2553 cache-misses=2

# Statistics over 30 samples on cpu0 bench=complex_updates (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        3611                37809              5454.10              3856.50
  instructions                  2553                 2557              2553.17              2553.00
  cache-misses                     0                   26                 3.27                 2.00
