[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=cosf (measured)  cpu1=CACHE  cpu2=PR_CACHE  cpu3=PR_CACHE
[sample=0] cpu=0 bench=cosf cycles=59125 instructions=23697 cache-misses=19
[sample=1] cpu=0 bench=cosf cycles=49850 instructions=23694 cache-misses=7
[sample=2] cpu=0 bench=cosf cycles=32249 instructions=23691 cache-misses=5
[sample=3] cpu=0 bench=cosf cycles=31026 instructions=23692 cache-misses=3
[sample=4] cpu=0 bench=cosf cycles=31097 instructions=23690 cache-misses=6
[sample=5] cpu=0 bench=cosf cycles=32138 instructions=23690 cache-misses=2
[sample=6] cpu=0 bench=cosf cycles=31059 instructions=23690 cache-misses=2
[sample=7] cpu=0 bench=cosf cycles=30946 instructions=23691 cache-misses=2
[sample=8] cpu=0 bench=cosf cycles=31051 instructions=23692 cache-misses=2
[sample=9] cpu=0 bench=cosf cycles=31046 instructions=23691 cache-misses=2
[sample=10] cpu=0 bench=cosf cycles=31159 instructions=23692 cache-misses=2
[sample=11] cpu=0 bench=cosf cycles=31035 instructions=23690 cache-misses=3
[sample=12] cpu=0 bench=cosf cycles=31066 instructions=23690 cache-misses=2
[sample=13] cpu=0 bench=cosf cycles=31091 instructions=23690 cache-misses=2
[sample=14] cpu=0 bench=cosf cycles=30995 instructions=23689 cache-misses=2
[sample=15] cpu=0 bench=cosf cycles=31202 instructions=23691 cache-misses=2
[sample=16] cpu=0 bench=cosf cycles=31049 instructions=23690 cache-misses=2
[sample=17] cpu=0 bench=cosf cycles=31085 instructions=23689 cache-misses=2
[sample=18] cpu=0 bench=cosf cycles=31049 instructions=23689 cache-misses=2
[sample=19] cpu=0 bench=cosf cycles=31071 instructions=23690 cache-misses=3
[sample=20] cpu=0 bench=cosf cycles=31087 instructions=23690 cache-misses=2
[sample=21] cpu=0 bench=cosf cycles=31065 instructions=23689 cache-misses=3
[sample=22] cpu=0 bench=cosf cycles=31144 instructions=23689 cache-misses=4
[sample=23] cpu=0 bench=cosf cycles=31112 instructions=23690 cache-misses=4
[sample=24] cpu=0 bench=cosf cycles=31107 instructions=23689 cache-misses=4
[sample=25] cpu=0 bench=cosf cycles=31046 instructions=23690 cache-misses=4
[sample=26] cpu=0 bench=cosf cycles=31130 instructions=23691 cache-misses=4
[sample=27] cpu=0 bench=cosf cycles=31063 instructions=23691 cache-misses=4
[sample=28] cpu=0 bench=cosf cycles=31104 instructions=23691 cache-misses=4
[sample=29] cpu=0 bench=cosf cycles=31093 instructions=23690 cache-misses=5

# Statistics over 30 samples on cpu0 bench=cosf (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       30946                59125             32711.33             31086.00
  instructions                 23689                23697             23690.60             23690.00
  cache-misses                     2                   19                 3.67                 3.00
