[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=cover (measured)  cpu1=MTH_CACHE  cpu2=MTH_CACHE  cpu3=MTH_CACHE
[sample=0] cpu=0 bench=cover cycles=23206 instructions=3739 cache-misses=19
[sample=1] cpu=0 bench=cover cycles=19954 instructions=3732 cache-misses=11
[sample=2] cpu=0 bench=cover cycles=6865 instructions=3732 cache-misses=6
[sample=3] cpu=0 bench=cover cycles=6358 instructions=3732 cache-misses=6
[sample=4] cpu=0 bench=cover cycles=6031 instructions=3732 cache-misses=7
[sample=5] cpu=0 bench=cover cycles=5986 instructions=3732 cache-misses=4
[sample=6] cpu=0 bench=cover cycles=6272 instructions=3732 cache-misses=2
[sample=7] cpu=0 bench=cover cycles=6015 instructions=3732 cache-misses=4
[sample=8] cpu=0 bench=cover cycles=5960 instructions=3732 cache-misses=1
[sample=9] cpu=0 bench=cover cycles=5972 instructions=3732 cache-misses=5
[sample=10] cpu=0 bench=cover cycles=6228 instructions=3732 cache-misses=4
[sample=11] cpu=0 bench=cover cycles=6000 instructions=3732 cache-misses=3
[sample=12] cpu=0 bench=cover cycles=6829 instructions=3732 cache-misses=3
[sample=13] cpu=0 bench=cover cycles=5934 instructions=3732 cache-misses=4
[sample=14] cpu=0 bench=cover cycles=5988 instructions=3732 cache-misses=2
[sample=15] cpu=0 bench=cover cycles=6001 instructions=3732 cache-misses=2
[sample=16] cpu=0 bench=cover cycles=6026 instructions=3732 cache-misses=3
[sample=17] cpu=0 bench=cover cycles=5977 instructions=3732 cache-misses=4
[sample=18] cpu=0 bench=cover cycles=5968 instructions=3732 cache-misses=2
[sample=19] cpu=0 bench=cover cycles=5997 instructions=3732 cache-misses=4
[sample=20] cpu=0 bench=cover cycles=5997 instructions=3732 cache-misses=5
[sample=21] cpu=0 bench=cover cycles=5960 instructions=3732 cache-misses=1
[sample=22] cpu=0 bench=cover cycles=6014 instructions=3732 cache-misses=3
[sample=23] cpu=0 bench=cover cycles=6016 instructions=3732 cache-misses=6
[sample=24] cpu=0 bench=cover cycles=5946 instructions=3732 cache-misses=3
[sample=25] cpu=0 bench=cover cycles=5968 instructions=3732 cache-misses=5
[sample=26] cpu=0 bench=cover cycles=5999 instructions=3732 cache-misses=3
[sample=27] cpu=0 bench=cover cycles=6014 instructions=3732 cache-misses=6
[sample=28] cpu=0 bench=cover cycles=5999 instructions=3732 cache-misses=4
[sample=29] cpu=0 bench=cover cycles=6023 instructions=3732 cache-misses=3

# Statistics over 30 samples on cpu0 bench=cover (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        5934                23206              7116.77              6000.50
  instructions                  3732                 3739              3732.23              3732.00
  cache-misses                     1                   19                 4.50                 4.00
