[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=deg2rad (measured)  cpu1=PR_CACHE  cpu2=MTH_CACHE  cpu3=MTH_MEM
[sample=0] cpu=0 bench=deg2rad cycles=20971 instructions=11628 cache-misses=7
[sample=1] cpu=0 bench=deg2rad cycles=19032 instructions=11623 cache-misses=4
[sample=2] cpu=0 bench=deg2rad cycles=17158 instructions=11624 cache-misses=3
[sample=3] cpu=0 bench=deg2rad cycles=17134 instructions=11623 cache-misses=0
[sample=4] cpu=0 bench=deg2rad cycles=17149 instructions=11623 cache-misses=0
[sample=5] cpu=0 bench=deg2rad cycles=17161 instructions=11623 cache-misses=0
[sample=6] cpu=0 bench=deg2rad cycles=17136 instructions=11623 cache-misses=0
[sample=7] cpu=0 bench=deg2rad cycles=17149 instructions=11623 cache-misses=0
[sample=8] cpu=0 bench=deg2rad cycles=17150 instructions=11623 cache-misses=0
[sample=9] cpu=0 bench=deg2rad cycles=17153 instructions=11623 cache-misses=1
[sample=10] cpu=0 bench=deg2rad cycles=17190 instructions=11623 cache-misses=1
[sample=11] cpu=0 bench=deg2rad cycles=17189 instructions=11623 cache-misses=0
[sample=12] cpu=0 bench=deg2rad cycles=17282 instructions=11623 cache-misses=0
[sample=13] cpu=0 bench=deg2rad cycles=17324 instructions=11623 cache-misses=0
[sample=14] cpu=0 bench=deg2rad cycles=17219 instructions=11623 cache-misses=0
[sample=15] cpu=0 bench=deg2rad cycles=17229 instructions=11623 cache-misses=1
[sample=16] cpu=0 bench=deg2rad cycles=17169 instructions=11623 cache-misses=0
[sample=17] cpu=0 bench=deg2rad cycles=17147 instructions=11623 cache-misses=0
[sample=18] cpu=0 bench=deg2rad cycles=17175 instructions=11623 cache-misses=0
[sample=19] cpu=0 bench=deg2rad cycles=17196 instructions=11623 cache-misses=0
[sample=20] cpu=0 bench=deg2rad cycles=17230 instructions=11625 cache-misses=1
[sample=21] cpu=0 bench=deg2rad cycles=17238 instructions=11623 cache-misses=1
[sample=22] cpu=0 bench=deg2rad cycles=17217 instructions=11623 cache-misses=1
[sample=23] cpu=0 bench=deg2rad cycles=17239 instructions=11623 cache-misses=0
[sample=24] cpu=0 bench=deg2rad cycles=17192 instructions=11623 cache-misses=0
[sample=25] cpu=0 bench=deg2rad cycles=17150 instructions=11623 cache-misses=0
[sample=26] cpu=0 bench=deg2rad cycles=17147 instructions=11623 cache-misses=1
[sample=27] cpu=0 bench=deg2rad cycles=17193 instructions=11623 cache-misses=1
[sample=28] cpu=0 bench=deg2rad cycles=17152 instructions=11623 cache-misses=0
[sample=29] cpu=0 bench=deg2rad cycles=17212 instructions=11623 cache-misses=0

# Statistics over 30 samples on cpu0 bench=deg2rad (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       17134                20971             17376.10             17189.50
  instructions                 11623                11628             11623.27             11623.00
  cache-misses                     0                    7                 0.73                 0.00
