[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=deg2rad (measured)  cpu1=CACHE  cpu2=PR_CACHE  cpu3=PR_CACHE
[sample=0] cpu=0 bench=deg2rad cycles=22225 instructions=11628 cache-misses=9
[sample=1] cpu=0 bench=deg2rad cycles=20119 instructions=11623 cache-misses=7
[sample=2] cpu=0 bench=deg2rad cycles=17553 instructions=11623 cache-misses=1
[sample=3] cpu=0 bench=deg2rad cycles=17209 instructions=11625 cache-misses=0
[sample=4] cpu=0 bench=deg2rad cycles=17163 instructions=11623 cache-misses=0
[sample=5] cpu=0 bench=deg2rad cycles=17198 instructions=11623 cache-misses=1
[sample=6] cpu=0 bench=deg2rad cycles=17196 instructions=11623 cache-misses=1
[sample=7] cpu=0 bench=deg2rad cycles=17184 instructions=11623 cache-misses=1
[sample=8] cpu=0 bench=deg2rad cycles=17191 instructions=11623 cache-misses=0
[sample=9] cpu=0 bench=deg2rad cycles=17212 instructions=11623 cache-misses=1
[sample=10] cpu=0 bench=deg2rad cycles=17193 instructions=11623 cache-misses=0
[sample=11] cpu=0 bench=deg2rad cycles=17213 instructions=11623 cache-misses=1
[sample=12] cpu=0 bench=deg2rad cycles=17208 instructions=11623 cache-misses=0
[sample=13] cpu=0 bench=deg2rad cycles=17192 instructions=11623 cache-misses=0
[sample=14] cpu=0 bench=deg2rad cycles=17215 instructions=11623 cache-misses=0
[sample=15] cpu=0 bench=deg2rad cycles=17191 instructions=11623 cache-misses=0
[sample=16] cpu=0 bench=deg2rad cycles=17202 instructions=11623 cache-misses=1
[sample=17] cpu=0 bench=deg2rad cycles=17192 instructions=11623 cache-misses=1
[sample=18] cpu=0 bench=deg2rad cycles=17162 instructions=11623 cache-misses=0
[sample=19] cpu=0 bench=deg2rad cycles=17228 instructions=11623 cache-misses=0
[sample=20] cpu=0 bench=deg2rad cycles=17220 instructions=11623 cache-misses=1
[sample=21] cpu=0 bench=deg2rad cycles=17163 instructions=11623 cache-misses=0
[sample=22] cpu=0 bench=deg2rad cycles=17211 instructions=11623 cache-misses=1
[sample=23] cpu=0 bench=deg2rad cycles=17183 instructions=11623 cache-misses=1
[sample=24] cpu=0 bench=deg2rad cycles=17196 instructions=11623 cache-misses=0
[sample=25] cpu=0 bench=deg2rad cycles=17206 instructions=11623 cache-misses=0
[sample=26] cpu=0 bench=deg2rad cycles=17697 instructions=11623 cache-misses=1
[sample=27] cpu=0 bench=deg2rad cycles=17208 instructions=11623 cache-misses=0
[sample=28] cpu=0 bench=deg2rad cycles=17199 instructions=11623 cache-misses=1
[sample=29] cpu=0 bench=deg2rad cycles=17197 instructions=11623 cache-misses=1

# Statistics over 30 samples on cpu0 bench=deg2rad (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       17162                22225             17490.87             17200.50
  instructions                 11623                11628             11623.23             11623.00
  cache-misses                     0                    9                 1.00                 1.00
