[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=deg2rad (measured)  cpu1=CACHE  cpu2=BUS  cpu3=MEM
[sample=0] cpu=0 bench=deg2rad cycles=22972 instructions=11628 cache-misses=11
[sample=1] cpu=0 bench=deg2rad cycles=22354 instructions=11623 cache-misses=6
[sample=2] cpu=0 bench=deg2rad cycles=20195 instructions=11625 cache-misses=9
[sample=3] cpu=0 bench=deg2rad cycles=18589 instructions=11625 cache-misses=8
[sample=4] cpu=0 bench=deg2rad cycles=17314 instructions=11625 cache-misses=4
[sample=5] cpu=0 bench=deg2rad cycles=17335 instructions=11626 cache-misses=6
[sample=6] cpu=0 bench=deg2rad cycles=17247 instructions=11625 cache-misses=4
[sample=7] cpu=0 bench=deg2rad cycles=17628 instructions=11626 cache-misses=6
[sample=8] cpu=0 bench=deg2rad cycles=17689 instructions=11625 cache-misses=3
[sample=9] cpu=0 bench=deg2rad cycles=17366 instructions=11626 cache-misses=10
[sample=10] cpu=0 bench=deg2rad cycles=17299 instructions=11625 cache-misses=4
[sample=11] cpu=0 bench=deg2rad cycles=17289 instructions=11626 cache-misses=6
[sample=12] cpu=0 bench=deg2rad cycles=17264 instructions=11625 cache-misses=4
[sample=13] cpu=0 bench=deg2rad cycles=17253 instructions=11623 cache-misses=4
[sample=14] cpu=0 bench=deg2rad cycles=17799 instructions=11626 cache-misses=7
[sample=15] cpu=0 bench=deg2rad cycles=17284 instructions=11625 cache-misses=4
[sample=16] cpu=0 bench=deg2rad cycles=17704 instructions=11625 cache-misses=14
[sample=17] cpu=0 bench=deg2rad cycles=17590 instructions=11625 cache-misses=7
[sample=18] cpu=0 bench=deg2rad cycles=17297 instructions=11623 cache-misses=6
[sample=19] cpu=0 bench=deg2rad cycles=18093 instructions=11623 cache-misses=7
[sample=20] cpu=0 bench=deg2rad cycles=17320 instructions=11626 cache-misses=5
[sample=21] cpu=0 bench=deg2rad cycles=17297 instructions=11625 cache-misses=5
[sample=22] cpu=0 bench=deg2rad cycles=17902 instructions=11625 cache-misses=8
[sample=23] cpu=0 bench=deg2rad cycles=17305 instructions=11625 cache-misses=4
[sample=24] cpu=0 bench=deg2rad cycles=17289 instructions=11625 cache-misses=5
[sample=25] cpu=0 bench=deg2rad cycles=17879 instructions=11625 cache-misses=9
[sample=26] cpu=0 bench=deg2rad cycles=17308 instructions=11625 cache-misses=6
[sample=27] cpu=0 bench=deg2rad cycles=17312 instructions=11624 cache-misses=6
[sample=28] cpu=0 bench=deg2rad cycles=17599 instructions=11623 cache-misses=9
[sample=29] cpu=0 bench=deg2rad cycles=17291 instructions=11625 cache-misses=4

# Statistics over 30 samples on cpu0 bench=deg2rad (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       17247                22972             17935.43             17327.50
  instructions                 11623                11628             11624.93             11625.00
  cache-misses                     3                   14                 6.37                 6.00
