[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=deg2rad (measured)  cpu1=POINTER  cpu2=POINTER  cpu3=PR_CACHE
[sample=0] cpu=0 bench=deg2rad cycles=25804 instructions=11628 cache-misses=11
[sample=1] cpu=0 bench=deg2rad cycles=20532 instructions=11623 cache-misses=7
[sample=2] cpu=0 bench=deg2rad cycles=17282 instructions=11623 cache-misses=3
[sample=3] cpu=0 bench=deg2rad cycles=17187 instructions=11623 cache-misses=1
[sample=4] cpu=0 bench=deg2rad cycles=17191 instructions=11623 cache-misses=2
[sample=5] cpu=0 bench=deg2rad cycles=17185 instructions=11623 cache-misses=0
[sample=6] cpu=0 bench=deg2rad cycles=17168 instructions=11623 cache-misses=0
[sample=7] cpu=0 bench=deg2rad cycles=17187 instructions=11623 cache-misses=1
[sample=8] cpu=0 bench=deg2rad cycles=17160 instructions=11623 cache-misses=1
[sample=9] cpu=0 bench=deg2rad cycles=17205 instructions=11623 cache-misses=1
[sample=10] cpu=0 bench=deg2rad cycles=17189 instructions=11623 cache-misses=1
[sample=11] cpu=0 bench=deg2rad cycles=17199 instructions=11623 cache-misses=2
[sample=12] cpu=0 bench=deg2rad cycles=17167 instructions=11623 cache-misses=0
[sample=13] cpu=0 bench=deg2rad cycles=17177 instructions=11623 cache-misses=2
[sample=14] cpu=0 bench=deg2rad cycles=17200 instructions=11623 cache-misses=0
[sample=15] cpu=0 bench=deg2rad cycles=17172 instructions=11623 cache-misses=1
[sample=16] cpu=0 bench=deg2rad cycles=17162 instructions=11623 cache-misses=2
[sample=17] cpu=0 bench=deg2rad cycles=17201 instructions=11625 cache-misses=0
[sample=18] cpu=0 bench=deg2rad cycles=17138 instructions=11623 cache-misses=2
[sample=19] cpu=0 bench=deg2rad cycles=17153 instructions=11623 cache-misses=0
[sample=20] cpu=0 bench=deg2rad cycles=17156 instructions=11623 cache-misses=1
[sample=21] cpu=0 bench=deg2rad cycles=17151 instructions=11623 cache-misses=1
[sample=22] cpu=0 bench=deg2rad cycles=17153 instructions=11623 cache-misses=1
[sample=23] cpu=0 bench=deg2rad cycles=17164 instructions=11623 cache-misses=0
[sample=24] cpu=0 bench=deg2rad cycles=17677 instructions=11623 cache-misses=1
[sample=25] cpu=0 bench=deg2rad cycles=17163 instructions=11623 cache-misses=1
[sample=26] cpu=0 bench=deg2rad cycles=17144 instructions=11623 cache-misses=2
[sample=27] cpu=0 bench=deg2rad cycles=17187 instructions=11623 cache-misses=0
[sample=28] cpu=0 bench=deg2rad cycles=17183 instructions=11623 cache-misses=1
[sample=29] cpu=0 bench=deg2rad cycles=17137 instructions=11623 cache-misses=1

# Statistics over 30 samples on cpu0 bench=deg2rad (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       17137                25804             17592.47             17180.00
  instructions                 11623                11628             11623.23             11623.00
  cache-misses                     0                   11                 1.53                 1.00
