[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=duff (measured)  cpu1=CACHE  cpu2=BUS  cpu3=PR_CACHE
[sample=0] cpu=0 bench=duff cycles=19201 instructions=3913 cache-misses=16
[sample=1] cpu=0 bench=duff cycles=11411 instructions=3909 cache-misses=5
[sample=2] cpu=0 bench=duff cycles=6107 instructions=3908 cache-misses=1
[sample=3] cpu=0 bench=duff cycles=4790 instructions=3908 cache-misses=1
[sample=4] cpu=0 bench=duff cycles=4781 instructions=3908 cache-misses=2
[sample=5] cpu=0 bench=duff cycles=4793 instructions=3908 cache-misses=1
[sample=6] cpu=0 bench=duff cycles=4760 instructions=3908 cache-misses=1
[sample=7] cpu=0 bench=duff cycles=4767 instructions=3908 cache-misses=0
[sample=8] cpu=0 bench=duff cycles=4803 instructions=3908 cache-misses=1
[sample=9] cpu=0 bench=duff cycles=4766 instructions=3908 cache-misses=0
[sample=10] cpu=0 bench=duff cycles=4960 instructions=3908 cache-misses=0
[sample=11] cpu=0 bench=duff cycles=4812 instructions=3908 cache-misses=1
[sample=12] cpu=0 bench=duff cycles=4784 instructions=3908 cache-misses=1
[sample=13] cpu=0 bench=duff cycles=4798 instructions=3908 cache-misses=0
[sample=14] cpu=0 bench=duff cycles=4782 instructions=3908 cache-misses=1
[sample=15] cpu=0 bench=duff cycles=4790 instructions=3908 cache-misses=0
[sample=16] cpu=0 bench=duff cycles=4780 instructions=3908 cache-misses=1
[sample=17] cpu=0 bench=duff cycles=4748 instructions=3908 cache-misses=1
[sample=18] cpu=0 bench=duff cycles=4764 instructions=3908 cache-misses=1
[sample=19] cpu=0 bench=duff cycles=4829 instructions=3908 cache-misses=1
[sample=20] cpu=0 bench=duff cycles=4795 instructions=3908 cache-misses=1
[sample=21] cpu=0 bench=duff cycles=4849 instructions=3908 cache-misses=1
[sample=22] cpu=0 bench=duff cycles=4795 instructions=3908 cache-misses=1
[sample=23] cpu=0 bench=duff cycles=4775 instructions=3908 cache-misses=0
[sample=24] cpu=0 bench=duff cycles=4780 instructions=3908 cache-misses=1
[sample=25] cpu=0 bench=duff cycles=4796 instructions=3908 cache-misses=1
[sample=26] cpu=0 bench=duff cycles=4790 instructions=3908 cache-misses=0
[sample=27] cpu=0 bench=duff cycles=4785 instructions=3908 cache-misses=1
[sample=28] cpu=0 bench=duff cycles=4784 instructions=3908 cache-misses=1
[sample=29] cpu=0 bench=duff cycles=4861 instructions=3908 cache-misses=0

# Statistics over 30 samples on cpu0 bench=duff (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        4748                19201              5541.20              4790.00
  instructions                  3908                 3913              3908.20              3908.00
  cache-misses                     0                   16                 1.40                 1.00
