[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=duff (measured)  cpu1=CACHE  cpu2=MEM  cpu3=PR_CACHE
[sample=0] cpu=0 bench=duff cycles=34745 instructions=3913 cache-misses=15
[sample=1] cpu=0 bench=duff cycles=27825 instructions=3908 cache-misses=10
[sample=2] cpu=0 bench=duff cycles=7295 instructions=3908 cache-misses=2
[sample=3] cpu=0 bench=duff cycles=5031 instructions=3908 cache-misses=0
[sample=4] cpu=0 bench=duff cycles=7491 instructions=3908 cache-misses=1
[sample=5] cpu=0 bench=duff cycles=5108 instructions=3908 cache-misses=0
[sample=6] cpu=0 bench=duff cycles=5124 instructions=3908 cache-misses=0
[sample=7] cpu=0 bench=duff cycles=5057 instructions=3908 cache-misses=0
[sample=8] cpu=0 bench=duff cycles=4792 instructions=3908 cache-misses=0
[sample=9] cpu=0 bench=duff cycles=4772 instructions=3908 cache-misses=0
[sample=10] cpu=0 bench=duff cycles=7952 instructions=3908 cache-misses=0
[sample=11] cpu=0 bench=duff cycles=5031 instructions=3908 cache-misses=0
[sample=12] cpu=0 bench=duff cycles=4747 instructions=3908 cache-misses=0
[sample=13] cpu=0 bench=duff cycles=9023 instructions=3908 cache-misses=0
[sample=14] cpu=0 bench=duff cycles=4815 instructions=3908 cache-misses=0
[sample=15] cpu=0 bench=duff cycles=4825 instructions=3908 cache-misses=0
[sample=16] cpu=0 bench=duff cycles=8263 instructions=3908 cache-misses=0
[sample=17] cpu=0 bench=duff cycles=29839 instructions=3908 cache-misses=12
[sample=18] cpu=0 bench=duff cycles=11834 instructions=3908 cache-misses=2
[sample=19] cpu=0 bench=duff cycles=44527 instructions=3908 cache-misses=23
[sample=20] cpu=0 bench=duff cycles=7204 instructions=3908 cache-misses=3
[sample=21] cpu=0 bench=duff cycles=4877 instructions=3908 cache-misses=1
[sample=22] cpu=0 bench=duff cycles=4946 instructions=3908 cache-misses=1
[sample=23] cpu=0 bench=duff cycles=5073 instructions=3908 cache-misses=0
[sample=24] cpu=0 bench=duff cycles=4841 instructions=3908 cache-misses=0
[sample=25] cpu=0 bench=duff cycles=4738 instructions=3908 cache-misses=0
[sample=26] cpu=0 bench=duff cycles=4756 instructions=3908 cache-misses=0
[sample=27] cpu=0 bench=duff cycles=4790 instructions=3908 cache-misses=0
[sample=28] cpu=0 bench=duff cycles=4841 instructions=3908 cache-misses=0
[sample=29] cpu=0 bench=duff cycles=4873 instructions=3908 cache-misses=0

# Statistics over 30 samples on cpu0 bench=duff (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        4738                44527              9634.50              5044.00
  instructions                  3908                 3913              3908.17              3908.00
  cache-misses                     0                   23                 2.33                 0.00
