[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=duff (measured)  cpu1=CACHE  cpu2=MEM  cpu3=BUS
[sample=0] cpu=0 bench=duff cycles=30796 instructions=3913 cache-misses=16
[sample=1] cpu=0 bench=duff cycles=12166 instructions=3909 cache-misses=7
[sample=2] cpu=0 bench=duff cycles=32928 instructions=3909 cache-misses=13
[sample=3] cpu=0 bench=duff cycles=5660 instructions=3909 cache-misses=2
[sample=4] cpu=0 bench=duff cycles=5857 instructions=3908 cache-misses=1
[sample=5] cpu=0 bench=duff cycles=6328 instructions=3908 cache-misses=0
[sample=6] cpu=0 bench=duff cycles=4850 instructions=3908 cache-misses=1
[sample=7] cpu=0 bench=duff cycles=4993 instructions=3908 cache-misses=1
[sample=8] cpu=0 bench=duff cycles=5045 instructions=3908 cache-misses=1
[sample=9] cpu=0 bench=duff cycles=5121 instructions=3908 cache-misses=1
[sample=10] cpu=0 bench=duff cycles=4843 instructions=3908 cache-misses=1
[sample=11] cpu=0 bench=duff cycles=5458 instructions=3908 cache-misses=0
[sample=12] cpu=0 bench=duff cycles=4989 instructions=3908 cache-misses=0
[sample=13] cpu=0 bench=duff cycles=4847 instructions=3908 cache-misses=1
[sample=14] cpu=0 bench=duff cycles=4828 instructions=3908 cache-misses=1
[sample=15] cpu=0 bench=duff cycles=5162 instructions=3908 cache-misses=0
[sample=16] cpu=0 bench=duff cycles=5141 instructions=3908 cache-misses=1
[sample=17] cpu=0 bench=duff cycles=5005 instructions=3908 cache-misses=2
[sample=18] cpu=0 bench=duff cycles=4878 instructions=3908 cache-misses=0
[sample=19] cpu=0 bench=duff cycles=4930 instructions=3908 cache-misses=2
[sample=20] cpu=0 bench=duff cycles=5111 instructions=3908 cache-misses=1
[sample=21] cpu=0 bench=duff cycles=5157 instructions=3908 cache-misses=1
[sample=22] cpu=0 bench=duff cycles=5227 instructions=3908 cache-misses=0
[sample=23] cpu=0 bench=duff cycles=4970 instructions=3908 cache-misses=1
[sample=24] cpu=0 bench=duff cycles=5027 instructions=3908 cache-misses=1
[sample=25] cpu=0 bench=duff cycles=5164 instructions=3908 cache-misses=1
[sample=26] cpu=0 bench=duff cycles=9393 instructions=3908 cache-misses=0
[sample=27] cpu=0 bench=duff cycles=4906 instructions=3908 cache-misses=1
[sample=28] cpu=0 bench=duff cycles=4931 instructions=3908 cache-misses=1
[sample=29] cpu=0 bench=duff cycles=5128 instructions=3908 cache-misses=0

# Statistics over 30 samples on cpu0 bench=duff (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        4828                32928              7294.63              5116.00
  instructions                  3908                 3913              3908.27              3908.00
  cache-misses                     0                   16                 1.93                 1.00
