[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=duff (measured)  cpu1=CACHE  cpu2=BUS  cpu3=PR_MEMBUS
[sample=0] cpu=0 bench=duff cycles=11586 instructions=3912 cache-misses=16
[sample=1] cpu=0 bench=duff cycles=11231 instructions=3908 cache-misses=10
[sample=2] cpu=0 bench=duff cycles=4827 instructions=3909 cache-misses=2
[sample=3] cpu=0 bench=duff cycles=4762 instructions=3909 cache-misses=3
[sample=4] cpu=0 bench=duff cycles=4766 instructions=3908 cache-misses=3
[sample=5] cpu=0 bench=duff cycles=4725 instructions=3908 cache-misses=1
[sample=6] cpu=0 bench=duff cycles=4730 instructions=3908 cache-misses=2
[sample=7] cpu=0 bench=duff cycles=4754 instructions=3908 cache-misses=1
[sample=8] cpu=0 bench=duff cycles=4727 instructions=3908 cache-misses=0
[sample=9] cpu=0 bench=duff cycles=4723 instructions=3908 cache-misses=1
[sample=10] cpu=0 bench=duff cycles=4761 instructions=3908 cache-misses=1
[sample=11] cpu=0 bench=duff cycles=4726 instructions=3908 cache-misses=0
[sample=12] cpu=0 bench=duff cycles=4745 instructions=3908 cache-misses=0
[sample=13] cpu=0 bench=duff cycles=4824 instructions=3908 cache-misses=0
[sample=14] cpu=0 bench=duff cycles=4989 instructions=3908 cache-misses=2
[sample=15] cpu=0 bench=duff cycles=4738 instructions=3908 cache-misses=1
[sample=16] cpu=0 bench=duff cycles=4759 instructions=3908 cache-misses=1
[sample=17] cpu=0 bench=duff cycles=4760 instructions=3908 cache-misses=3
[sample=18] cpu=0 bench=duff cycles=4712 instructions=3908 cache-misses=2
[sample=19] cpu=0 bench=duff cycles=4769 instructions=3908 cache-misses=0
[sample=20] cpu=0 bench=duff cycles=4866 instructions=3908 cache-misses=1
[sample=21] cpu=0 bench=duff cycles=4728 instructions=3908 cache-misses=0
[sample=22] cpu=0 bench=duff cycles=4731 instructions=3908 cache-misses=1
[sample=23] cpu=0 bench=duff cycles=4693 instructions=3908 cache-misses=0
[sample=24] cpu=0 bench=duff cycles=4711 instructions=3908 cache-misses=0
[sample=25] cpu=0 bench=duff cycles=4734 instructions=3908 cache-misses=0
[sample=26] cpu=0 bench=duff cycles=4720 instructions=3908 cache-misses=0
[sample=27] cpu=0 bench=duff cycles=4709 instructions=3908 cache-misses=0
[sample=28] cpu=0 bench=duff cycles=4703 instructions=3908 cache-misses=1
[sample=29] cpu=0 bench=duff cycles=4669 instructions=3908 cache-misses=0

# Statistics over 30 samples on cpu0 bench=duff (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        4669                11586              5195.93              4736.00
  instructions                  3908                 3912              3908.20              3908.00
  cache-misses                     0                   16                 1.73                 1.00
