[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=fac (measured)  cpu1=CACHE  cpu2=PR_CACHE  cpu3=MTH_CACHE
[sample=0] cpu=0 bench=fac cycles=7156 instructions=457 cache-misses=13
[sample=1] cpu=0 bench=fac cycles=4247 instructions=453 cache-misses=4
[sample=2] cpu=0 bench=fac cycles=825 instructions=453 cache-misses=0
[sample=3] cpu=0 bench=fac cycles=779 instructions=454 cache-misses=1
[sample=4] cpu=0 bench=fac cycles=809 instructions=454 cache-misses=0
[sample=5] cpu=0 bench=fac cycles=773 instructions=454 cache-misses=0
[sample=6] cpu=0 bench=fac cycles=844 instructions=454 cache-misses=0
[sample=7] cpu=0 bench=fac cycles=768 instructions=454 cache-misses=0
[sample=8] cpu=0 bench=fac cycles=744 instructions=454 cache-misses=0
[sample=9] cpu=0 bench=fac cycles=761 instructions=454 cache-misses=0
[sample=10] cpu=0 bench=fac cycles=4283 instructions=453 cache-misses=6
[sample=11] cpu=0 bench=fac cycles=1020 instructions=453 cache-misses=0
[sample=12] cpu=0 bench=fac cycles=792 instructions=454 cache-misses=0
[sample=13] cpu=0 bench=fac cycles=762 instructions=454 cache-misses=0
[sample=14] cpu=0 bench=fac cycles=766 instructions=454 cache-misses=0
[sample=15] cpu=0 bench=fac cycles=772 instructions=454 cache-misses=0
[sample=16] cpu=0 bench=fac cycles=760 instructions=454 cache-misses=1
[sample=17] cpu=0 bench=fac cycles=718 instructions=453 cache-misses=0
[sample=18] cpu=0 bench=fac cycles=720 instructions=453 cache-misses=0
[sample=19] cpu=0 bench=fac cycles=774 instructions=453 cache-misses=0
[sample=20] cpu=0 bench=fac cycles=803 instructions=453 cache-misses=0
[sample=21] cpu=0 bench=fac cycles=741 instructions=453 cache-misses=0
[sample=22] cpu=0 bench=fac cycles=804 instructions=453 cache-misses=0
[sample=23] cpu=0 bench=fac cycles=759 instructions=453 cache-misses=0
[sample=24] cpu=0 bench=fac cycles=707 instructions=453 cache-misses=0
[sample=25] cpu=0 bench=fac cycles=732 instructions=453 cache-misses=0
[sample=26] cpu=0 bench=fac cycles=723 instructions=453 cache-misses=0
[sample=27] cpu=0 bench=fac cycles=708 instructions=453 cache-misses=0
[sample=28] cpu=0 bench=fac cycles=749 instructions=453 cache-misses=0
[sample=29] cpu=0 bench=fac cycles=724 instructions=453 cache-misses=0

# Statistics over 30 samples on cpu0 bench=fac (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                         707                 7156              1217.43               767.00
  instructions                   453                  457               453.53               453.00
  cache-misses                     0                   13                 0.83                 0.00
