[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=fac (measured)  cpu1=CACHE  cpu2=BUS  cpu3=MTH_MEM
[sample=0] cpu=0 bench=fac cycles=30893 instructions=458 cache-misses=15
[sample=1] cpu=0 bench=fac cycles=5656 instructions=454 cache-misses=6
[sample=2] cpu=0 bench=fac cycles=3728 instructions=453 cache-misses=5
[sample=3] cpu=0 bench=fac cycles=835 instructions=454 cache-misses=6
[sample=4] cpu=0 bench=fac cycles=814 instructions=453 cache-misses=6
[sample=5] cpu=0 bench=fac cycles=862 instructions=453 cache-misses=7
[sample=6] cpu=0 bench=fac cycles=900 instructions=454 cache-misses=7
[sample=7] cpu=0 bench=fac cycles=1633 instructions=454 cache-misses=6
[sample=8] cpu=0 bench=fac cycles=879 instructions=453 cache-misses=6
[sample=9] cpu=0 bench=fac cycles=820 instructions=454 cache-misses=5
[sample=10] cpu=0 bench=fac cycles=816 instructions=453 cache-misses=5
[sample=11] cpu=0 bench=fac cycles=833 instructions=453 cache-misses=4
[sample=12] cpu=0 bench=fac cycles=841 instructions=453 cache-misses=4
[sample=13] cpu=0 bench=fac cycles=852 instructions=453 cache-misses=5
[sample=14] cpu=0 bench=fac cycles=856 instructions=453 cache-misses=6
[sample=15] cpu=0 bench=fac cycles=831 instructions=453 cache-misses=5
[sample=16] cpu=0 bench=fac cycles=834 instructions=453 cache-misses=7
[sample=17] cpu=0 bench=fac cycles=7103 instructions=454 cache-misses=9
[sample=18] cpu=0 bench=fac cycles=2287 instructions=453 cache-misses=4
[sample=19] cpu=0 bench=fac cycles=809 instructions=454 cache-misses=1
[sample=20] cpu=0 bench=fac cycles=772 instructions=453 cache-misses=1
[sample=21] cpu=0 bench=fac cycles=753 instructions=453 cache-misses=1
[sample=22] cpu=0 bench=fac cycles=778 instructions=453 cache-misses=1
[sample=23] cpu=0 bench=fac cycles=756 instructions=453 cache-misses=1
[sample=24] cpu=0 bench=fac cycles=723 instructions=453 cache-misses=1
[sample=25] cpu=0 bench=fac cycles=696 instructions=453 cache-misses=1
[sample=26] cpu=0 bench=fac cycles=714 instructions=453 cache-misses=1
[sample=27] cpu=0 bench=fac cycles=973 instructions=453 cache-misses=1
[sample=28] cpu=0 bench=fac cycles=720 instructions=453 cache-misses=1
[sample=29] cpu=0 bench=fac cycles=698 instructions=453 cache-misses=2

# Statistics over 30 samples on cpu0 bench=fac (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                         696                30893              2355.50               833.50
  instructions                   453                  458               453.40               453.00
  cache-misses                     1                   15                 4.33                 5.00
