[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=CACHE  cpu2=BUS  cpu3=PR_CACHE
[sample=0] cpu=0 bench=fir2dim cycles=25980 instructions=10139 cache-misses=19
[sample=1] cpu=0 bench=fir2dim cycles=16498 instructions=10117 cache-misses=8
[sample=2] cpu=0 bench=fir2dim cycles=12963 instructions=10105 cache-misses=1
[sample=3] cpu=0 bench=fir2dim cycles=12952 instructions=10105 cache-misses=0
[sample=4] cpu=0 bench=fir2dim cycles=12974 instructions=10109 cache-misses=0
[sample=5] cpu=0 bench=fir2dim cycles=12980 instructions=10107 cache-misses=0
[sample=6] cpu=0 bench=fir2dim cycles=13044 instructions=10111 cache-misses=1
[sample=7] cpu=0 bench=fir2dim cycles=12949 instructions=10107 cache-misses=0
[sample=8] cpu=0 bench=fir2dim cycles=12942 instructions=10105 cache-misses=0
[sample=9] cpu=0 bench=fir2dim cycles=12963 instructions=10108 cache-misses=1
[sample=10] cpu=0 bench=fir2dim cycles=12895 instructions=10106 cache-misses=0
[sample=11] cpu=0 bench=fir2dim cycles=12931 instructions=10106 cache-misses=0
[sample=12] cpu=0 bench=fir2dim cycles=12897 instructions=10107 cache-misses=0
[sample=13] cpu=0 bench=fir2dim cycles=12865 instructions=10104 cache-misses=0
[sample=14] cpu=0 bench=fir2dim cycles=12929 instructions=10106 cache-misses=1
[sample=15] cpu=0 bench=fir2dim cycles=12930 instructions=10107 cache-misses=0
[sample=16] cpu=0 bench=fir2dim cycles=12886 instructions=10106 cache-misses=1
[sample=17] cpu=0 bench=fir2dim cycles=12940 instructions=10109 cache-misses=0
[sample=18] cpu=0 bench=fir2dim cycles=12932 instructions=10109 cache-misses=1
[sample=19] cpu=0 bench=fir2dim cycles=12855 instructions=10106 cache-misses=1
[sample=20] cpu=0 bench=fir2dim cycles=12888 instructions=10107 cache-misses=1
[sample=21] cpu=0 bench=fir2dim cycles=12940 instructions=10107 cache-misses=0
[sample=22] cpu=0 bench=fir2dim cycles=12958 instructions=10108 cache-misses=0
[sample=23] cpu=0 bench=fir2dim cycles=12942 instructions=10110 cache-misses=1
[sample=24] cpu=0 bench=fir2dim cycles=12902 instructions=10110 cache-misses=2
[sample=25] cpu=0 bench=fir2dim cycles=12870 instructions=10106 cache-misses=0
[sample=26] cpu=0 bench=fir2dim cycles=12897 instructions=10104 cache-misses=1
[sample=27] cpu=0 bench=fir2dim cycles=12851 instructions=10104 cache-misses=1
[sample=28] cpu=0 bench=fir2dim cycles=12837 instructions=10102 cache-misses=0
[sample=29] cpu=0 bench=fir2dim cycles=12871 instructions=10105 cache-misses=0

# Statistics over 30 samples on cpu0 bench=fir2dim (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       12837                25980             13475.37             12931.50
  instructions                 10102                10139             10108.07             10107.00
  cache-misses                     0                   19                 1.33                 0.00
