[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=BUS  cpu2=PR_MEMBUS  cpu3=PR_CACHE
[sample=0] cpu=0 bench=fir2dim cycles=26843 instructions=10136 cache-misses=19
[sample=1] cpu=0 bench=fir2dim cycles=20176 instructions=10122 cache-misses=8
[sample=2] cpu=0 bench=fir2dim cycles=13041 instructions=10107 cache-misses=5
[sample=3] cpu=0 bench=fir2dim cycles=13251 instructions=10104 cache-misses=8
[sample=4] cpu=0 bench=fir2dim cycles=12943 instructions=10105 cache-misses=6
[sample=5] cpu=0 bench=fir2dim cycles=12969 instructions=10107 cache-misses=3
[sample=6] cpu=0 bench=fir2dim cycles=12944 instructions=10105 cache-misses=3
[sample=7] cpu=0 bench=fir2dim cycles=12918 instructions=10106 cache-misses=2
[sample=8] cpu=0 bench=fir2dim cycles=12930 instructions=10108 cache-misses=3
[sample=9] cpu=0 bench=fir2dim cycles=12949 instructions=10112 cache-misses=1
[sample=10] cpu=0 bench=fir2dim cycles=12905 instructions=10105 cache-misses=1
[sample=11] cpu=0 bench=fir2dim cycles=12920 instructions=10108 cache-misses=2
[sample=12] cpu=0 bench=fir2dim cycles=12850 instructions=10105 cache-misses=2
[sample=13] cpu=0 bench=fir2dim cycles=12880 instructions=10106 cache-misses=0
[sample=14] cpu=0 bench=fir2dim cycles=12900 instructions=10107 cache-misses=2
[sample=15] cpu=0 bench=fir2dim cycles=12927 instructions=10106 cache-misses=1
[sample=16] cpu=0 bench=fir2dim cycles=12958 instructions=10107 cache-misses=1
[sample=17] cpu=0 bench=fir2dim cycles=12907 instructions=10105 cache-misses=4
[sample=18] cpu=0 bench=fir2dim cycles=12930 instructions=10106 cache-misses=3
[sample=19] cpu=0 bench=fir2dim cycles=12908 instructions=10108 cache-misses=2
[sample=20] cpu=0 bench=fir2dim cycles=12944 instructions=10107 cache-misses=3
[sample=21] cpu=0 bench=fir2dim cycles=12855 instructions=10104 cache-misses=4
[sample=22] cpu=0 bench=fir2dim cycles=12839 instructions=10101 cache-misses=3
[sample=23] cpu=0 bench=fir2dim cycles=12856 instructions=10102 cache-misses=0
[sample=24] cpu=0 bench=fir2dim cycles=12876 instructions=10103 cache-misses=3
[sample=25] cpu=0 bench=fir2dim cycles=12848 instructions=10103 cache-misses=1
[sample=26] cpu=0 bench=fir2dim cycles=12868 instructions=10104 cache-misses=1
[sample=27] cpu=0 bench=fir2dim cycles=12923 instructions=10106 cache-misses=3
[sample=28] cpu=0 bench=fir2dim cycles=12859 instructions=10101 cache-misses=3
[sample=29] cpu=0 bench=fir2dim cycles=12905 instructions=10101 cache-misses=4

# Statistics over 30 samples on cpu0 bench=fir2dim (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       12839                26843             13627.40             12919.00
  instructions                 10101                10136             10106.90             10106.00
  cache-misses                     0                   19                 3.37                 3.00
