[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=POINTER  cpu2=PR_POINTER  cpu3=MTH_POINTER
[sample=0] cpu=0 bench=fir2dim cycles=28125 instructions=10131 cache-misses=16
[sample=1] cpu=0 bench=fir2dim cycles=20756 instructions=10120 cache-misses=12
[sample=2] cpu=0 bench=fir2dim cycles=13090 instructions=10111 cache-misses=2
[sample=3] cpu=0 bench=fir2dim cycles=13015 instructions=10111 cache-misses=0
[sample=4] cpu=0 bench=fir2dim cycles=13030 instructions=10109 cache-misses=1
[sample=5] cpu=0 bench=fir2dim cycles=13071 instructions=10110 cache-misses=0
[sample=6] cpu=0 bench=fir2dim cycles=13708 instructions=10116 cache-misses=4
[sample=7] cpu=0 bench=fir2dim cycles=13018 instructions=10106 cache-misses=3
[sample=8] cpu=0 bench=fir2dim cycles=12977 instructions=10103 cache-misses=0
[sample=9] cpu=0 bench=fir2dim cycles=12962 instructions=10105 cache-misses=2
[sample=10] cpu=0 bench=fir2dim cycles=12990 instructions=10104 cache-misses=1
[sample=11] cpu=0 bench=fir2dim cycles=12916 instructions=10105 cache-misses=1
[sample=12] cpu=0 bench=fir2dim cycles=12949 instructions=10103 cache-misses=1
[sample=13] cpu=0 bench=fir2dim cycles=12970 instructions=10103 cache-misses=1
[sample=14] cpu=0 bench=fir2dim cycles=12945 instructions=10104 cache-misses=1
[sample=15] cpu=0 bench=fir2dim cycles=12939 instructions=10106 cache-misses=2
[sample=16] cpu=0 bench=fir2dim cycles=12984 instructions=10102 cache-misses=1
[sample=17] cpu=0 bench=fir2dim cycles=12995 instructions=10108 cache-misses=1
[sample=18] cpu=0 bench=fir2dim cycles=12962 instructions=10106 cache-misses=2
[sample=19] cpu=0 bench=fir2dim cycles=12968 instructions=10105 cache-misses=2
[sample=20] cpu=0 bench=fir2dim cycles=12973 instructions=10110 cache-misses=2
[sample=21] cpu=0 bench=fir2dim cycles=13002 instructions=10109 cache-misses=1
[sample=22] cpu=0 bench=fir2dim cycles=12968 instructions=10106 cache-misses=2
[sample=23] cpu=0 bench=fir2dim cycles=12990 instructions=10104 cache-misses=1
[sample=24] cpu=0 bench=fir2dim cycles=13026 instructions=10104 cache-misses=2
[sample=25] cpu=0 bench=fir2dim cycles=12968 instructions=10108 cache-misses=1
[sample=26] cpu=0 bench=fir2dim cycles=12997 instructions=10106 cache-misses=1
[sample=27] cpu=0 bench=fir2dim cycles=13009 instructions=10106 cache-misses=1
[sample=28] cpu=0 bench=fir2dim cycles=12992 instructions=10108 cache-misses=0
[sample=29] cpu=0 bench=fir2dim cycles=13030 instructions=10107 cache-misses=1

# Statistics over 30 samples on cpu0 bench=fir2dim (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       12916                28125             13777.50             12991.00
  instructions                 10102                10131             10107.87             10106.00
  cache-misses                     0                   16                 2.17                 1.00
