[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=PR_CACHE  cpu2=MTH_CACHE  cpu3=MTH_MEM
[sample=0] cpu=0 bench=insertsort cycles=53355 instructions=2954 cache-misses=21
[sample=1] cpu=0 bench=insertsort cycles=15986 instructions=2947 cache-misses=15
[sample=2] cpu=0 bench=insertsort cycles=4989 instructions=2946 cache-misses=3
[sample=3] cpu=0 bench=insertsort cycles=5600 instructions=2946 cache-misses=3
[sample=4] cpu=0 bench=insertsort cycles=4509 instructions=2946 cache-misses=4
[sample=5] cpu=0 bench=insertsort cycles=4796 instructions=2946 cache-misses=2
[sample=6] cpu=0 bench=insertsort cycles=4823 instructions=2946 cache-misses=2
[sample=7] cpu=0 bench=insertsort cycles=5087 instructions=2946 cache-misses=3
[sample=8] cpu=0 bench=insertsort cycles=4756 instructions=2947 cache-misses=3
[sample=9] cpu=0 bench=insertsort cycles=4517 instructions=2946 cache-misses=1
[sample=10] cpu=0 bench=insertsort cycles=4650 instructions=2946 cache-misses=3
[sample=11] cpu=0 bench=insertsort cycles=4268 instructions=2946 cache-misses=3
[sample=12] cpu=0 bench=insertsort cycles=4246 instructions=2946 cache-misses=5
[sample=13] cpu=0 bench=insertsort cycles=4196 instructions=2946 cache-misses=3
[sample=14] cpu=0 bench=insertsort cycles=4173 instructions=2946 cache-misses=1
[sample=15] cpu=0 bench=insertsort cycles=4225 instructions=2946 cache-misses=1
[sample=16] cpu=0 bench=insertsort cycles=4171 instructions=2946 cache-misses=2
[sample=17] cpu=0 bench=insertsort cycles=4196 instructions=2946 cache-misses=2
[sample=18] cpu=0 bench=insertsort cycles=4153 instructions=2946 cache-misses=2
[sample=19] cpu=0 bench=insertsort cycles=4193 instructions=2946 cache-misses=3
[sample=20] cpu=0 bench=insertsort cycles=4199 instructions=2946 cache-misses=2
[sample=21] cpu=0 bench=insertsort cycles=4192 instructions=2946 cache-misses=2
[sample=22] cpu=0 bench=insertsort cycles=4173 instructions=2946 cache-misses=2
[sample=23] cpu=0 bench=insertsort cycles=4204 instructions=2947 cache-misses=2
[sample=24] cpu=0 bench=insertsort cycles=4170 instructions=2946 cache-misses=3
[sample=25] cpu=0 bench=insertsort cycles=4184 instructions=2946 cache-misses=2
[sample=26] cpu=0 bench=insertsort cycles=4166 instructions=2946 cache-misses=2
[sample=27] cpu=0 bench=insertsort cycles=4163 instructions=2946 cache-misses=4
[sample=28] cpu=0 bench=insertsort cycles=4198 instructions=2946 cache-misses=4
[sample=29] cpu=0 bench=insertsort cycles=4189 instructions=2946 cache-misses=3

# Statistics over 30 samples on cpu0 bench=insertsort (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        4153                53355              6424.23              4201.50
  instructions                  2946                 2954              2946.37              2946.00
  cache-misses                     1                   21                 3.60                 3.00
