[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=PR_CACHE  cpu2=PR_CACHE  cpu3=PR_TLB
[sample=0] cpu=0 bench=insertsort cycles=22111 instructions=2954 cache-misses=23
[sample=1] cpu=0 bench=insertsort cycles=11481 instructions=2947 cache-misses=15
[sample=2] cpu=0 bench=insertsort cycles=4737 instructions=2946 cache-misses=4
[sample=3] cpu=0 bench=insertsort cycles=4229 instructions=2946 cache-misses=3
[sample=4] cpu=0 bench=insertsort cycles=4219 instructions=2946 cache-misses=0
[sample=5] cpu=0 bench=insertsort cycles=4202 instructions=2946 cache-misses=1
[sample=6] cpu=0 bench=insertsort cycles=4529 instructions=2946 cache-misses=5
[sample=7] cpu=0 bench=insertsort cycles=4188 instructions=2946 cache-misses=3
[sample=8] cpu=0 bench=insertsort cycles=4291 instructions=2946 cache-misses=2
[sample=9] cpu=0 bench=insertsort cycles=5650 instructions=2946 cache-misses=3
[sample=10] cpu=0 bench=insertsort cycles=4223 instructions=2946 cache-misses=3
[sample=11] cpu=0 bench=insertsort cycles=4345 instructions=2946 cache-misses=2
[sample=12] cpu=0 bench=insertsort cycles=4239 instructions=2946 cache-misses=1
[sample=13] cpu=0 bench=insertsort cycles=4199 instructions=2946 cache-misses=4
[sample=14] cpu=0 bench=insertsort cycles=4200 instructions=2946 cache-misses=1
[sample=15] cpu=0 bench=insertsort cycles=4198 instructions=2946 cache-misses=0
[sample=16] cpu=0 bench=insertsort cycles=4215 instructions=2946 cache-misses=4
[sample=17] cpu=0 bench=insertsort cycles=4193 instructions=2946 cache-misses=2
[sample=18] cpu=0 bench=insertsort cycles=4224 instructions=2946 cache-misses=2
[sample=19] cpu=0 bench=insertsort cycles=4237 instructions=2946 cache-misses=3
[sample=20] cpu=0 bench=insertsort cycles=4251 instructions=2946 cache-misses=5
[sample=21] cpu=0 bench=insertsort cycles=4211 instructions=2946 cache-misses=2
[sample=22] cpu=0 bench=insertsort cycles=4191 instructions=2946 cache-misses=3
[sample=23] cpu=0 bench=insertsort cycles=4397 instructions=2946 cache-misses=2
[sample=24] cpu=0 bench=insertsort cycles=4209 instructions=2946 cache-misses=2
[sample=25] cpu=0 bench=insertsort cycles=4270 instructions=2946 cache-misses=2
[sample=26] cpu=0 bench=insertsort cycles=4196 instructions=2946 cache-misses=2
[sample=27] cpu=0 bench=insertsort cycles=4235 instructions=2947 cache-misses=4
[sample=28] cpu=0 bench=insertsort cycles=4243 instructions=2946 cache-misses=3
[sample=29] cpu=0 bench=insertsort cycles=4228 instructions=2946 cache-misses=3

# Statistics over 30 samples on cpu0 bench=insertsort (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        4188                22111              5144.70              4228.50
  instructions                  2946                 2954              2946.33              2946.00
  cache-misses                     0                   23                 3.63                 3.00
