[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=jfdctint (measured)  cpu1=POINTER  cpu2=POINTER  cpu3=PR_CACHE
[sample=0] cpu=0 bench=jfdctint cycles=16698 instructions=6385 cache-misses=16
[sample=1] cpu=0 bench=jfdctint cycles=24820 instructions=6381 cache-misses=11
[sample=2] cpu=0 bench=jfdctint cycles=19752 instructions=6381 cache-misses=9
[sample=3] cpu=0 bench=jfdctint cycles=17614 instructions=6382 cache-misses=6
[sample=4] cpu=0 bench=jfdctint cycles=13447 instructions=6381 cache-misses=5
[sample=5] cpu=0 bench=jfdctint cycles=10077 instructions=6381 cache-misses=6
[sample=6] cpu=0 bench=jfdctint cycles=10227 instructions=6382 cache-misses=6
[sample=7] cpu=0 bench=jfdctint cycles=8557 instructions=6382 cache-misses=4
[sample=8] cpu=0 bench=jfdctint cycles=13424 instructions=6382 cache-misses=5
[sample=9] cpu=0 bench=jfdctint cycles=8548 instructions=6382 cache-misses=5
[sample=10] cpu=0 bench=jfdctint cycles=8572 instructions=6382 cache-misses=6
[sample=11] cpu=0 bench=jfdctint cycles=8524 instructions=6382 cache-misses=6
[sample=12] cpu=0 bench=jfdctint cycles=22277 instructions=6382 cache-misses=8
[sample=13] cpu=0 bench=jfdctint cycles=21180 instructions=6382 cache-misses=7
[sample=14] cpu=0 bench=jfdctint cycles=20010 instructions=6382 cache-misses=9
[sample=15] cpu=0 bench=jfdctint cycles=20924 instructions=6382 cache-misses=7
[sample=16] cpu=0 bench=jfdctint cycles=15911 instructions=6381 cache-misses=6
[sample=17] cpu=0 bench=jfdctint cycles=20320 instructions=6381 cache-misses=8
[sample=18] cpu=0 bench=jfdctint cycles=32824 instructions=6381 cache-misses=7
[sample=19] cpu=0 bench=jfdctint cycles=28710 instructions=6382 cache-misses=8
[sample=20] cpu=0 bench=jfdctint cycles=29110 instructions=6382 cache-misses=7
[sample=21] cpu=0 bench=jfdctint cycles=26201 instructions=6381 cache-misses=10
[sample=22] cpu=0 bench=jfdctint cycles=24674 instructions=6382 cache-misses=6
[sample=23] cpu=0 bench=jfdctint cycles=22574 instructions=6381 cache-misses=8
[sample=24] cpu=0 bench=jfdctint cycles=19506 instructions=6381 cache-misses=8
[sample=25] cpu=0 bench=jfdctint cycles=9485 instructions=6381 cache-misses=7
[sample=26] cpu=0 bench=jfdctint cycles=9128 instructions=6381 cache-misses=7
[sample=27] cpu=0 bench=jfdctint cycles=8532 instructions=6381 cache-misses=6
[sample=28] cpu=0 bench=jfdctint cycles=8707 instructions=6381 cache-misses=5
[sample=29] cpu=0 bench=jfdctint cycles=8564 instructions=6381 cache-misses=7

# Statistics over 30 samples on cpu0 bench=jfdctint (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        8524                32824             16963.23             17156.00
  instructions                  6381                 6385              6381.60              6381.50
  cache-misses                     4                   16                 7.20                 7.00
