[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=ludcmp (measured)  cpu1=CACHE  cpu2=BUS  cpu3=PR_MEMBUS
[sample=0] cpu=0 bench=ludcmp cycles=26820 instructions=7026 cache-misses=38
[sample=1] cpu=0 bench=ludcmp cycles=22721 instructions=7019 cache-misses=33
[sample=2] cpu=0 bench=ludcmp cycles=10757 instructions=7015 cache-misses=14
[sample=3] cpu=0 bench=ludcmp cycles=10733 instructions=7013 cache-misses=6
[sample=4] cpu=0 bench=ludcmp cycles=10685 instructions=7012 cache-misses=5
[sample=5] cpu=0 bench=ludcmp cycles=10531 instructions=7012 cache-misses=4
[sample=6] cpu=0 bench=ludcmp cycles=10530 instructions=7012 cache-misses=3
[sample=7] cpu=0 bench=ludcmp cycles=10527 instructions=7012 cache-misses=4
[sample=8] cpu=0 bench=ludcmp cycles=10537 instructions=7012 cache-misses=4
[sample=9] cpu=0 bench=ludcmp cycles=10522 instructions=7012 cache-misses=1
[sample=10] cpu=0 bench=ludcmp cycles=10544 instructions=7012 cache-misses=3
[sample=11] cpu=0 bench=ludcmp cycles=10539 instructions=7011 cache-misses=5
[sample=12] cpu=0 bench=ludcmp cycles=10874 instructions=7012 cache-misses=5
[sample=13] cpu=0 bench=ludcmp cycles=10542 instructions=7012 cache-misses=2
[sample=14] cpu=0 bench=ludcmp cycles=10555 instructions=7011 cache-misses=5
[sample=15] cpu=0 bench=ludcmp cycles=10504 instructions=7010 cache-misses=4
[sample=16] cpu=0 bench=ludcmp cycles=10574 instructions=7011 cache-misses=4
[sample=17] cpu=0 bench=ludcmp cycles=10537 instructions=7010 cache-misses=3
[sample=18] cpu=0 bench=ludcmp cycles=10544 instructions=7010 cache-misses=4
[sample=19] cpu=0 bench=ludcmp cycles=10862 instructions=7011 cache-misses=4
[sample=20] cpu=0 bench=ludcmp cycles=10540 instructions=7011 cache-misses=5
[sample=21] cpu=0 bench=ludcmp cycles=10546 instructions=7012 cache-misses=4
[sample=22] cpu=0 bench=ludcmp cycles=10490 instructions=7011 cache-misses=3
[sample=23] cpu=0 bench=ludcmp cycles=10468 instructions=7010 cache-misses=2
[sample=24] cpu=0 bench=ludcmp cycles=10501 instructions=7010 cache-misses=4
[sample=25] cpu=0 bench=ludcmp cycles=10561 instructions=7012 cache-misses=3
[sample=26] cpu=0 bench=ludcmp cycles=10539 instructions=7012 cache-misses=3
[sample=27] cpu=0 bench=ludcmp cycles=10548 instructions=7011 cache-misses=2
[sample=28] cpu=0 bench=ludcmp cycles=10595 instructions=7010 cache-misses=3
[sample=29] cpu=0 bench=ludcmp cycles=10515 instructions=7011 cache-misses=2

# Statistics over 30 samples on cpu0 bench=ludcmp (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       10468                26820             11524.70             10543.00
  instructions                  7010                 7026              7012.17              7012.00
  cache-misses                     1                   38                 6.07                 4.00
