[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=matrix1 (measured)  cpu1=CACHE  cpu2=MEM  cpu3=BUS
[sample=0] cpu=0 bench=matrix1 cycles=43826 instructions=19926 cache-misses=31
[sample=1] cpu=0 bench=matrix1 cycles=26367 instructions=19918 cache-misses=12
[sample=2] cpu=0 bench=matrix1 cycles=20735 instructions=19922 cache-misses=4
[sample=3] cpu=0 bench=matrix1 cycles=21529 instructions=19922 cache-misses=1
[sample=4] cpu=0 bench=matrix1 cycles=20738 instructions=19924 cache-misses=1
[sample=5] cpu=0 bench=matrix1 cycles=20796 instructions=19923 cache-misses=1
[sample=6] cpu=0 bench=matrix1 cycles=20837 instructions=19919 cache-misses=1
[sample=7] cpu=0 bench=matrix1 cycles=20752 instructions=19921 cache-misses=2
[sample=8] cpu=0 bench=matrix1 cycles=20708 instructions=19918 cache-misses=2
[sample=9] cpu=0 bench=matrix1 cycles=20820 instructions=19919 cache-misses=1
[sample=10] cpu=0 bench=matrix1 cycles=20759 instructions=19919 cache-misses=2
[sample=11] cpu=0 bench=matrix1 cycles=20764 instructions=19918 cache-misses=2
[sample=12] cpu=0 bench=matrix1 cycles=20634 instructions=19919 cache-misses=1
[sample=13] cpu=0 bench=matrix1 cycles=20582 instructions=19917 cache-misses=2
[sample=14] cpu=0 bench=matrix1 cycles=21033 instructions=19921 cache-misses=2
[sample=15] cpu=0 bench=matrix1 cycles=20652 instructions=19919 cache-misses=3
[sample=16] cpu=0 bench=matrix1 cycles=20634 instructions=19918 cache-misses=2
[sample=17] cpu=0 bench=matrix1 cycles=20744 instructions=19920 cache-misses=2
[sample=18] cpu=0 bench=matrix1 cycles=20938 instructions=19918 cache-misses=0
[sample=19] cpu=0 bench=matrix1 cycles=20874 instructions=19920 cache-misses=0
[sample=20] cpu=0 bench=matrix1 cycles=20978 instructions=19916 cache-misses=1
[sample=21] cpu=0 bench=matrix1 cycles=20698 instructions=19920 cache-misses=4
[sample=22] cpu=0 bench=matrix1 cycles=20670 instructions=19919 cache-misses=5
[sample=23] cpu=0 bench=matrix1 cycles=20860 instructions=19919 cache-misses=3
[sample=24] cpu=0 bench=matrix1 cycles=20642 instructions=19919 cache-misses=2
[sample=25] cpu=0 bench=matrix1 cycles=20753 instructions=19920 cache-misses=2
[sample=26] cpu=0 bench=matrix1 cycles=23930 instructions=19921 cache-misses=1
[sample=27] cpu=0 bench=matrix1 cycles=23739 instructions=19921 cache-misses=2
[sample=28] cpu=0 bench=matrix1 cycles=20703 instructions=19919 cache-misses=2
[sample=29] cpu=0 bench=matrix1 cycles=20705 instructions=19920 cache-misses=1

# Statistics over 30 samples on cpu0 bench=matrix1 (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       20582                43826             21946.67             20756.00
  instructions                 19916                19926             19919.83             19919.00
  cache-misses                     0                   31                 3.17                 2.00
