[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=matrix1 (measured)  cpu1=PR_CACHE  cpu2=PR_CACHE  cpu3=PR_CACHE
[sample=0] cpu=0 bench=matrix1 cycles=29953 instructions=19924 cache-misses=32
[sample=1] cpu=0 bench=matrix1 cycles=24623 instructions=19923 cache-misses=19
[sample=2] cpu=0 bench=matrix1 cycles=20980 instructions=19925 cache-misses=9
[sample=3] cpu=0 bench=matrix1 cycles=22503 instructions=19922 cache-misses=6
[sample=4] cpu=0 bench=matrix1 cycles=20624 instructions=19919 cache-misses=4
[sample=5] cpu=0 bench=matrix1 cycles=20599 instructions=19920 cache-misses=5
[sample=6] cpu=0 bench=matrix1 cycles=20617 instructions=19920 cache-misses=5
[sample=7] cpu=0 bench=matrix1 cycles=20615 instructions=19920 cache-misses=4
[sample=8] cpu=0 bench=matrix1 cycles=20610 instructions=19921 cache-misses=2
[sample=9] cpu=0 bench=matrix1 cycles=20568 instructions=19915 cache-misses=4
[sample=10] cpu=0 bench=matrix1 cycles=23587 instructions=19920 cache-misses=20
[sample=11] cpu=0 bench=matrix1 cycles=20688 instructions=19922 cache-misses=7
[sample=12] cpu=0 bench=matrix1 cycles=20630 instructions=19921 cache-misses=9
[sample=13] cpu=0 bench=matrix1 cycles=20679 instructions=19923 cache-misses=6
[sample=14] cpu=0 bench=matrix1 cycles=20657 instructions=19922 cache-misses=5
[sample=15] cpu=0 bench=matrix1 cycles=20611 instructions=19919 cache-misses=5
[sample=16] cpu=0 bench=matrix1 cycles=20678 instructions=19919 cache-misses=6
[sample=17] cpu=0 bench=matrix1 cycles=20657 instructions=19920 cache-misses=3
[sample=18] cpu=0 bench=matrix1 cycles=20622 instructions=19918 cache-misses=2
[sample=19] cpu=0 bench=matrix1 cycles=20629 instructions=19920 cache-misses=3
[sample=20] cpu=0 bench=matrix1 cycles=20638 instructions=19920 cache-misses=4
[sample=21] cpu=0 bench=matrix1 cycles=20604 instructions=19918 cache-misses=3
[sample=22] cpu=0 bench=matrix1 cycles=20667 instructions=19921 cache-misses=4
[sample=23] cpu=0 bench=matrix1 cycles=20650 instructions=19921 cache-misses=5
[sample=24] cpu=0 bench=matrix1 cycles=20660 instructions=19921 cache-misses=6
[sample=25] cpu=0 bench=matrix1 cycles=20628 instructions=19920 cache-misses=3
[sample=26] cpu=0 bench=matrix1 cycles=20616 instructions=19920 cache-misses=4
[sample=27] cpu=0 bench=matrix1 cycles=20663 instructions=19919 cache-misses=5
[sample=28] cpu=0 bench=matrix1 cycles=20614 instructions=19916 cache-misses=4
[sample=29] cpu=0 bench=matrix1 cycles=20619 instructions=19915 cache-misses=4

# Statistics over 30 samples on cpu0 bench=matrix1 (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       20568                29953             21249.63             20634.00
  instructions                 19915                19925             19920.13             19920.00
  cache-misses                     2                   32                 6.60                 5.00
