[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=minver (measured)  cpu1=CACHE  cpu2=BUS  cpu3=MTH_MEM
[sample=0] cpu=0 bench=minver cycles=94914 instructions=4347 cache-misses=36
[sample=1] cpu=0 bench=minver cycles=32597 instructions=4446 cache-misses=26
[sample=2] cpu=0 bench=minver cycles=40383 instructions=4443 cache-misses=26
[sample=3] cpu=0 bench=minver cycles=11186 instructions=4126 cache-misses=22
[sample=4] cpu=0 bench=minver cycles=9914 instructions=4442 cache-misses=27
[sample=5] cpu=0 bench=minver cycles=9518 instructions=4447 cache-misses=21
[sample=6] cpu=0 bench=minver cycles=9088 instructions=4126 cache-misses=22
[sample=7] cpu=0 bench=minver cycles=15245 instructions=4126 cache-misses=22
[sample=8] cpu=0 bench=minver cycles=9530 instructions=4122 cache-misses=21
[sample=9] cpu=0 bench=minver cycles=8229 instructions=4122 cache-misses=21
[sample=10] cpu=0 bench=minver cycles=8575 instructions=4121 cache-misses=20
[sample=11] cpu=0 bench=minver cycles=9633 instructions=4124 cache-misses=22
[sample=12] cpu=0 bench=minver cycles=10214 instructions=4121 cache-misses=23
[sample=13] cpu=0 bench=minver cycles=8156 instructions=4122 cache-misses=21
[sample=14] cpu=0 bench=minver cycles=7520 instructions=4122 cache-misses=20
[sample=15] cpu=0 bench=minver cycles=8158 instructions=4122 cache-misses=19
[sample=16] cpu=0 bench=minver cycles=7440 instructions=4120 cache-misses=22
[sample=17] cpu=0 bench=minver cycles=7473 instructions=4121 cache-misses=21
[sample=18] cpu=0 bench=minver cycles=13212 instructions=4123 cache-misses=18
[sample=19] cpu=0 bench=minver cycles=8124 instructions=4122 cache-misses=19
[sample=20] cpu=0 bench=minver cycles=12141 instructions=4124 cache-misses=22
[sample=21] cpu=0 bench=minver cycles=13327 instructions=4122 cache-misses=21
[sample=22] cpu=0 bench=minver cycles=7985 instructions=4123 cache-misses=20
[sample=23] cpu=0 bench=minver cycles=8002 instructions=4127 cache-misses=24
[sample=24] cpu=0 bench=minver cycles=7634 instructions=4123 cache-misses=20
[sample=25] cpu=0 bench=minver cycles=8179 instructions=4121 cache-misses=22
[sample=26] cpu=0 bench=minver cycles=7634 instructions=4125 cache-misses=21
[sample=27] cpu=0 bench=minver cycles=8294 instructions=4124 cache-misses=20
[sample=28] cpu=0 bench=minver cycles=7577 instructions=4125 cache-misses=22
[sample=29] cpu=0 bench=minver cycles=8931 instructions=4122 cache-misses=21

# Statistics over 30 samples on cpu0 bench=minver (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        7440                94914             13960.43              8753.00
  instructions                  4120                 4447              4173.37              4123.00
  cache-misses                    18                   36                22.07                21.00
