[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=ndes (measured)  cpu1=CACHE  cpu2=BUS  cpu3=MTH_MEM
[sample=0] cpu=0 bench=ndes cycles=213349 instructions=83519 cache-misses=86
[sample=1] cpu=0 bench=ndes cycles=139481 instructions=83054 cache-misses=67
[sample=2] cpu=0 bench=ndes cycles=110211 instructions=83052 cache-misses=55
[sample=3] cpu=0 bench=ndes cycles=105397 instructions=83050 cache-misses=34
[sample=4] cpu=0 bench=ndes cycles=105384 instructions=83050 cache-misses=25
[sample=5] cpu=0 bench=ndes cycles=105437 instructions=83049 cache-misses=24
[sample=6] cpu=0 bench=ndes cycles=105105 instructions=83050 cache-misses=23
[sample=7] cpu=0 bench=ndes cycles=105033 instructions=83049 cache-misses=23
[sample=8] cpu=0 bench=ndes cycles=105066 instructions=83049 cache-misses=24
[sample=9] cpu=0 bench=ndes cycles=105184 instructions=83049 cache-misses=23
[sample=10] cpu=0 bench=ndes cycles=105420 instructions=83049 cache-misses=21
[sample=11] cpu=0 bench=ndes cycles=107308 instructions=83055 cache-misses=35
[sample=12] cpu=0 bench=ndes cycles=105079 instructions=83049 cache-misses=25
[sample=13] cpu=0 bench=ndes cycles=104945 instructions=83049 cache-misses=25
[sample=14] cpu=0 bench=ndes cycles=104982 instructions=83049 cache-misses=20
[sample=15] cpu=0 bench=ndes cycles=105040 instructions=83049 cache-misses=20
[sample=16] cpu=0 bench=ndes cycles=105336 instructions=83048 cache-misses=18
[sample=17] cpu=0 bench=ndes cycles=105410 instructions=83048 cache-misses=21
[sample=18] cpu=0 bench=ndes cycles=105300 instructions=83048 cache-misses=20
[sample=19] cpu=0 bench=ndes cycles=105084 instructions=83049 cache-misses=25
[sample=20] cpu=0 bench=ndes cycles=105055 instructions=83049 cache-misses=22
[sample=21] cpu=0 bench=ndes cycles=105192 instructions=83049 cache-misses=20
[sample=22] cpu=0 bench=ndes cycles=105227 instructions=83050 cache-misses=17
[sample=23] cpu=0 bench=ndes cycles=105177 instructions=83049 cache-misses=23
[sample=24] cpu=0 bench=ndes cycles=104893 instructions=83050 cache-misses=23
[sample=25] cpu=0 bench=ndes cycles=105031 instructions=83049 cache-misses=24
[sample=26] cpu=0 bench=ndes cycles=105046 instructions=83049 cache-misses=17
[sample=27] cpu=0 bench=ndes cycles=105002 instructions=83049 cache-misses=21
[sample=28] cpu=0 bench=ndes cycles=105031 instructions=83049 cache-misses=19
[sample=29] cpu=0 bench=ndes cycles=105127 instructions=83049 cache-misses=18

# Statistics over 30 samples on cpu0 bench=ndes (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                      104893               213349            110144.40            105152.00
  instructions                 83048                83519             83065.20             83049.00
  cache-misses                    17                   86                27.27                23.00
