[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=petrinet (measured)  cpu1=PR_CACHE  cpu2=PR_ROWBUF  cpu3=MTH_MEM
[sample=0] cpu=0 bench=petrinet cycles=153368 instructions=2179 cache-misses=22
[sample=1] cpu=0 bench=petrinet cycles=141442 instructions=2173 cache-misses=19
[sample=2] cpu=0 bench=petrinet cycles=8921 instructions=2173 cache-misses=10
[sample=3] cpu=0 bench=petrinet cycles=3618 instructions=2173 cache-misses=11
[sample=4] cpu=0 bench=petrinet cycles=3561 instructions=2173 cache-misses=10
[sample=5] cpu=0 bench=petrinet cycles=136850 instructions=2173 cache-misses=16
[sample=6] cpu=0 bench=petrinet cycles=6119 instructions=2173 cache-misses=13
[sample=7] cpu=0 bench=petrinet cycles=4354 instructions=2173 cache-misses=9
[sample=8] cpu=0 bench=petrinet cycles=4254 instructions=2173 cache-misses=9
[sample=9] cpu=0 bench=petrinet cycles=5008 instructions=2173 cache-misses=6
[sample=10] cpu=0 bench=petrinet cycles=3311 instructions=2173 cache-misses=7
[sample=11] cpu=0 bench=petrinet cycles=3925 instructions=2173 cache-misses=7
[sample=12] cpu=0 bench=petrinet cycles=85838 instructions=2173 cache-misses=16
[sample=13] cpu=0 bench=petrinet cycles=5396 instructions=2173 cache-misses=10
[sample=14] cpu=0 bench=petrinet cycles=4202 instructions=2173 cache-misses=7
[sample=15] cpu=0 bench=petrinet cycles=8796 instructions=2173 cache-misses=5
[sample=16] cpu=0 bench=petrinet cycles=4095 instructions=2173 cache-misses=7
[sample=17] cpu=0 bench=petrinet cycles=4665 instructions=2173 cache-misses=6
[sample=18] cpu=0 bench=petrinet cycles=4078 instructions=2173 cache-misses=5
[sample=19] cpu=0 bench=petrinet cycles=3959 instructions=2173 cache-misses=7
[sample=20] cpu=0 bench=petrinet cycles=4670 instructions=2173 cache-misses=6
[sample=21] cpu=0 bench=petrinet cycles=4313 instructions=2173 cache-misses=6
[sample=22] cpu=0 bench=petrinet cycles=4242 instructions=2173 cache-misses=7
[sample=23] cpu=0 bench=petrinet cycles=4097 instructions=2173 cache-misses=5
[sample=24] cpu=0 bench=petrinet cycles=4832 instructions=2173 cache-misses=7
[sample=25] cpu=0 bench=petrinet cycles=4072 instructions=2173 cache-misses=6
[sample=26] cpu=0 bench=petrinet cycles=4428 instructions=2173 cache-misses=6
[sample=27] cpu=0 bench=petrinet cycles=3733 instructions=2174 cache-misses=9
[sample=28] cpu=0 bench=petrinet cycles=4706 instructions=2173 cache-misses=6
[sample=29] cpu=0 bench=petrinet cycles=4453 instructions=2173 cache-misses=5

# Statistics over 30 samples on cpu0 bench=petrinet (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        3311               153368             21310.20              4391.00
  instructions                  2173                 2179              2173.23              2173.00
  cache-misses                     5                   22                 8.83                 7.00
