[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=rad2deg (measured)  cpu1=CACHE  cpu2=BUS  cpu3=PR_MEMBUS
[sample=0] cpu=0 bench=rad2deg cycles=22124 instructions=12679 cache-misses=10
[sample=1] cpu=0 bench=rad2deg cycles=18143 instructions=12675 cache-misses=5
[sample=2] cpu=0 bench=rad2deg cycles=17237 instructions=12675 cache-misses=2
[sample=3] cpu=0 bench=rad2deg cycles=17171 instructions=12673 cache-misses=2
[sample=4] cpu=0 bench=rad2deg cycles=17199 instructions=12675 cache-misses=2
[sample=5] cpu=0 bench=rad2deg cycles=17191 instructions=12676 cache-misses=1
[sample=6] cpu=0 bench=rad2deg cycles=17152 instructions=12673 cache-misses=1
[sample=7] cpu=0 bench=rad2deg cycles=17185 instructions=12675 cache-misses=2
[sample=8] cpu=0 bench=rad2deg cycles=17173 instructions=12675 cache-misses=1
[sample=9] cpu=0 bench=rad2deg cycles=17210 instructions=12676 cache-misses=2
[sample=10] cpu=0 bench=rad2deg cycles=17138 instructions=12674 cache-misses=2
[sample=11] cpu=0 bench=rad2deg cycles=17178 instructions=12675 cache-misses=2
[sample=12] cpu=0 bench=rad2deg cycles=17173 instructions=12675 cache-misses=1
[sample=13] cpu=0 bench=rad2deg cycles=17168 instructions=12675 cache-misses=1
[sample=14] cpu=0 bench=rad2deg cycles=17158 instructions=12675 cache-misses=1
[sample=15] cpu=0 bench=rad2deg cycles=17184 instructions=12675 cache-misses=2
[sample=16] cpu=0 bench=rad2deg cycles=17182 instructions=12675 cache-misses=1
[sample=17] cpu=0 bench=rad2deg cycles=17185 instructions=12675 cache-misses=1
[sample=18] cpu=0 bench=rad2deg cycles=17189 instructions=12675 cache-misses=2
[sample=19] cpu=0 bench=rad2deg cycles=17186 instructions=12675 cache-misses=2
[sample=20] cpu=0 bench=rad2deg cycles=17165 instructions=12675 cache-misses=1
[sample=21] cpu=0 bench=rad2deg cycles=17203 instructions=12675 cache-misses=2
[sample=22] cpu=0 bench=rad2deg cycles=17168 instructions=12675 cache-misses=1
[sample=23] cpu=0 bench=rad2deg cycles=17166 instructions=12675 cache-misses=1
[sample=24] cpu=0 bench=rad2deg cycles=17167 instructions=12675 cache-misses=1
[sample=25] cpu=0 bench=rad2deg cycles=17194 instructions=12676 cache-misses=1
[sample=26] cpu=0 bench=rad2deg cycles=17178 instructions=12675 cache-misses=2
[sample=27] cpu=0 bench=rad2deg cycles=17736 instructions=12675 cache-misses=1
[sample=28] cpu=0 bench=rad2deg cycles=17197 instructions=12675 cache-misses=2
[sample=29] cpu=0 bench=rad2deg cycles=17184 instructions=12673 cache-misses=2

# Statistics over 30 samples on cpu0 bench=rad2deg (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       17138                22124             17396.13             17184.00
  instructions                 12673                12679             12675.00             12675.00
  cache-misses                     1                   10                 1.90                 2.00
