[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=statemate (measured)  cpu1=PR_CACHE  cpu2=MTH_CACHE  cpu3=MTH_MEM
[sample=0] cpu=0 bench=statemate cycles=154223 instructions=84929 cache-misses=70
[sample=1] cpu=0 bench=statemate cycles=153460 instructions=84920 cache-misses=56
[sample=2] cpu=0 bench=statemate cycles=112304 instructions=84920 cache-misses=14
[sample=3] cpu=0 bench=statemate cycles=106316 instructions=84920 cache-misses=8
[sample=4] cpu=0 bench=statemate cycles=106650 instructions=84919 cache-misses=6
[sample=5] cpu=0 bench=statemate cycles=105768 instructions=84919 cache-misses=8
[sample=6] cpu=0 bench=statemate cycles=106460 instructions=84919 cache-misses=4
[sample=7] cpu=0 bench=statemate cycles=106966 instructions=84920 cache-misses=4
[sample=8] cpu=0 bench=statemate cycles=105708 instructions=84920 cache-misses=4
[sample=9] cpu=0 bench=statemate cycles=105794 instructions=84920 cache-misses=2
[sample=10] cpu=0 bench=statemate cycles=105685 instructions=84920 cache-misses=3
[sample=11] cpu=0 bench=statemate cycles=105753 instructions=84920 cache-misses=4
[sample=12] cpu=0 bench=statemate cycles=105666 instructions=84919 cache-misses=3
[sample=13] cpu=0 bench=statemate cycles=106331 instructions=84919 cache-misses=2
[sample=14] cpu=0 bench=statemate cycles=106105 instructions=84919 cache-misses=3
[sample=15] cpu=0 bench=statemate cycles=105794 instructions=84919 cache-misses=3
[sample=16] cpu=0 bench=statemate cycles=105756 instructions=84919 cache-misses=4
[sample=17] cpu=0 bench=statemate cycles=105847 instructions=84919 cache-misses=2
[sample=18] cpu=0 bench=statemate cycles=106172 instructions=84919 cache-misses=3
[sample=19] cpu=0 bench=statemate cycles=105787 instructions=84919 cache-misses=5
[sample=20] cpu=0 bench=statemate cycles=105780 instructions=84920 cache-misses=5
[sample=21] cpu=0 bench=statemate cycles=107143 instructions=84920 cache-misses=3
[sample=22] cpu=0 bench=statemate cycles=106817 instructions=84920 cache-misses=1
[sample=23] cpu=0 bench=statemate cycles=162027 instructions=84923 cache-misses=58
[sample=24] cpu=0 bench=statemate cycles=143162 instructions=84919 cache-misses=32
[sample=25] cpu=0 bench=statemate cycles=112082 instructions=84919 cache-misses=12
[sample=26] cpu=0 bench=statemate cycles=109611 instructions=84919 cache-misses=7
[sample=27] cpu=0 bench=statemate cycles=107682 instructions=84919 cache-misses=8
[sample=28] cpu=0 bench=statemate cycles=106230 instructions=84919 cache-misses=2
[sample=29] cpu=0 bench=statemate cycles=106955 instructions=84919 cache-misses=3

# Statistics over 30 samples on cpu0 bench=statemate (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                      105666               162027            113001.13            106323.50
  instructions                 84919                84929             84919.83             84919.00
  cache-misses                     1                   70                11.30                 4.00
