[info] offlined cpu3..cpu3 to isolate the active cores
[info] cpu0..cpu2 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=3, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=BUS  cpu2=MEM
[sample=0] cpu=0 bench=adpcm_dec cycles=469071 instructions=228478 cache-misses=66
[sample=1] cpu=0 bench=adpcm_dec cycles=455223 instructions=228472 cache-misses=52
[sample=2] cpu=0 bench=adpcm_dec cycles=410362 instructions=228470 cache-misses=48
[sample=3] cpu=0 bench=adpcm_dec cycles=342189 instructions=228470 cache-misses=47
[sample=4] cpu=0 bench=adpcm_dec cycles=345295 instructions=228468 cache-misses=57
[sample=5] cpu=0 bench=adpcm_dec cycles=319934 instructions=228469 cache-misses=44
[sample=6] cpu=0 bench=adpcm_dec cycles=317590 instructions=228469 cache-misses=48
[sample=7] cpu=0 bench=adpcm_dec cycles=317906 instructions=228468 cache-misses=48
[sample=8] cpu=0 bench=adpcm_dec cycles=320478 instructions=228469 cache-misses=50
[sample=9] cpu=0 bench=adpcm_dec cycles=316889 instructions=228468 cache-misses=43
[sample=10] cpu=0 bench=adpcm_dec cycles=316672 instructions=228469 cache-misses=45
[sample=11] cpu=0 bench=adpcm_dec cycles=317730 instructions=228467 cache-misses=44
[sample=12] cpu=0 bench=adpcm_dec cycles=316949 instructions=228467 cache-misses=43
[sample=13] cpu=0 bench=adpcm_dec cycles=318064 instructions=228471 cache-misses=43
[sample=14] cpu=0 bench=adpcm_dec cycles=317483 instructions=228467 cache-misses=52
[sample=15] cpu=0 bench=adpcm_dec cycles=317300 instructions=228467 cache-misses=42
[sample=16] cpu=0 bench=adpcm_dec cycles=317579 instructions=228468 cache-misses=47
[sample=17] cpu=0 bench=adpcm_dec cycles=327197 instructions=228468 cache-misses=48
[sample=18] cpu=0 bench=adpcm_dec cycles=324308 instructions=228468 cache-misses=53
[sample=19] cpu=0 bench=adpcm_dec cycles=317787 instructions=228468 cache-misses=52
[sample=20] cpu=0 bench=adpcm_dec cycles=317618 instructions=228469 cache-misses=46
[sample=21] cpu=0 bench=adpcm_dec cycles=317660 instructions=228469 cache-misses=54
[sample=22] cpu=0 bench=adpcm_dec cycles=317412 instructions=228467 cache-misses=39
[sample=23] cpu=0 bench=adpcm_dec cycles=321096 instructions=228469 cache-misses=52
[sample=24] cpu=0 bench=adpcm_dec cycles=323863 instructions=228468 cache-misses=43
[sample=25] cpu=0 bench=adpcm_dec cycles=317045 instructions=228469 cache-misses=51
[sample=26] cpu=0 bench=adpcm_dec cycles=317905 instructions=228467 cache-misses=41
[sample=27] cpu=0 bench=adpcm_dec cycles=319780 instructions=228467 cache-misses=50
[sample=28] cpu=0 bench=adpcm_dec cycles=317633 instructions=228470 cache-misses=44
[sample=29] cpu=0 bench=adpcm_dec cycles=316096 instructions=228471 cache-misses=42
[sample=30] cpu=0 bench=adpcm_dec cycles=316618 instructions=228469 cache-misses=43
[sample=31] cpu=0 bench=adpcm_dec cycles=316141 instructions=228469 cache-misses=49
[sample=32] cpu=0 bench=adpcm_dec cycles=317892 instructions=228469 cache-misses=49
[sample=33] cpu=0 bench=adpcm_dec cycles=317455 instructions=228469 cache-misses=50
[sample=34] cpu=0 bench=adpcm_dec cycles=317668 instructions=228470 cache-misses=44
[sample=35] cpu=0 bench=adpcm_dec cycles=318144 instructions=228469 cache-misses=61
[sample=36] cpu=0 bench=adpcm_dec cycles=318560 instructions=228471 cache-misses=48
[sample=37] cpu=0 bench=adpcm_dec cycles=316790 instructions=228469 cache-misses=55
[sample=38] cpu=0 bench=adpcm_dec cycles=318121 instructions=228470 cache-misses=49
[sample=39] cpu=0 bench=adpcm_dec cycles=318352 instructions=228468 cache-misses=44
[sample=40] cpu=0 bench=adpcm_dec cycles=317349 instructions=228468 cache-misses=55
[sample=41] cpu=0 bench=adpcm_dec cycles=317767 instructions=228469 cache-misses=43
[sample=42] cpu=0 bench=adpcm_dec cycles=317398 instructions=228469 cache-misses=43
[sample=43] cpu=0 bench=adpcm_dec cycles=322692 instructions=228468 cache-misses=45
[sample=44] cpu=0 bench=adpcm_dec cycles=316647 instructions=228470 cache-misses=39
[sample=45] cpu=0 bench=adpcm_dec cycles=317883 instructions=228472 cache-misses=47
[sample=46] cpu=0 bench=adpcm_dec cycles=335815 instructions=228470 cache-misses=60
[sample=47] cpu=0 bench=adpcm_dec cycles=317833 instructions=228468 cache-misses=53
[sample=48] cpu=0 bench=adpcm_dec cycles=317889 instructions=228468 cache-misses=43
[sample=49] cpu=0 bench=adpcm_dec cycles=316423 instructions=228471 cache-misses=43
[sample=50] cpu=0 bench=adpcm_dec cycles=319062 instructions=228470 cache-misses=51
[sample=51] cpu=0 bench=adpcm_dec cycles=317938 instructions=228470 cache-misses=51
[sample=52] cpu=0 bench=adpcm_dec cycles=317924 instructions=228472 cache-misses=42
[sample=53] cpu=0 bench=adpcm_dec cycles=318071 instructions=228468 cache-misses=48
[sample=54] cpu=0 bench=adpcm_dec cycles=317572 instructions=228469 cache-misses=46
[sample=55] cpu=0 bench=adpcm_dec cycles=319012 instructions=228472 cache-misses=63
[sample=56] cpu=0 bench=adpcm_dec cycles=318797 instructions=228470 cache-misses=47
[sample=57] cpu=0 bench=adpcm_dec cycles=317323 instructions=228470 cache-misses=45
[sample=58] cpu=0 bench=adpcm_dec cycles=318557 instructions=228470 cache-misses=48
[sample=59] cpu=0 bench=adpcm_dec cycles=317435 instructions=228467 cache-misses=43
[sample=60] cpu=0 bench=adpcm_dec cycles=355975 instructions=228471 cache-misses=91
[sample=61] cpu=0 bench=adpcm_dec cycles=402951 instructions=228468 cache-misses=57
[sample=62] cpu=0 bench=adpcm_dec cycles=382585 instructions=228469 cache-misses=41
[sample=63] cpu=0 bench=adpcm_dec cycles=325140 instructions=228472 cache-misses=47
[sample=64] cpu=0 bench=adpcm_dec cycles=329815 instructions=228468 cache-misses=49
[sample=65] cpu=0 bench=adpcm_dec cycles=325365 instructions=228472 cache-misses=51
[sample=66] cpu=0 bench=adpcm_dec cycles=321338 instructions=228468 cache-misses=54
[sample=67] cpu=0 bench=adpcm_dec cycles=317571 instructions=228469 cache-misses=47
[sample=68] cpu=0 bench=adpcm_dec cycles=317951 instructions=228469 cache-misses=46
[sample=69] cpu=0 bench=adpcm_dec cycles=317829 instructions=228468 cache-misses=42
[sample=70] cpu=0 bench=adpcm_dec cycles=318200 instructions=228469 cache-misses=54
[sample=71] cpu=0 bench=adpcm_dec cycles=316985 instructions=228468 cache-misses=53
[sample=72] cpu=0 bench=adpcm_dec cycles=319133 instructions=228469 cache-misses=40
[sample=73] cpu=0 bench=adpcm_dec cycles=321447 instructions=228469 cache-misses=53
[sample=74] cpu=0 bench=adpcm_dec cycles=317962 instructions=228468 cache-misses=50
[sample=75] cpu=0 bench=adpcm_dec cycles=317905 instructions=228469 cache-misses=51
[sample=76] cpu=0 bench=adpcm_dec cycles=317761 instructions=228471 cache-misses=46
[sample=77] cpu=0 bench=adpcm_dec cycles=317091 instructions=228470 cache-misses=54
[sample=78] cpu=0 bench=adpcm_dec cycles=316811 instructions=228472 cache-misses=50
[sample=79] cpu=0 bench=adpcm_dec cycles=317079 instructions=228472 cache-misses=48
[sample=80] cpu=0 bench=adpcm_dec cycles=317235 instructions=228469 cache-misses=49
[sample=81] cpu=0 bench=adpcm_dec cycles=316126 instructions=228470 cache-misses=48
[sample=82] cpu=0 bench=adpcm_dec cycles=316830 instructions=228469 cache-misses=53
[sample=83] cpu=0 bench=adpcm_dec cycles=316792 instructions=228468 cache-misses=47
[sample=84] cpu=0 bench=adpcm_dec cycles=322267 instructions=228471 cache-misses=63
[sample=85] cpu=0 bench=adpcm_dec cycles=317572 instructions=228467 cache-misses=52
[sample=86] cpu=0 bench=adpcm_dec cycles=316692 instructions=228467 cache-misses=47
[sample=87] cpu=0 bench=adpcm_dec cycles=317040 instructions=228467 cache-misses=45
[sample=88] cpu=0 bench=adpcm_dec cycles=317711 instructions=228467 cache-misses=44
[sample=89] cpu=0 bench=adpcm_dec cycles=317686 instructions=228468 cache-misses=48
[sample=90] cpu=0 bench=adpcm_dec cycles=318362 instructions=228468 cache-misses=41
[sample=91] cpu=0 bench=adpcm_dec cycles=316831 instructions=228469 cache-misses=44
[sample=92] cpu=0 bench=adpcm_dec cycles=317609 instructions=228468 cache-misses=46
[sample=93] cpu=0 bench=adpcm_dec cycles=322791 instructions=228468 cache-misses=39
[sample=94] cpu=0 bench=adpcm_dec cycles=320026 instructions=228468 cache-misses=51
[sample=95] cpu=0 bench=adpcm_dec cycles=323460 instructions=228470 cache-misses=50
[sample=96] cpu=0 bench=adpcm_dec cycles=317981 instructions=228468 cache-misses=47
[sample=97] cpu=0 bench=adpcm_dec cycles=316928 instructions=228469 cache-misses=49
[sample=98] cpu=0 bench=adpcm_dec cycles=317800 instructions=228471 cache-misses=44
