[info] offlined cpu3..cpu3 to isolate the active cores
[info] cpu0..cpu2 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=3, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=BUS  cpu2=MEM
[sample=0] cpu=0 bench=binarysearch cycles=30295 instructions=1263 cache-misses=18
[sample=1] cpu=0 bench=binarysearch cycles=19700 instructions=1258 cache-misses=10
[sample=2] cpu=0 bench=binarysearch cycles=2306 instructions=1258 cache-misses=6
[sample=3] cpu=0 bench=binarysearch cycles=2529 instructions=1257 cache-misses=10
[sample=4] cpu=0 bench=binarysearch cycles=2498 instructions=1257 cache-misses=9
[sample=5] cpu=0 bench=binarysearch cycles=2148 instructions=1258 cache-misses=7
[sample=6] cpu=0 bench=binarysearch cycles=2304 instructions=1258 cache-misses=8
[sample=7] cpu=0 bench=binarysearch cycles=2294 instructions=1258 cache-misses=9
[sample=8] cpu=0 bench=binarysearch cycles=2599 instructions=1258 cache-misses=11
[sample=9] cpu=0 bench=binarysearch cycles=2492 instructions=1258 cache-misses=9
[sample=10] cpu=0 bench=binarysearch cycles=2273 instructions=1258 cache-misses=6
[sample=11] cpu=0 bench=binarysearch cycles=2301 instructions=1257 cache-misses=9
[sample=12] cpu=0 bench=binarysearch cycles=2575 instructions=1258 cache-misses=6
[sample=13] cpu=0 bench=binarysearch cycles=2291 instructions=1258 cache-misses=6
[sample=14] cpu=0 bench=binarysearch cycles=2287 instructions=1258 cache-misses=7
[sample=15] cpu=0 bench=binarysearch cycles=2374 instructions=1258 cache-misses=10
[sample=16] cpu=0 bench=binarysearch cycles=2337 instructions=1258 cache-misses=8
[sample=17] cpu=0 bench=binarysearch cycles=2410 instructions=1258 cache-misses=7
[sample=18] cpu=0 bench=binarysearch cycles=3160 instructions=1258 cache-misses=8
[sample=19] cpu=0 bench=binarysearch cycles=2782 instructions=1258 cache-misses=7
[sample=20] cpu=0 bench=binarysearch cycles=2468 instructions=1258 cache-misses=6
[sample=21] cpu=0 bench=binarysearch cycles=2660 instructions=1258 cache-misses=4
[sample=22] cpu=0 bench=binarysearch cycles=3088 instructions=1258 cache-misses=7
[sample=23] cpu=0 bench=binarysearch cycles=2948 instructions=1258 cache-misses=5
[sample=24] cpu=0 bench=binarysearch cycles=2727 instructions=1258 cache-misses=10
[sample=25] cpu=0 bench=binarysearch cycles=3403 instructions=1258 cache-misses=8
[sample=26] cpu=0 bench=binarysearch cycles=2852 instructions=1258 cache-misses=8
[sample=27] cpu=0 bench=binarysearch cycles=2585 instructions=1258 cache-misses=6
[sample=28] cpu=0 bench=binarysearch cycles=2367 instructions=1258 cache-misses=11
[sample=29] cpu=0 bench=binarysearch cycles=2150 instructions=1258 cache-misses=11
[sample=30] cpu=0 bench=binarysearch cycles=6149 instructions=1258 cache-misses=11
[sample=31] cpu=0 bench=binarysearch cycles=2424 instructions=1258 cache-misses=9
[sample=32] cpu=0 bench=binarysearch cycles=2235 instructions=1258 cache-misses=7
[sample=33] cpu=0 bench=binarysearch cycles=2322 instructions=1258 cache-misses=11
[sample=34] cpu=0 bench=binarysearch cycles=2112 instructions=1258 cache-misses=8
[sample=35] cpu=0 bench=binarysearch cycles=2210 instructions=1258 cache-misses=10
[sample=36] cpu=0 bench=binarysearch cycles=2262 instructions=1258 cache-misses=6
[sample=37] cpu=0 bench=binarysearch cycles=2551 instructions=1257 cache-misses=10
[sample=38] cpu=0 bench=binarysearch cycles=2478 instructions=1258 cache-misses=7
[sample=39] cpu=0 bench=binarysearch cycles=2259 instructions=1258 cache-misses=10
[sample=40] cpu=0 bench=binarysearch cycles=2234 instructions=1258 cache-misses=11
[sample=41] cpu=0 bench=binarysearch cycles=2151 instructions=1258 cache-misses=9
[sample=42] cpu=0 bench=binarysearch cycles=2155 instructions=1258 cache-misses=8
[sample=43] cpu=0 bench=binarysearch cycles=2082 instructions=1258 cache-misses=7
[sample=44] cpu=0 bench=binarysearch cycles=2637 instructions=1258 cache-misses=9
[sample=45] cpu=0 bench=binarysearch cycles=2388 instructions=1258 cache-misses=7
[sample=46] cpu=0 bench=binarysearch cycles=2053 instructions=1258 cache-misses=7
[sample=47] cpu=0 bench=binarysearch cycles=2318 instructions=1258 cache-misses=8
[sample=48] cpu=0 bench=binarysearch cycles=2335 instructions=1258 cache-misses=8
[sample=49] cpu=0 bench=binarysearch cycles=4037 instructions=1258 cache-misses=10
[sample=50] cpu=0 bench=binarysearch cycles=2157 instructions=1258 cache-misses=8
[sample=51] cpu=0 bench=binarysearch cycles=2091 instructions=1258 cache-misses=10
[sample=52] cpu=0 bench=binarysearch cycles=2162 instructions=1258 cache-misses=9
[sample=53] cpu=0 bench=binarysearch cycles=2096 instructions=1258 cache-misses=7
[sample=54] cpu=0 bench=binarysearch cycles=2298 instructions=1258 cache-misses=8
[sample=55] cpu=0 bench=binarysearch cycles=2297 instructions=1258 cache-misses=10
[sample=56] cpu=0 bench=binarysearch cycles=2429 instructions=1258 cache-misses=5
[sample=57] cpu=0 bench=binarysearch cycles=2469 instructions=1258 cache-misses=9
[sample=58] cpu=0 bench=binarysearch cycles=2442 instructions=1258 cache-misses=11
[sample=59] cpu=0 bench=binarysearch cycles=2544 instructions=1258 cache-misses=7
[sample=60] cpu=0 bench=binarysearch cycles=2647 instructions=1258 cache-misses=6
[sample=61] cpu=0 bench=binarysearch cycles=2327 instructions=1258 cache-misses=8
[sample=62] cpu=0 bench=binarysearch cycles=2130 instructions=1258 cache-misses=8
[sample=63] cpu=0 bench=binarysearch cycles=2301 instructions=1258 cache-misses=11
[sample=64] cpu=0 bench=binarysearch cycles=2146 instructions=1258 cache-misses=8
[sample=65] cpu=0 bench=binarysearch cycles=3162 instructions=1258 cache-misses=8
[sample=66] cpu=0 bench=binarysearch cycles=2145 instructions=1258 cache-misses=8
[sample=67] cpu=0 bench=binarysearch cycles=2347 instructions=1258 cache-misses=6
[sample=68] cpu=0 bench=binarysearch cycles=2185 instructions=1258 cache-misses=8
[sample=69] cpu=0 bench=binarysearch cycles=2472 instructions=1258 cache-misses=9
[sample=70] cpu=0 bench=binarysearch cycles=2349 instructions=1258 cache-misses=7
[sample=71] cpu=0 bench=binarysearch cycles=2208 instructions=1258 cache-misses=8
[sample=72] cpu=0 bench=binarysearch cycles=2286 instructions=1258 cache-misses=5
[sample=73] cpu=0 bench=binarysearch cycles=2080 instructions=1258 cache-misses=7
[sample=74] cpu=0 bench=binarysearch cycles=2205 instructions=1258 cache-misses=8
[sample=75] cpu=0 bench=binarysearch cycles=2329 instructions=1258 cache-misses=10
[sample=76] cpu=0 bench=binarysearch cycles=2236 instructions=1258 cache-misses=8
[sample=77] cpu=0 bench=binarysearch cycles=2360 instructions=1258 cache-misses=9
[sample=78] cpu=0 bench=binarysearch cycles=2307 instructions=1258 cache-misses=11
[sample=79] cpu=0 bench=binarysearch cycles=2583 instructions=1258 cache-misses=7
[sample=80] cpu=0 bench=binarysearch cycles=2211 instructions=1258 cache-misses=9
[sample=81] cpu=0 bench=binarysearch cycles=2205 instructions=1258 cache-misses=6
[sample=82] cpu=0 bench=binarysearch cycles=2471 instructions=1258 cache-misses=8
[sample=83] cpu=0 bench=binarysearch cycles=2752 instructions=1258 cache-misses=8
[sample=84] cpu=0 bench=binarysearch cycles=2250 instructions=1258 cache-misses=7
[sample=85] cpu=0 bench=binarysearch cycles=2245 instructions=1258 cache-misses=6
[sample=86] cpu=0 bench=binarysearch cycles=2289 instructions=1258 cache-misses=7
[sample=87] cpu=0 bench=binarysearch cycles=2417 instructions=1258 cache-misses=11
[sample=88] cpu=0 bench=binarysearch cycles=2519 instructions=1258 cache-misses=8
[sample=89] cpu=0 bench=binarysearch cycles=2352 instructions=1258 cache-misses=6
[sample=90] cpu=0 bench=binarysearch cycles=2198 instructions=1258 cache-misses=7
[sample=91] cpu=0 bench=binarysearch cycles=2493 instructions=1258 cache-misses=11
[sample=92] cpu=0 bench=binarysearch cycles=2455 instructions=1258 cache-misses=8
[sample=93] cpu=0 bench=binarysearch cycles=2700 instructions=1258 cache-misses=7
[sample=94] cpu=0 bench=binarysearch cycles=2481 instructions=1258 cache-misses=9
[sample=95] cpu=0 bench=binarysearch cycles=2345 instructions=1258 cache-misses=8
[sample=96] cpu=0 bench=binarysearch cycles=2103 instructions=1258 cache-misses=8
[sample=97] cpu=0 bench=binarysearch cycles=2474 instructions=1258 cache-misses=7
[sample=98] cpu=0 bench=binarysearch cycles=2335 instructions=1258 cache-misses=8
[sample=99] cpu=0 bench=binarysearch cycles=2012 instructions=1258 cache-misses=5

# Statistics over 100 samples on cpu0 bench=binarysearch (background load on cpu1..cpu2)
# event                          min                  max                  avg               median
  cycles                        2012                30295              2896.92              2336.00
  instructions                  1257                 1263              1258.01              1258.00
  cache-misses                     4                   18                 8.18                 8.00
