[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=PIPELINE
[sample=0] cpu=0 bench=binarysearch cycles=6632 instructions=1263 cache-misses=14
[sample=1] cpu=0 bench=binarysearch cycles=2408 instructions=1258 cache-misses=9
[sample=2] cpu=0 bench=binarysearch cycles=1969 instructions=1258 cache-misses=8
[sample=3] cpu=0 bench=binarysearch cycles=1961 instructions=1258 cache-misses=6
[sample=4] cpu=0 bench=binarysearch cycles=1964 instructions=1258 cache-misses=6
[sample=5] cpu=0 bench=binarysearch cycles=1941 instructions=1258 cache-misses=6
[sample=6] cpu=0 bench=binarysearch cycles=1987 instructions=1258 cache-misses=6
[sample=7] cpu=0 bench=binarysearch cycles=1992 instructions=1258 cache-misses=6
[sample=8] cpu=0 bench=binarysearch cycles=2009 instructions=1258 cache-misses=10
[sample=9] cpu=0 bench=binarysearch cycles=1983 instructions=1258 cache-misses=7
[sample=10] cpu=0 bench=binarysearch cycles=1967 instructions=1258 cache-misses=7
[sample=11] cpu=0 bench=binarysearch cycles=1982 instructions=1257 cache-misses=6
[sample=12] cpu=0 bench=binarysearch cycles=1967 instructions=1258 cache-misses=9
[sample=13] cpu=0 bench=binarysearch cycles=1991 instructions=1258 cache-misses=6
[sample=14] cpu=0 bench=binarysearch cycles=1980 instructions=1258 cache-misses=6
[sample=15] cpu=0 bench=binarysearch cycles=1959 instructions=1258 cache-misses=7
[sample=16] cpu=0 bench=binarysearch cycles=1997 instructions=1258 cache-misses=7
[sample=17] cpu=0 bench=binarysearch cycles=1975 instructions=1258 cache-misses=6
[sample=18] cpu=0 bench=binarysearch cycles=1981 instructions=1258 cache-misses=8
[sample=19] cpu=0 bench=binarysearch cycles=1971 instructions=1258 cache-misses=6
[sample=20] cpu=0 bench=binarysearch cycles=1934 instructions=1258 cache-misses=5
[sample=21] cpu=0 bench=binarysearch cycles=1953 instructions=1258 cache-misses=11
[sample=22] cpu=0 bench=binarysearch cycles=1961 instructions=1258 cache-misses=9
[sample=23] cpu=0 bench=binarysearch cycles=1965 instructions=1258 cache-misses=6
[sample=24] cpu=0 bench=binarysearch cycles=1951 instructions=1258 cache-misses=6
[sample=25] cpu=0 bench=binarysearch cycles=1978 instructions=1258 cache-misses=8
[sample=26] cpu=0 bench=binarysearch cycles=1951 instructions=1257 cache-misses=6
[sample=27] cpu=0 bench=binarysearch cycles=1950 instructions=1258 cache-misses=5
[sample=28] cpu=0 bench=binarysearch cycles=1968 instructions=1258 cache-misses=7
[sample=29] cpu=0 bench=binarysearch cycles=1959 instructions=1258 cache-misses=6
[sample=30] cpu=0 bench=binarysearch cycles=2006 instructions=1258 cache-misses=7
[sample=31] cpu=0 bench=binarysearch cycles=1976 instructions=1258 cache-misses=7
[sample=32] cpu=0 bench=binarysearch cycles=1950 instructions=1258 cache-misses=6
[sample=33] cpu=0 bench=binarysearch cycles=1999 instructions=1258 cache-misses=8
[sample=34] cpu=0 bench=binarysearch cycles=1988 instructions=1258 cache-misses=7
[sample=35] cpu=0 bench=binarysearch cycles=1979 instructions=1258 cache-misses=7
[sample=36] cpu=0 bench=binarysearch cycles=1999 instructions=1258 cache-misses=9
[sample=37] cpu=0 bench=binarysearch cycles=2004 instructions=1258 cache-misses=8
[sample=38] cpu=0 bench=binarysearch cycles=1998 instructions=1257 cache-misses=7
[sample=39] cpu=0 bench=binarysearch cycles=2004 instructions=1258 cache-misses=7
[sample=40] cpu=0 bench=binarysearch cycles=1996 instructions=1258 cache-misses=8
[sample=41] cpu=0 bench=binarysearch cycles=2007 instructions=1258 cache-misses=9
[sample=42] cpu=0 bench=binarysearch cycles=1977 instructions=1258 cache-misses=7
[sample=43] cpu=0 bench=binarysearch cycles=2000 instructions=1258 cache-misses=6
[sample=44] cpu=0 bench=binarysearch cycles=1968 instructions=1258 cache-misses=6
[sample=45] cpu=0 bench=binarysearch cycles=2015 instructions=1258 cache-misses=9
[sample=46] cpu=0 bench=binarysearch cycles=1995 instructions=1258 cache-misses=8
[sample=47] cpu=0 bench=binarysearch cycles=1958 instructions=1258 cache-misses=7
[sample=48] cpu=0 bench=binarysearch cycles=1975 instructions=1258 cache-misses=7
[sample=49] cpu=0 bench=binarysearch cycles=1992 instructions=1258 cache-misses=6
