[info] offlined cpu3..cpu3 to isolate the active cores
[info] cpu0..cpu2 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=3, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=CACHE  cpu2=BUS
[sample=0] cpu=0 bench=fir2dim cycles=21523 instructions=10126 cache-misses=16
[sample=1] cpu=0 bench=fir2dim cycles=13723 instructions=10120 cache-misses=12
[sample=2] cpu=0 bench=fir2dim cycles=13062 instructions=10112 cache-misses=1
[sample=3] cpu=0 bench=fir2dim cycles=13039 instructions=10117 cache-misses=2
[sample=4] cpu=0 bench=fir2dim cycles=13239 instructions=10114 cache-misses=0
[sample=5] cpu=0 bench=fir2dim cycles=13086 instructions=10113 cache-misses=2
[sample=6] cpu=0 bench=fir2dim cycles=12991 instructions=10110 cache-misses=1
[sample=7] cpu=0 bench=fir2dim cycles=12968 instructions=10107 cache-misses=1
[sample=8] cpu=0 bench=fir2dim cycles=12928 instructions=10107 cache-misses=1
[sample=9] cpu=0 bench=fir2dim cycles=12924 instructions=10104 cache-misses=0
[sample=10] cpu=0 bench=fir2dim cycles=12933 instructions=10107 cache-misses=1
[sample=11] cpu=0 bench=fir2dim cycles=13139 instructions=10115 cache-misses=4
[sample=12] cpu=0 bench=fir2dim cycles=12921 instructions=10101 cache-misses=2
[sample=13] cpu=0 bench=fir2dim cycles=12957 instructions=10107 cache-misses=3
[sample=14] cpu=0 bench=fir2dim cycles=12975 instructions=10106 cache-misses=5
[sample=15] cpu=0 bench=fir2dim cycles=12895 instructions=10103 cache-misses=3
[sample=16] cpu=0 bench=fir2dim cycles=13061 instructions=10110 cache-misses=8
[sample=17] cpu=0 bench=fir2dim cycles=12981 instructions=10111 cache-misses=2
[sample=18] cpu=0 bench=fir2dim cycles=12994 instructions=10104 cache-misses=3
[sample=19] cpu=0 bench=fir2dim cycles=13097 instructions=10111 cache-misses=6
[sample=20] cpu=0 bench=fir2dim cycles=12990 instructions=10112 cache-misses=1
[sample=21] cpu=0 bench=fir2dim cycles=13019 instructions=10111 cache-misses=1
[sample=22] cpu=0 bench=fir2dim cycles=13018 instructions=10110 cache-misses=4
[sample=23] cpu=0 bench=fir2dim cycles=13055 instructions=10114 cache-misses=4
[sample=24] cpu=0 bench=fir2dim cycles=13033 instructions=10106 cache-misses=3
[sample=25] cpu=0 bench=fir2dim cycles=13053 instructions=10113 cache-misses=4
[sample=26] cpu=0 bench=fir2dim cycles=13039 instructions=10111 cache-misses=5
[sample=27] cpu=0 bench=fir2dim cycles=12971 instructions=10109 cache-misses=2
[sample=28] cpu=0 bench=fir2dim cycles=13014 instructions=10105 cache-misses=7
[sample=29] cpu=0 bench=fir2dim cycles=13111 instructions=10116 cache-misses=8
[sample=30] cpu=0 bench=fir2dim cycles=13036 instructions=10107 cache-misses=2
[sample=31] cpu=0 bench=fir2dim cycles=13507 instructions=10112 cache-misses=12
[sample=32] cpu=0 bench=fir2dim cycles=13062 instructions=10109 cache-misses=4
[sample=33] cpu=0 bench=fir2dim cycles=12961 instructions=10104 cache-misses=1
[sample=34] cpu=0 bench=fir2dim cycles=13032 instructions=10110 cache-misses=6
[sample=35] cpu=0 bench=fir2dim cycles=13078 instructions=10111 cache-misses=6
[sample=36] cpu=0 bench=fir2dim cycles=13000 instructions=10111 cache-misses=1
[sample=37] cpu=0 bench=fir2dim cycles=13006 instructions=10109 cache-misses=5
[sample=38] cpu=0 bench=fir2dim cycles=13099 instructions=10113 cache-misses=5
[sample=39] cpu=0 bench=fir2dim cycles=13006 instructions=10109 cache-misses=1
[sample=40] cpu=0 bench=fir2dim cycles=12997 instructions=10109 cache-misses=4
[sample=41] cpu=0 bench=fir2dim cycles=13002 instructions=10105 cache-misses=6
[sample=42] cpu=0 bench=fir2dim cycles=12981 instructions=10106 cache-misses=3
[sample=43] cpu=0 bench=fir2dim cycles=13144 instructions=10115 cache-misses=6
