[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=BUS  cpu2=POINTER  cpu3=PIPELINE
[sample=0] cpu=0 bench=fir2dim cycles=20570 instructions=10130 cache-misses=20
[sample=1] cpu=0 bench=fir2dim cycles=21599 instructions=10118 cache-misses=11
[sample=2] cpu=0 bench=fir2dim cycles=17298 instructions=10123 cache-misses=8
[sample=3] cpu=0 bench=fir2dim cycles=13999 instructions=10125 cache-misses=11
[sample=4] cpu=0 bench=fir2dim cycles=13328 instructions=10121 cache-misses=10
[sample=5] cpu=0 bench=fir2dim cycles=13334 instructions=10123 cache-misses=7
[sample=6] cpu=0 bench=fir2dim cycles=13407 instructions=10124 cache-misses=8
[sample=7] cpu=0 bench=fir2dim cycles=13408 instructions=10124 cache-misses=6
[sample=8] cpu=0 bench=fir2dim cycles=13400 instructions=10124 cache-misses=11
[sample=9] cpu=0 bench=fir2dim cycles=13346 instructions=10122 cache-misses=7
[sample=10] cpu=0 bench=fir2dim cycles=13243 instructions=10118 cache-misses=10
[sample=11] cpu=0 bench=fir2dim cycles=13208 instructions=10117 cache-misses=8
[sample=12] cpu=0 bench=fir2dim cycles=13305 instructions=10121 cache-misses=8
[sample=13] cpu=0 bench=fir2dim cycles=13286 instructions=10119 cache-misses=10
[sample=14] cpu=0 bench=fir2dim cycles=13255 instructions=10123 cache-misses=9
[sample=15] cpu=0 bench=fir2dim cycles=13299 instructions=10125 cache-misses=9
[sample=16] cpu=0 bench=fir2dim cycles=13367 instructions=10123 cache-misses=9
[sample=17] cpu=0 bench=fir2dim cycles=13310 instructions=10120 cache-misses=8
[sample=18] cpu=0 bench=fir2dim cycles=13207 instructions=10118 cache-misses=5
[sample=19] cpu=0 bench=fir2dim cycles=13249 instructions=10119 cache-misses=9
[sample=20] cpu=0 bench=fir2dim cycles=13213 instructions=10119 cache-misses=10
[sample=21] cpu=0 bench=fir2dim cycles=13233 instructions=10120 cache-misses=7
[sample=22] cpu=0 bench=fir2dim cycles=13279 instructions=10117 cache-misses=11
[sample=23] cpu=0 bench=fir2dim cycles=13250 instructions=10118 cache-misses=9
[sample=24] cpu=0 bench=fir2dim cycles=13291 instructions=10121 cache-misses=7
[sample=25] cpu=0 bench=fir2dim cycles=13229 instructions=10117 cache-misses=8
[sample=26] cpu=0 bench=fir2dim cycles=13185 instructions=10114 cache-misses=7
[sample=27] cpu=0 bench=fir2dim cycles=13243 instructions=10120 cache-misses=8
[sample=28] cpu=0 bench=fir2dim cycles=13383 instructions=10128 cache-misses=9
[sample=29] cpu=0 bench=fir2dim cycles=13311 instructions=10117 cache-misses=9
[sample=30] cpu=0 bench=fir2dim cycles=13322 instructions=10115 cache-misses=8
[sample=31] cpu=0 bench=fir2dim cycles=13167 instructions=10112 cache-misses=8
[sample=32] cpu=0 bench=fir2dim cycles=13298 instructions=10121 cache-misses=7
[sample=33] cpu=0 bench=fir2dim cycles=13282 instructions=10121 cache-misses=7
[sample=34] cpu=0 bench=fir2dim cycles=13324 instructions=10122 cache-misses=8
[sample=35] cpu=0 bench=fir2dim cycles=13333 instructions=10120 cache-misses=10
[sample=36] cpu=0 bench=fir2dim cycles=13359 instructions=10121 cache-misses=7
[sample=37] cpu=0 bench=fir2dim cycles=13201 instructions=10117 cache-misses=9
[sample=38] cpu=0 bench=fir2dim cycles=13319 instructions=10119 cache-misses=8
[sample=39] cpu=0 bench=fir2dim cycles=13208 instructions=10119 cache-misses=9
[sample=40] cpu=0 bench=fir2dim cycles=13218 instructions=10118 cache-misses=9
[sample=41] cpu=0 bench=fir2dim cycles=13231 instructions=10116 cache-misses=10
[sample=42] cpu=0 bench=fir2dim cycles=13257 instructions=10117 cache-misses=8
[sample=43] cpu=0 bench=fir2dim cycles=13182 instructions=10115 cache-misses=9
[sample=44] cpu=0 bench=fir2dim cycles=13227 instructions=10120 cache-misses=6
[sample=45] cpu=0 bench=fir2dim cycles=13268 instructions=10122 cache-misses=8
[sample=46] cpu=0 bench=fir2dim cycles=13267 instructions=10119 cache-misses=8
