[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=CACHE  cpu2=POINTER  cpu3=PIPELINE
[sample=0] cpu=0 bench=fir2dim cycles=20937 instructions=10135 cache-misses=22
[sample=1] cpu=0 bench=fir2dim cycles=19543 instructions=10128 cache-misses=16
[sample=2] cpu=0 bench=fir2dim cycles=13319 instructions=10124 cache-misses=11
[sample=3] cpu=0 bench=fir2dim cycles=13296 instructions=10122 cache-misses=9
[sample=4] cpu=0 bench=fir2dim cycles=13427 instructions=10119 cache-misses=10
[sample=5] cpu=0 bench=fir2dim cycles=13289 instructions=10120 cache-misses=9
[sample=6] cpu=0 bench=fir2dim cycles=13275 instructions=10124 cache-misses=9
[sample=7] cpu=0 bench=fir2dim cycles=13185 instructions=10113 cache-misses=8
[sample=8] cpu=0 bench=fir2dim cycles=13360 instructions=10116 cache-misses=8
[sample=9] cpu=0 bench=fir2dim cycles=13201 instructions=10114 cache-misses=10
[sample=10] cpu=0 bench=fir2dim cycles=13174 instructions=10115 cache-misses=9
[sample=11] cpu=0 bench=fir2dim cycles=13269 instructions=10118 cache-misses=11
[sample=12] cpu=0 bench=fir2dim cycles=13258 instructions=10120 cache-misses=9
[sample=13] cpu=0 bench=fir2dim cycles=13190 instructions=10117 cache-misses=7
[sample=14] cpu=0 bench=fir2dim cycles=13316 instructions=10122 cache-misses=6
[sample=15] cpu=0 bench=fir2dim cycles=13391 instructions=10124 cache-misses=9
[sample=16] cpu=0 bench=fir2dim cycles=13347 instructions=10119 cache-misses=10
[sample=17] cpu=0 bench=fir2dim cycles=13204 instructions=10119 cache-misses=8
[sample=18] cpu=0 bench=fir2dim cycles=13265 instructions=10120 cache-misses=8
[sample=19] cpu=0 bench=fir2dim cycles=13313 instructions=10119 cache-misses=8
[sample=20] cpu=0 bench=fir2dim cycles=13285 instructions=10118 cache-misses=8
[sample=21] cpu=0 bench=fir2dim cycles=13253 instructions=10119 cache-misses=8
[sample=22] cpu=0 bench=fir2dim cycles=13378 instructions=10117 cache-misses=8
[sample=23] cpu=0 bench=fir2dim cycles=13329 instructions=10123 cache-misses=8
[sample=24] cpu=0 bench=fir2dim cycles=13297 instructions=10121 cache-misses=8
[sample=25] cpu=0 bench=fir2dim cycles=13256 instructions=10116 cache-misses=10
[sample=26] cpu=0 bench=fir2dim cycles=13276 instructions=10119 cache-misses=9
[sample=27] cpu=0 bench=fir2dim cycles=13406 instructions=10121 cache-misses=9
[sample=28] cpu=0 bench=fir2dim cycles=13268 instructions=10121 cache-misses=7
[sample=29] cpu=0 bench=fir2dim cycles=13272 instructions=10120 cache-misses=9
[sample=30] cpu=0 bench=fir2dim cycles=13271 instructions=10118 cache-misses=8
[sample=31] cpu=0 bench=fir2dim cycles=13357 instructions=10119 cache-misses=8
[sample=32] cpu=0 bench=fir2dim cycles=13182 instructions=10114 cache-misses=10
[sample=33] cpu=0 bench=fir2dim cycles=13275 instructions=10120 cache-misses=10
[sample=34] cpu=0 bench=fir2dim cycles=13279 instructions=10118 cache-misses=8
[sample=35] cpu=0 bench=fir2dim cycles=13262 instructions=10117 cache-misses=11
[sample=36] cpu=0 bench=fir2dim cycles=13319 instructions=10119 cache-misses=11
[sample=37] cpu=0 bench=fir2dim cycles=13255 instructions=10119 cache-misses=10
[sample=38] cpu=0 bench=fir2dim cycles=13254 instructions=10119 cache-misses=9
[sample=39] cpu=0 bench=fir2dim cycles=13271 instructions=10119 cache-misses=9
[sample=40] cpu=0 bench=fir2dim cycles=13278 instructions=10118 cache-misses=11
[sample=41] cpu=0 bench=fir2dim cycles=13276 instructions=10114 cache-misses=10
[sample=42] cpu=0 bench=fir2dim cycles=13321 instructions=10122 cache-misses=7
[sample=43] cpu=0 bench=fir2dim cycles=13301 instructions=10125 cache-misses=9
[sample=44] cpu=0 bench=fir2dim cycles=13352 instructions=10122 cache-misses=9
[sample=45] cpu=0 bench=fir2dim cycles=13344 instructions=10121 cache-misses=11
[sample=46] cpu=0 bench=fir2dim cycles=13297 instructions=10121 cache-misses=10
[sample=47] cpu=0 bench=fir2dim cycles=13238 instructions=10123 cache-misses=7
[sample=48] cpu=0 bench=fir2dim cycles=13241 instructions=10114 cache-misses=11
[sample=49] cpu=0 bench=fir2dim cycles=13486 instructions=10124 cache-misses=13
[sample=50] cpu=0 bench=fir2dim cycles=13351 instructions=10117 cache-misses=7
[sample=51] cpu=0 bench=fir2dim cycles=13291 instructions=10117 cache-misses=9
[sample=52] cpu=0 bench=fir2dim cycles=13270 instructions=10117 cache-misses=7
[sample=53] cpu=0 bench=fir2dim cycles=13319 instructions=10119 cache-misses=8
[sample=54] cpu=0 bench=fir2dim cycles=13242 instructions=10117 cache-misses=8
[sample=55] cpu=0 bench=fir2dim cycles=13215 instructions=10115 cache-misses=6
[sample=56] cpu=0 bench=fir2dim cycles=13228 instructions=10120 cache-misses=8
[sample=57] cpu=0 bench=fir2dim cycles=13264 instructions=10119 cache-misses=9
[sample=58] cpu=0 bench=fir2dim cycles=13247 instructions=10118 cache-misses=8
[sample=59] cpu=0 bench=fir2dim cycles=13300 instructions=10123 cache-misses=8
[sample=60] cpu=0 bench=fir2dim cycles=13196 instructions=10118 cache-misses=7
[sample=61] cpu=0 bench=fir2dim cycles=13319 instructions=10122 cache-misses=8
[sample=62] cpu=0 bench=fir2dim cycles=13311 instructions=10125 cache-misses=9
[sample=63] cpu=0 bench=fir2dim cycles=13300 instructions=10123 cache-misses=8
[sample=64] cpu=0 bench=fir2dim cycles=13200 instructions=10117 cache-misses=8
[sample=65] cpu=0 bench=fir2dim cycles=13357 instructions=10122 cache-misses=10
[sample=66] cpu=0 bench=fir2dim cycles=13220 instructions=10113 cache-misses=9
[sample=67] cpu=0 bench=fir2dim cycles=13297 instructions=10118 cache-misses=7
[sample=68] cpu=0 bench=fir2dim cycles=13466 instructions=10122 cache-misses=8
[sample=69] cpu=0 bench=fir2dim cycles=13352 instructions=10122 cache-misses=9
[sample=70] cpu=0 bench=fir2dim cycles=13256 instructions=10118 cache-misses=8
[sample=71] cpu=0 bench=fir2dim cycles=13595 instructions=10121 cache-misses=7
[sample=72] cpu=0 bench=fir2dim cycles=13346 instructions=10122 cache-misses=8
[sample=73] cpu=0 bench=fir2dim cycles=13430 instructions=10126 cache-misses=7
[sample=74] cpu=0 bench=fir2dim cycles=13341 instructions=10125 cache-misses=9
[sample=75] cpu=0 bench=fir2dim cycles=13352 instructions=10126 cache-misses=8
[sample=76] cpu=0 bench=fir2dim cycles=13316 instructions=10119 cache-misses=8
[sample=77] cpu=0 bench=fir2dim cycles=13310 instructions=10123 cache-misses=11
[sample=78] cpu=0 bench=fir2dim cycles=13322 instructions=10122 cache-misses=8
[sample=79] cpu=0 bench=fir2dim cycles=13702 instructions=10120 cache-misses=9
[sample=80] cpu=0 bench=fir2dim cycles=13287 instructions=10122 cache-misses=9
[sample=81] cpu=0 bench=fir2dim cycles=13415 instructions=10125 cache-misses=10
[sample=82] cpu=0 bench=fir2dim cycles=13304 instructions=10123 cache-misses=9
[sample=83] cpu=0 bench=fir2dim cycles=13322 instructions=10122 cache-misses=5
[sample=84] cpu=0 bench=fir2dim cycles=13303 instructions=10122 cache-misses=9
[sample=85] cpu=0 bench=fir2dim cycles=13317 instructions=10127 cache-misses=8
[sample=86] cpu=0 bench=fir2dim cycles=13320 instructions=10120 cache-misses=9
[sample=87] cpu=0 bench=fir2dim cycles=13331 instructions=10122 cache-misses=10
[sample=88] cpu=0 bench=fir2dim cycles=13285 instructions=10117 cache-misses=10
[sample=89] cpu=0 bench=fir2dim cycles=13411 instructions=10122 cache-misses=10
[sample=90] cpu=0 bench=fir2dim cycles=13363 instructions=10121 cache-misses=9
[sample=91] cpu=0 bench=fir2dim cycles=13425 instructions=10120 cache-misses=9
[sample=92] cpu=0 bench=fir2dim cycles=13318 instructions=10119 cache-misses=7
[sample=93] cpu=0 bench=fir2dim cycles=13331 instructions=10124 cache-misses=10
[sample=94] cpu=0 bench=fir2dim cycles=13267 instructions=10116 cache-misses=9
[sample=95] cpu=0 bench=fir2dim cycles=13455 instructions=10124 cache-misses=8
[sample=96] cpu=0 bench=fir2dim cycles=13331 instructions=10122 cache-misses=9
[sample=97] cpu=0 bench=fir2dim cycles=13379 instructions=10122 cache-misses=8
[sample=98] cpu=0 bench=fir2dim cycles=13282 instructions=10119 cache-misses=7
[sample=99] cpu=0 bench=fir2dim cycles=14780 instructions=10126 cache-misses=10

# Statistics over 100 samples on cpu0 bench=fir2dim (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       13174                20937             13463.79             13302.00
  instructions                 10113                10135             10120.30             10120.00
  cache-misses                     5                   22                 8.92                 9.00
