[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=MEM  cpu3=CACHE
[sample=0] cpu=0 bench=fir2dim cycles=56780 instructions=10134 cache-misses=21
[sample=1] cpu=0 bench=fir2dim cycles=29942 instructions=10122 cache-misses=15
[sample=2] cpu=0 bench=fir2dim cycles=14785 instructions=10116 cache-misses=10
[sample=3] cpu=0 bench=fir2dim cycles=15860 instructions=10118 cache-misses=15
[sample=4] cpu=0 bench=fir2dim cycles=14603 instructions=10119 cache-misses=10
[sample=5] cpu=0 bench=fir2dim cycles=13812 instructions=10117 cache-misses=11
[sample=6] cpu=0 bench=fir2dim cycles=14620 instructions=10120 cache-misses=9
[sample=7] cpu=0 bench=fir2dim cycles=17912 instructions=10120 cache-misses=8
[sample=8] cpu=0 bench=fir2dim cycles=18045 instructions=10124 cache-misses=12
[sample=9] cpu=0 bench=fir2dim cycles=14802 instructions=10119 cache-misses=10
[sample=10] cpu=0 bench=fir2dim cycles=14769 instructions=10114 cache-misses=11
[sample=11] cpu=0 bench=fir2dim cycles=20065 instructions=10119 cache-misses=10
[sample=12] cpu=0 bench=fir2dim cycles=15157 instructions=10120 cache-misses=12
[sample=13] cpu=0 bench=fir2dim cycles=14669 instructions=10117 cache-misses=10
[sample=14] cpu=0 bench=fir2dim cycles=14642 instructions=10119 cache-misses=11
[sample=15] cpu=0 bench=fir2dim cycles=14882 instructions=10125 cache-misses=11
[sample=16] cpu=0 bench=fir2dim cycles=16381 instructions=10121 cache-misses=10
[sample=17] cpu=0 bench=fir2dim cycles=15089 instructions=10121 cache-misses=12
[sample=18] cpu=0 bench=fir2dim cycles=18884 instructions=10122 cache-misses=10
[sample=19] cpu=0 bench=fir2dim cycles=14207 instructions=10115 cache-misses=11
[sample=20] cpu=0 bench=fir2dim cycles=13996 instructions=10113 cache-misses=10
[sample=21] cpu=0 bench=fir2dim cycles=14710 instructions=10115 cache-misses=10
[sample=22] cpu=0 bench=fir2dim cycles=13815 instructions=10116 cache-misses=12
[sample=23] cpu=0 bench=fir2dim cycles=13887 instructions=10119 cache-misses=11
[sample=24] cpu=0 bench=fir2dim cycles=18901 instructions=10116 cache-misses=11
[sample=25] cpu=0 bench=fir2dim cycles=14588 instructions=10117 cache-misses=11
[sample=26] cpu=0 bench=fir2dim cycles=15451 instructions=10117 cache-misses=11
[sample=27] cpu=0 bench=fir2dim cycles=13784 instructions=10114 cache-misses=10
[sample=28] cpu=0 bench=fir2dim cycles=14372 instructions=10118 cache-misses=10
[sample=29] cpu=0 bench=fir2dim cycles=16545 instructions=10118 cache-misses=13
[sample=30] cpu=0 bench=fir2dim cycles=14386 instructions=10121 cache-misses=11
[sample=31] cpu=0 bench=fir2dim cycles=13924 instructions=10117 cache-misses=10
[sample=32] cpu=0 bench=fir2dim cycles=14686 instructions=10120 cache-misses=10
[sample=33] cpu=0 bench=fir2dim cycles=15004 instructions=10119 cache-misses=11
[sample=34] cpu=0 bench=fir2dim cycles=19363 instructions=10116 cache-misses=10
[sample=35] cpu=0 bench=fir2dim cycles=14659 instructions=10122 cache-misses=10
[sample=36] cpu=0 bench=fir2dim cycles=15056 instructions=10115 cache-misses=10
[sample=37] cpu=0 bench=fir2dim cycles=19213 instructions=10120 cache-misses=10
[sample=38] cpu=0 bench=fir2dim cycles=15166 instructions=10117 cache-misses=10
[sample=39] cpu=0 bench=fir2dim cycles=14911 instructions=10120 cache-misses=10
[sample=40] cpu=0 bench=fir2dim cycles=14043 instructions=10115 cache-misses=8
[sample=41] cpu=0 bench=fir2dim cycles=14109 instructions=10123 cache-misses=8
[sample=42] cpu=0 bench=fir2dim cycles=15131 instructions=10129 cache-misses=10
[sample=43] cpu=0 bench=fir2dim cycles=14389 instructions=10118 cache-misses=7
[sample=44] cpu=0 bench=fir2dim cycles=14035 instructions=10118 cache-misses=9
[sample=45] cpu=0 bench=fir2dim cycles=14240 instructions=10117 cache-misses=10
[sample=46] cpu=0 bench=fir2dim cycles=15286 instructions=10117 cache-misses=9
[sample=47] cpu=0 bench=fir2dim cycles=17608 instructions=10115 cache-misses=9
[sample=48] cpu=0 bench=fir2dim cycles=17562 instructions=10114 cache-misses=10
[sample=49] cpu=0 bench=fir2dim cycles=15252 instructions=10117 cache-misses=10
[sample=50] cpu=0 bench=fir2dim cycles=14251 instructions=10119 cache-misses=11
[sample=51] cpu=0 bench=fir2dim cycles=15332 instructions=10120 cache-misses=11
[sample=52] cpu=0 bench=fir2dim cycles=15109 instructions=10118 cache-misses=9
[sample=53] cpu=0 bench=fir2dim cycles=14532 instructions=10116 cache-misses=9
[sample=54] cpu=0 bench=fir2dim cycles=13617 instructions=10119 cache-misses=12
[sample=55] cpu=0 bench=fir2dim cycles=14656 instructions=10116 cache-misses=11
