[info] offlined cpu3..cpu3 to isolate the active cores
[info] cpu0..cpu2 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=3, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=BUS  cpu2=PIPELINE
[sample=0] cpu=0 bench=fmref cycles=747266 instructions=454813 cache-misses=121
[sample=1] cpu=0 bench=fmref cycles=656701 instructions=417302 cache-misses=85
[sample=2] cpu=0 bench=fmref cycles=655145 instructions=417301 cache-misses=65
[sample=3] cpu=0 bench=fmref cycles=654380 instructions=417300 cache-misses=62
[sample=4] cpu=0 bench=fmref cycles=654802 instructions=417302 cache-misses=62
[sample=5] cpu=0 bench=fmref cycles=654348 instructions=417299 cache-misses=61
[sample=6] cpu=0 bench=fmref cycles=654376 instructions=417299 cache-misses=61
[sample=7] cpu=0 bench=fmref cycles=654326 instructions=417298 cache-misses=57
[sample=8] cpu=0 bench=fmref cycles=655070 instructions=417302 cache-misses=76
[sample=9] cpu=0 bench=fmref cycles=654566 instructions=417300 cache-misses=70
[sample=10] cpu=0 bench=fmref cycles=654295 instructions=417297 cache-misses=61
[sample=11] cpu=0 bench=fmref cycles=654135 instructions=417297 cache-misses=63
[sample=12] cpu=0 bench=fmref cycles=654137 instructions=417296 cache-misses=60
[sample=13] cpu=0 bench=fmref cycles=654384 instructions=417301 cache-misses=59
[sample=14] cpu=0 bench=fmref cycles=654258 instructions=417297 cache-misses=62
[sample=15] cpu=0 bench=fmref cycles=654709 instructions=417303 cache-misses=68
[sample=16] cpu=0 bench=fmref cycles=654434 instructions=417299 cache-misses=64
[sample=17] cpu=0 bench=fmref cycles=654339 instructions=417302 cache-misses=66
[sample=18] cpu=0 bench=fmref cycles=654214 instructions=417301 cache-misses=63
[sample=19] cpu=0 bench=fmref cycles=654156 instructions=417298 cache-misses=57
[sample=20] cpu=0 bench=fmref cycles=654360 instructions=417299 cache-misses=64
[sample=21] cpu=0 bench=fmref cycles=654254 instructions=417303 cache-misses=57
[sample=22] cpu=0 bench=fmref cycles=654236 instructions=417303 cache-misses=64
[sample=23] cpu=0 bench=fmref cycles=654555 instructions=417300 cache-misses=68
[sample=24] cpu=0 bench=fmref cycles=654296 instructions=417303 cache-misses=66
[sample=25] cpu=0 bench=fmref cycles=654330 instructions=417296 cache-misses=64
[sample=26] cpu=0 bench=fmref cycles=654372 instructions=417302 cache-misses=64
[sample=27] cpu=0 bench=fmref cycles=654213 instructions=417298 cache-misses=62
[sample=28] cpu=0 bench=fmref cycles=654374 instructions=417303 cache-misses=66
[sample=29] cpu=0 bench=fmref cycles=654149 instructions=417299 cache-misses=60
[sample=30] cpu=0 bench=fmref cycles=654869 instructions=417303 cache-misses=72
[sample=31] cpu=0 bench=fmref cycles=654241 instructions=417302 cache-misses=65
[sample=32] cpu=0 bench=fmref cycles=654272 instructions=417303 cache-misses=58
[sample=33] cpu=0 bench=fmref cycles=654423 instructions=417306 cache-misses=70
[sample=34] cpu=0 bench=fmref cycles=654151 instructions=417301 cache-misses=62
[sample=35] cpu=0 bench=fmref cycles=654342 instructions=417303 cache-misses=72
[sample=36] cpu=0 bench=fmref cycles=654255 instructions=417301 cache-misses=58
[sample=37] cpu=0 bench=fmref cycles=654353 instructions=417301 cache-misses=59
[sample=38] cpu=0 bench=fmref cycles=654584 instructions=417305 cache-misses=80
[sample=39] cpu=0 bench=fmref cycles=654228 instructions=417304 cache-misses=62
[sample=40] cpu=0 bench=fmref cycles=654157 instructions=417305 cache-misses=61
[sample=41] cpu=0 bench=fmref cycles=654214 instructions=417302 cache-misses=64
[sample=42] cpu=0 bench=fmref cycles=654254 instructions=417299 cache-misses=64
[sample=43] cpu=0 bench=fmref cycles=654085 instructions=417297 cache-misses=57
[sample=44] cpu=0 bench=fmref cycles=654272 instructions=417297 cache-misses=63
[sample=45] cpu=0 bench=fmref cycles=654550 instructions=417302 cache-misses=63
[sample=46] cpu=0 bench=fmref cycles=654339 instructions=417306 cache-misses=65
[sample=47] cpu=0 bench=fmref cycles=654380 instructions=417300 cache-misses=63
[sample=48] cpu=0 bench=fmref cycles=654332 instructions=417299 cache-misses=57
[sample=49] cpu=0 bench=fmref cycles=654527 instructions=417304 cache-misses=64
[sample=50] cpu=0 bench=fmref cycles=654279 instructions=417295 cache-misses=63
