[info] offlined cpu3..cpu3 to isolate the active cores
[info] cpu0..cpu2 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=3, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=BUS  cpu2=BUS
[sample=0] cpu=0 bench=fmref cycles=756509 instructions=454816 cache-misses=137
[sample=1] cpu=0 bench=fmref cycles=678352 instructions=417303 cache-misses=72
[sample=2] cpu=0 bench=fmref cycles=659447 instructions=417303 cache-misses=76
[sample=3] cpu=0 bench=fmref cycles=655316 instructions=417305 cache-misses=68
[sample=4] cpu=0 bench=fmref cycles=654345 instructions=417295 cache-misses=61
[sample=5] cpu=0 bench=fmref cycles=654216 instructions=417298 cache-misses=57
[sample=6] cpu=0 bench=fmref cycles=656252 instructions=417297 cache-misses=58
[sample=7] cpu=0 bench=fmref cycles=658951 instructions=417304 cache-misses=62
[sample=8] cpu=0 bench=fmref cycles=658182 instructions=417293 cache-misses=67
[sample=9] cpu=0 bench=fmref cycles=656826 instructions=417297 cache-misses=54
[sample=10] cpu=0 bench=fmref cycles=654716 instructions=417299 cache-misses=59
[sample=11] cpu=0 bench=fmref cycles=654285 instructions=417295 cache-misses=58
[sample=12] cpu=0 bench=fmref cycles=654720 instructions=417297 cache-misses=88
[sample=13] cpu=0 bench=fmref cycles=654413 instructions=417295 cache-misses=59
[sample=14] cpu=0 bench=fmref cycles=655062 instructions=417303 cache-misses=71
[sample=15] cpu=0 bench=fmref cycles=655756 instructions=417308 cache-misses=60
[sample=16] cpu=0 bench=fmref cycles=654462 instructions=417303 cache-misses=62
[sample=17] cpu=0 bench=fmref cycles=654330 instructions=417297 cache-misses=62
[sample=18] cpu=0 bench=fmref cycles=655032 instructions=417299 cache-misses=60
[sample=19] cpu=0 bench=fmref cycles=654364 instructions=417298 cache-misses=56
[sample=20] cpu=0 bench=fmref cycles=654196 instructions=417296 cache-misses=58
[sample=21] cpu=0 bench=fmref cycles=654727 instructions=417306 cache-misses=70
[sample=22] cpu=0 bench=fmref cycles=654429 instructions=417297 cache-misses=61
[sample=23] cpu=0 bench=fmref cycles=654325 instructions=417297 cache-misses=61
[sample=24] cpu=0 bench=fmref cycles=654420 instructions=417302 cache-misses=58
[sample=25] cpu=0 bench=fmref cycles=654389 instructions=417300 cache-misses=64
[sample=26] cpu=0 bench=fmref cycles=654417 instructions=417298 cache-misses=66
[sample=27] cpu=0 bench=fmref cycles=654348 instructions=417301 cache-misses=60
[sample=28] cpu=0 bench=fmref cycles=654339 instructions=417302 cache-misses=63
[sample=29] cpu=0 bench=fmref cycles=654981 instructions=417299 cache-misses=88
[sample=30] cpu=0 bench=fmref cycles=654823 instructions=417306 cache-misses=60
[sample=31] cpu=0 bench=fmref cycles=654856 instructions=417301 cache-misses=59
[sample=32] cpu=0 bench=fmref cycles=654671 instructions=417297 cache-misses=68
[sample=33] cpu=0 bench=fmref cycles=654812 instructions=417300 cache-misses=75
[sample=34] cpu=0 bench=fmref cycles=654311 instructions=417300 cache-misses=72
[sample=35] cpu=0 bench=fmref cycles=654477 instructions=417305 cache-misses=66
[sample=36] cpu=0 bench=fmref cycles=654929 instructions=417300 cache-misses=80
[sample=37] cpu=0 bench=fmref cycles=658831 instructions=417297 cache-misses=66
[sample=38] cpu=0 bench=fmref cycles=658308 instructions=417304 cache-misses=63
[sample=39] cpu=0 bench=fmref cycles=654618 instructions=417302 cache-misses=61
[sample=40] cpu=0 bench=fmref cycles=654510 instructions=417302 cache-misses=74
[sample=41] cpu=0 bench=fmref cycles=654567 instructions=417299 cache-misses=60
[sample=42] cpu=0 bench=fmref cycles=654657 instructions=417302 cache-misses=61
[sample=43] cpu=0 bench=fmref cycles=654625 instructions=417301 cache-misses=56
[sample=44] cpu=0 bench=fmref cycles=658539 instructions=417300 cache-misses=59
[sample=45] cpu=0 bench=fmref cycles=655015 instructions=417297 cache-misses=71
[sample=46] cpu=0 bench=fmref cycles=654605 instructions=417304 cache-misses=57
[sample=47] cpu=0 bench=fmref cycles=654810 instructions=417298 cache-misses=63
[sample=48] cpu=0 bench=fmref cycles=654495 instructions=417304 cache-misses=70
[sample=49] cpu=0 bench=fmref cycles=654681 instructions=417304 cache-misses=61
[sample=50] cpu=0 bench=fmref cycles=654575 instructions=417302 cache-misses=68
[sample=51] cpu=0 bench=fmref cycles=654642 instructions=417303 cache-misses=69
[sample=52] cpu=0 bench=fmref cycles=654434 instructions=417301 cache-misses=60
[sample=53] cpu=0 bench=fmref cycles=654922 instructions=417303 cache-misses=56
[sample=54] cpu=0 bench=fmref cycles=654348 instructions=417303 cache-misses=58
[sample=55] cpu=0 bench=fmref cycles=654425 instructions=417299 cache-misses=90
[sample=56] cpu=0 bench=fmref cycles=654252 instructions=417294 cache-misses=60
[sample=57] cpu=0 bench=fmref cycles=654591 instructions=417307 cache-misses=62
[sample=58] cpu=0 bench=fmref cycles=655395 instructions=417302 cache-misses=79
[sample=59] cpu=0 bench=fmref cycles=656107 instructions=417300 cache-misses=63
[sample=60] cpu=0 bench=fmref cycles=654893 instructions=417302 cache-misses=60
[sample=61] cpu=0 bench=fmref cycles=654500 instructions=417298 cache-misses=65
[sample=62] cpu=0 bench=fmref cycles=654332 instructions=417301 cache-misses=65
[sample=63] cpu=0 bench=fmref cycles=655528 instructions=417298 cache-misses=88
[sample=64] cpu=0 bench=fmref cycles=654360 instructions=417300 cache-misses=64
[sample=65] cpu=0 bench=fmref cycles=654614 instructions=417297 cache-misses=66
[sample=66] cpu=0 bench=fmref cycles=654556 instructions=417308 cache-misses=85
[sample=67] cpu=0 bench=fmref cycles=654628 instructions=417299 cache-misses=63
[sample=68] cpu=0 bench=fmref cycles=658817 instructions=417305 cache-misses=116
[sample=69] cpu=0 bench=fmref cycles=668367 instructions=417305 cache-misses=66
[sample=70] cpu=0 bench=fmref cycles=664194 instructions=417310 cache-misses=90
[sample=71] cpu=0 bench=fmref cycles=671414 instructions=417310 cache-misses=105
[sample=72] cpu=0 bench=fmref cycles=658039 instructions=417300 cache-misses=70
[sample=73] cpu=0 bench=fmref cycles=656744 instructions=417308 cache-misses=64
