[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS
[sample=0] cpu=0 bench=iir cycles=9126 instructions=2592 cache-misses=16
[sample=1] cpu=0 bench=iir cycles=7792 instructions=2589 cache-misses=11
[sample=2] cpu=0 bench=iir cycles=4227 instructions=2589 cache-misses=7
[sample=3] cpu=0 bench=iir cycles=3918 instructions=2589 cache-misses=8
[sample=4] cpu=0 bench=iir cycles=3596 instructions=2589 cache-misses=10
[sample=5] cpu=0 bench=iir cycles=3558 instructions=2588 cache-misses=9
[sample=6] cpu=0 bench=iir cycles=3594 instructions=2588 cache-misses=9
[sample=7] cpu=0 bench=iir cycles=3609 instructions=2588 cache-misses=7
[sample=8] cpu=0 bench=iir cycles=3585 instructions=2588 cache-misses=8
[sample=9] cpu=0 bench=iir cycles=3559 instructions=2588 cache-misses=8
[sample=10] cpu=0 bench=iir cycles=3544 instructions=2588 cache-misses=8
[sample=11] cpu=0 bench=iir cycles=3613 instructions=2588 cache-misses=9
[sample=12] cpu=0 bench=iir cycles=3604 instructions=2589 cache-misses=8
[sample=13] cpu=0 bench=iir cycles=3574 instructions=2588 cache-misses=8
[sample=14] cpu=0 bench=iir cycles=6875 instructions=2588 cache-misses=23
[sample=15] cpu=0 bench=iir cycles=3972 instructions=2589 cache-misses=8
[sample=16] cpu=0 bench=iir cycles=3636 instructions=2588 cache-misses=10
[sample=17] cpu=0 bench=iir cycles=3639 instructions=2588 cache-misses=7
[sample=18] cpu=0 bench=iir cycles=3593 instructions=2589 cache-misses=8
[sample=19] cpu=0 bench=iir cycles=3642 instructions=2589 cache-misses=10
[sample=20] cpu=0 bench=iir cycles=5474 instructions=2589 cache-misses=7
[sample=21] cpu=0 bench=iir cycles=3580 instructions=2589 cache-misses=6
[sample=22] cpu=0 bench=iir cycles=3581 instructions=2589 cache-misses=7
[sample=23] cpu=0 bench=iir cycles=3540 instructions=2589 cache-misses=5
[sample=24] cpu=0 bench=iir cycles=3585 instructions=2589 cache-misses=7
[sample=25] cpu=0 bench=iir cycles=3612 instructions=2589 cache-misses=6
[sample=26] cpu=0 bench=iir cycles=3621 instructions=2589 cache-misses=9
[sample=27] cpu=0 bench=iir cycles=3585 instructions=2589 cache-misses=6
[sample=28] cpu=0 bench=iir cycles=3601 instructions=2589 cache-misses=7
[sample=29] cpu=0 bench=iir cycles=3611 instructions=2589 cache-misses=8
[sample=30] cpu=0 bench=iir cycles=3543 instructions=2589 cache-misses=6
[sample=31] cpu=0 bench=iir cycles=3601 instructions=2589 cache-misses=9
[sample=32] cpu=0 bench=iir cycles=7568 instructions=2589 cache-misses=10
[sample=33] cpu=0 bench=iir cycles=3541 instructions=2589 cache-misses=7
[sample=34] cpu=0 bench=iir cycles=3978 instructions=2589 cache-misses=8
[sample=35] cpu=0 bench=iir cycles=3528 instructions=2589 cache-misses=6
[sample=36] cpu=0 bench=iir cycles=3543 instructions=2589 cache-misses=7
[sample=37] cpu=0 bench=iir cycles=3560 instructions=2589 cache-misses=8
[sample=38] cpu=0 bench=iir cycles=3540 instructions=2589 cache-misses=8
[sample=39] cpu=0 bench=iir cycles=3521 instructions=2589 cache-misses=6
[sample=40] cpu=0 bench=iir cycles=3529 instructions=2589 cache-misses=9
[sample=41] cpu=0 bench=iir cycles=3562 instructions=2589 cache-misses=6
[sample=42] cpu=0 bench=iir cycles=3563 instructions=2589 cache-misses=8
[sample=43] cpu=0 bench=iir cycles=3554 instructions=2589 cache-misses=5
[sample=44] cpu=0 bench=iir cycles=3551 instructions=2589 cache-misses=9
[sample=45] cpu=0 bench=iir cycles=3613 instructions=2589 cache-misses=8
[sample=46] cpu=0 bench=iir cycles=3545 instructions=2589 cache-misses=7
[sample=47] cpu=0 bench=iir cycles=3523 instructions=2589 cache-misses=7
