[info] offlined cpu3..cpu3 to isolate the active cores
[info] cpu0..cpu2 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=3, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=POINTER  cpu2=PIPELINE
[sample=0] cpu=0 bench=insertsort cycles=11208 instructions=2953 cache-misses=19
[sample=1] cpu=0 bench=insertsort cycles=5771 instructions=2946 cache-misses=16
[sample=2] cpu=0 bench=insertsort cycles=4445 instructions=2946 cache-misses=13
[sample=3] cpu=0 bench=insertsort cycles=4475 instructions=2946 cache-misses=14
[sample=4] cpu=0 bench=insertsort cycles=4352 instructions=2946 cache-misses=10
[sample=5] cpu=0 bench=insertsort cycles=4355 instructions=2946 cache-misses=11
[sample=6] cpu=0 bench=insertsort cycles=4376 instructions=2946 cache-misses=12
[sample=7] cpu=0 bench=insertsort cycles=4431 instructions=2946 cache-misses=13
[sample=8] cpu=0 bench=insertsort cycles=4396 instructions=2946 cache-misses=13
[sample=9] cpu=0 bench=insertsort cycles=4392 instructions=2946 cache-misses=12
[sample=10] cpu=0 bench=insertsort cycles=4405 instructions=2946 cache-misses=13
[sample=11] cpu=0 bench=insertsort cycles=4365 instructions=2946 cache-misses=12
[sample=12] cpu=0 bench=insertsort cycles=4403 instructions=2946 cache-misses=15
[sample=13] cpu=0 bench=insertsort cycles=4331 instructions=2946 cache-misses=12
[sample=14] cpu=0 bench=insertsort cycles=4378 instructions=2946 cache-misses=16
[sample=15] cpu=0 bench=insertsort cycles=4365 instructions=2946 cache-misses=12
[sample=16] cpu=0 bench=insertsort cycles=4416 instructions=2946 cache-misses=13
[sample=17] cpu=0 bench=insertsort cycles=4342 instructions=2946 cache-misses=13
[sample=18] cpu=0 bench=insertsort cycles=4364 instructions=2946 cache-misses=10
[sample=19] cpu=0 bench=insertsort cycles=4401 instructions=2946 cache-misses=14
[sample=20] cpu=0 bench=insertsort cycles=4318 instructions=2946 cache-misses=12
[sample=21] cpu=0 bench=insertsort cycles=4413 instructions=2946 cache-misses=13
[sample=22] cpu=0 bench=insertsort cycles=4360 instructions=2946 cache-misses=12
[sample=23] cpu=0 bench=insertsort cycles=4360 instructions=2946 cache-misses=13
[sample=24] cpu=0 bench=insertsort cycles=4333 instructions=2946 cache-misses=12
[sample=25] cpu=0 bench=insertsort cycles=4353 instructions=2946 cache-misses=12
[sample=26] cpu=0 bench=insertsort cycles=4368 instructions=2946 cache-misses=14
[sample=27] cpu=0 bench=insertsort cycles=4359 instructions=2946 cache-misses=14
[sample=28] cpu=0 bench=insertsort cycles=4317 instructions=2946 cache-misses=13
[sample=29] cpu=0 bench=insertsort cycles=4371 instructions=2946 cache-misses=11
[sample=30] cpu=0 bench=insertsort cycles=4338 instructions=2946 cache-misses=10
[sample=31] cpu=0 bench=insertsort cycles=4367 instructions=2946 cache-misses=13
[sample=32] cpu=0 bench=insertsort cycles=4376 instructions=2946 cache-misses=14
[sample=33] cpu=0 bench=insertsort cycles=4387 instructions=2946 cache-misses=14
[sample=34] cpu=0 bench=insertsort cycles=4353 instructions=2946 cache-misses=13
[sample=35] cpu=0 bench=insertsort cycles=4403 instructions=2946 cache-misses=14
[sample=36] cpu=0 bench=insertsort cycles=4377 instructions=2946 cache-misses=15
[sample=37] cpu=0 bench=insertsort cycles=4406 instructions=2946 cache-misses=13
[sample=38] cpu=0 bench=insertsort cycles=4357 instructions=2946 cache-misses=13
[sample=39] cpu=0 bench=insertsort cycles=4385 instructions=2946 cache-misses=13
[sample=40] cpu=0 bench=insertsort cycles=4398 instructions=2946 cache-misses=14
[sample=41] cpu=0 bench=insertsort cycles=4358 instructions=2946 cache-misses=13
[sample=42] cpu=0 bench=insertsort cycles=4334 instructions=2946 cache-misses=15
[sample=43] cpu=0 bench=insertsort cycles=4362 instructions=2946 cache-misses=14
[sample=44] cpu=0 bench=insertsort cycles=4343 instructions=2946 cache-misses=11
[sample=45] cpu=0 bench=insertsort cycles=4400 instructions=2946 cache-misses=13
[sample=46] cpu=0 bench=insertsort cycles=4342 instructions=2946 cache-misses=13
[sample=47] cpu=0 bench=insertsort cycles=4319 instructions=2946 cache-misses=12
[sample=48] cpu=0 bench=insertsort cycles=4347 instructions=2946 cache-misses=11
[sample=49] cpu=0 bench=insertsort cycles=4447 instructions=2946 cache-misses=16
[sample=50] cpu=0 bench=insertsort cycles=4380 instructions=2946 cache-misses=12
[sample=51] cpu=0 bench=insertsort cycles=4368 instructions=2946 cache-misses=16
[sample=52] cpu=0 bench=insertsort cycles=4463 instructions=2946 cache-misses=14
[sample=53] cpu=0 bench=insertsort cycles=4352 instructions=2946 cache-misses=11
[sample=54] cpu=0 bench=insertsort cycles=4372 instructions=2946 cache-misses=14
[sample=55] cpu=0 bench=insertsort cycles=4374 instructions=2946 cache-misses=14
[sample=56] cpu=0 bench=insertsort cycles=4364 instructions=2946 cache-misses=11
[sample=57] cpu=0 bench=insertsort cycles=4391 instructions=2946 cache-misses=15
[sample=58] cpu=0 bench=insertsort cycles=4316 instructions=2946 cache-misses=12
[sample=59] cpu=0 bench=insertsort cycles=4367 instructions=2946 cache-misses=16
[sample=60] cpu=0 bench=insertsort cycles=4350 instructions=2946 cache-misses=14
[sample=61] cpu=0 bench=insertsort cycles=4341 instructions=2946 cache-misses=14
[sample=62] cpu=0 bench=insertsort cycles=4317 instructions=2946 cache-misses=12
[sample=63] cpu=0 bench=insertsort cycles=4343 instructions=2946 cache-misses=12
[sample=64] cpu=0 bench=insertsort cycles=4324 instructions=2946 cache-misses=11
