[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=MEM
[sample=0] cpu=0 bench=insertsort cycles=50216 instructions=2953 cache-misses=22
[sample=1] cpu=0 bench=insertsort cycles=7942 instructions=2946 cache-misses=19
[sample=2] cpu=0 bench=insertsort cycles=9760 instructions=2946 cache-misses=13
[sample=3] cpu=0 bench=insertsort cycles=7817 instructions=2946 cache-misses=16
[sample=4] cpu=0 bench=insertsort cycles=4962 instructions=2946 cache-misses=12
[sample=5] cpu=0 bench=insertsort cycles=4858 instructions=2946 cache-misses=16
[sample=6] cpu=0 bench=insertsort cycles=4926 instructions=2946 cache-misses=16
[sample=7] cpu=0 bench=insertsort cycles=4663 instructions=2946 cache-misses=14
[sample=8] cpu=0 bench=insertsort cycles=6041 instructions=2946 cache-misses=14
[sample=9] cpu=0 bench=insertsort cycles=4584 instructions=2946 cache-misses=16
[sample=10] cpu=0 bench=insertsort cycles=4576 instructions=2946 cache-misses=14
[sample=11] cpu=0 bench=insertsort cycles=4745 instructions=2946 cache-misses=16
[sample=12] cpu=0 bench=insertsort cycles=4803 instructions=2946 cache-misses=13
[sample=13] cpu=0 bench=insertsort cycles=5029 instructions=2946 cache-misses=15
[sample=14] cpu=0 bench=insertsort cycles=4844 instructions=2946 cache-misses=14
[sample=15] cpu=0 bench=insertsort cycles=5870 instructions=2946 cache-misses=16
[sample=16] cpu=0 bench=insertsort cycles=4611 instructions=2946 cache-misses=13
[sample=17] cpu=0 bench=insertsort cycles=4938 instructions=2946 cache-misses=17
[sample=18] cpu=0 bench=insertsort cycles=5012 instructions=2946 cache-misses=19
[sample=19] cpu=0 bench=insertsort cycles=4663 instructions=2946 cache-misses=15
[sample=20] cpu=0 bench=insertsort cycles=4919 instructions=2946 cache-misses=14
[sample=21] cpu=0 bench=insertsort cycles=4938 instructions=2946 cache-misses=13
[sample=22] cpu=0 bench=insertsort cycles=4642 instructions=2946 cache-misses=14
[sample=23] cpu=0 bench=insertsort cycles=4768 instructions=2946 cache-misses=14
[sample=24] cpu=0 bench=insertsort cycles=4571 instructions=2946 cache-misses=15
[sample=25] cpu=0 bench=insertsort cycles=4622 instructions=2946 cache-misses=17
[sample=26] cpu=0 bench=insertsort cycles=4554 instructions=2946 cache-misses=16
[sample=27] cpu=0 bench=insertsort cycles=5003 instructions=2946 cache-misses=18
[sample=28] cpu=0 bench=insertsort cycles=5102 instructions=2946 cache-misses=15
[sample=29] cpu=0 bench=insertsort cycles=4703 instructions=2946 cache-misses=19
[sample=30] cpu=0 bench=insertsort cycles=4893 instructions=2946 cache-misses=16
[sample=31] cpu=0 bench=insertsort cycles=4728 instructions=2946 cache-misses=14
[sample=32] cpu=0 bench=insertsort cycles=4787 instructions=2946 cache-misses=13
[sample=33] cpu=0 bench=insertsort cycles=4832 instructions=2946 cache-misses=10
[sample=34] cpu=0 bench=insertsort cycles=4643 instructions=2946 cache-misses=14
[sample=35] cpu=0 bench=insertsort cycles=5015 instructions=2946 cache-misses=19
[sample=36] cpu=0 bench=insertsort cycles=4656 instructions=2946 cache-misses=17
[sample=37] cpu=0 bench=insertsort cycles=4834 instructions=2946 cache-misses=14
[sample=38] cpu=0 bench=insertsort cycles=4922 instructions=2946 cache-misses=14
[sample=39] cpu=0 bench=insertsort cycles=4731 instructions=2946 cache-misses=15
[sample=40] cpu=0 bench=insertsort cycles=4752 instructions=2946 cache-misses=17
[sample=41] cpu=0 bench=insertsort cycles=4834 instructions=2946 cache-misses=15
[sample=42] cpu=0 bench=insertsort cycles=4879 instructions=2946 cache-misses=15
[sample=43] cpu=0 bench=insertsort cycles=5008 instructions=2946 cache-misses=18
[sample=44] cpu=0 bench=insertsort cycles=5038 instructions=2946 cache-misses=18
[sample=45] cpu=0 bench=insertsort cycles=4962 instructions=2946 cache-misses=16
[sample=46] cpu=0 bench=insertsort cycles=4674 instructions=2946 cache-misses=13
[sample=47] cpu=0 bench=insertsort cycles=4686 instructions=2946 cache-misses=14
[sample=48] cpu=0 bench=insertsort cycles=4984 instructions=2946 cache-misses=17
[sample=49] cpu=0 bench=insertsort cycles=4574 instructions=2946 cache-misses=14
[sample=50] cpu=0 bench=insertsort cycles=4911 instructions=2946 cache-misses=18
[sample=51] cpu=0 bench=insertsort cycles=8106 instructions=2946 cache-misses=11
[sample=52] cpu=0 bench=insertsort cycles=4872 instructions=2946 cache-misses=13
[sample=53] cpu=0 bench=insertsort cycles=5030 instructions=2946 cache-misses=16
[sample=54] cpu=0 bench=insertsort cycles=4921 instructions=2946 cache-misses=16
[sample=55] cpu=0 bench=insertsort cycles=4811 instructions=2946 cache-misses=14
[sample=56] cpu=0 bench=insertsort cycles=4709 instructions=2946 cache-misses=10
[sample=57] cpu=0 bench=insertsort cycles=6814 instructions=2946 cache-misses=14
[sample=58] cpu=0 bench=insertsort cycles=4562 instructions=2946 cache-misses=14
[sample=59] cpu=0 bench=insertsort cycles=4672 instructions=2946 cache-misses=17
