[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=CACHE  cpu2=CACHE  cpu3=MEM
[sample=0] cpu=0 bench=insertsort cycles=42390 instructions=2953 cache-misses=22
[sample=1] cpu=0 bench=insertsort cycles=27188 instructions=2946 cache-misses=16
[sample=2] cpu=0 bench=insertsort cycles=11985 instructions=2946 cache-misses=14
[sample=3] cpu=0 bench=insertsort cycles=5023 instructions=2946 cache-misses=11
[sample=4] cpu=0 bench=insertsort cycles=5304 instructions=2946 cache-misses=12
[sample=5] cpu=0 bench=insertsort cycles=4666 instructions=2946 cache-misses=15
[sample=6] cpu=0 bench=insertsort cycles=4570 instructions=2946 cache-misses=13
[sample=7] cpu=0 bench=insertsort cycles=4566 instructions=2946 cache-misses=13
[sample=8] cpu=0 bench=insertsort cycles=4894 instructions=2946 cache-misses=11
[sample=9] cpu=0 bench=insertsort cycles=5797 instructions=2946 cache-misses=12
[sample=10] cpu=0 bench=insertsort cycles=4768 instructions=2946 cache-misses=13
[sample=11] cpu=0 bench=insertsort cycles=6579 instructions=2946 cache-misses=12
[sample=12] cpu=0 bench=insertsort cycles=4589 instructions=2946 cache-misses=11
[sample=13] cpu=0 bench=insertsort cycles=4670 instructions=2946 cache-misses=11
[sample=14] cpu=0 bench=insertsort cycles=4805 instructions=2946 cache-misses=13
[sample=15] cpu=0 bench=insertsort cycles=4917 instructions=2946 cache-misses=15
[sample=16] cpu=0 bench=insertsort cycles=6756 instructions=2946 cache-misses=11
[sample=17] cpu=0 bench=insertsort cycles=4529 instructions=2946 cache-misses=11
[sample=18] cpu=0 bench=insertsort cycles=4790 instructions=2946 cache-misses=12
[sample=19] cpu=0 bench=insertsort cycles=4529 instructions=2946 cache-misses=10
[sample=20] cpu=0 bench=insertsort cycles=4598 instructions=2946 cache-misses=12
[sample=21] cpu=0 bench=insertsort cycles=4633 instructions=2946 cache-misses=12
[sample=22] cpu=0 bench=insertsort cycles=4510 instructions=2946 cache-misses=13
