[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=1, lock_freq_khz=1600000
# cpu0=insertsort (measured)  (solo: all other cpus offlined)
[sample=0] cpu=0 bench=insertsort cycles=12541 instructions=2953 cache-misses=29
[sample=1] cpu=0 bench=insertsort cycles=4834 instructions=2946 cache-misses=12
[sample=2] cpu=0 bench=insertsort cycles=4432 instructions=2946 cache-misses=15
[sample=3] cpu=0 bench=insertsort cycles=4486 instructions=2946 cache-misses=13
[sample=4] cpu=0 bench=insertsort cycles=4410 instructions=2946 cache-misses=16
[sample=5] cpu=0 bench=insertsort cycles=4354 instructions=2946 cache-misses=13
[sample=6] cpu=0 bench=insertsort cycles=4417 instructions=2946 cache-misses=14
[sample=7] cpu=0 bench=insertsort cycles=4366 instructions=2946 cache-misses=11
[sample=8] cpu=0 bench=insertsort cycles=4304 instructions=2946 cache-misses=9
[sample=9] cpu=0 bench=insertsort cycles=4330 instructions=2946 cache-misses=11
[sample=10] cpu=0 bench=insertsort cycles=4359 instructions=2946 cache-misses=11
[sample=11] cpu=0 bench=insertsort cycles=4417 instructions=2946 cache-misses=13
[sample=12] cpu=0 bench=insertsort cycles=4551 instructions=2946 cache-misses=17
[sample=13] cpu=0 bench=insertsort cycles=4456 instructions=2946 cache-misses=13
[sample=14] cpu=0 bench=insertsort cycles=4382 instructions=2946 cache-misses=13
[sample=15] cpu=0 bench=insertsort cycles=4400 instructions=2946 cache-misses=14
[sample=16] cpu=0 bench=insertsort cycles=4394 instructions=2946 cache-misses=15
[sample=17] cpu=0 bench=insertsort cycles=4392 instructions=2946 cache-misses=14
[sample=18] cpu=0 bench=insertsort cycles=4382 instructions=2946 cache-misses=14
[sample=19] cpu=0 bench=insertsort cycles=4426 instructions=2946 cache-misses=16
[sample=20] cpu=0 bench=insertsort cycles=4434 instructions=2946 cache-misses=15
[sample=21] cpu=0 bench=insertsort cycles=4372 instructions=2946 cache-misses=12
[sample=22] cpu=0 bench=insertsort cycles=4452 instructions=2946 cache-misses=18
[sample=23] cpu=0 bench=insertsort cycles=4366 instructions=2946 cache-misses=13
[sample=24] cpu=0 bench=insertsort cycles=4423 instructions=2946 cache-misses=14
[sample=25] cpu=0 bench=insertsort cycles=4354 instructions=2946 cache-misses=13
[sample=26] cpu=0 bench=insertsort cycles=4406 instructions=2946 cache-misses=17
[sample=27] cpu=0 bench=insertsort cycles=4318 instructions=2946 cache-misses=12
[sample=28] cpu=0 bench=insertsort cycles=4338 instructions=2946 cache-misses=13
[sample=29] cpu=0 bench=insertsort cycles=4310 instructions=2946 cache-misses=12
[sample=30] cpu=0 bench=insertsort cycles=4428 instructions=2946 cache-misses=13
[sample=31] cpu=0 bench=insertsort cycles=4320 instructions=2946 cache-misses=12
[sample=32] cpu=0 bench=insertsort cycles=4410 instructions=2946 cache-misses=17
[sample=33] cpu=0 bench=insertsort cycles=4328 instructions=2946 cache-misses=12
[sample=34] cpu=0 bench=insertsort cycles=4371 instructions=2946 cache-misses=13
[sample=35] cpu=0 bench=insertsort cycles=4368 instructions=2946 cache-misses=14
[sample=36] cpu=0 bench=insertsort cycles=4415 instructions=2946 cache-misses=12
[sample=37] cpu=0 bench=insertsort cycles=4456 instructions=2946 cache-misses=17
[sample=38] cpu=0 bench=insertsort cycles=4384 instructions=2946 cache-misses=13
[sample=39] cpu=0 bench=insertsort cycles=4377 instructions=2946 cache-misses=14
[sample=40] cpu=0 bench=insertsort cycles=4245 instructions=2946 cache-misses=6
[sample=41] cpu=0 bench=insertsort cycles=4194 instructions=2946 cache-misses=3
[sample=42] cpu=0 bench=insertsort cycles=4170 instructions=2946 cache-misses=2
[sample=43] cpu=0 bench=insertsort cycles=4167 instructions=2946 cache-misses=5
[sample=44] cpu=0 bench=insertsort cycles=4204 instructions=2946 cache-misses=5
[sample=45] cpu=0 bench=insertsort cycles=4213 instructions=2946 cache-misses=4
[sample=46] cpu=0 bench=insertsort cycles=4144 instructions=2946 cache-misses=3
[sample=47] cpu=0 bench=insertsort cycles=4146 instructions=2946 cache-misses=3
[sample=48] cpu=0 bench=insertsort cycles=4244 instructions=2946 cache-misses=6
[sample=49] cpu=0 bench=insertsort cycles=4202 instructions=2946 cache-misses=6
[sample=50] cpu=0 bench=insertsort cycles=4150 instructions=2946 cache-misses=3
[sample=51] cpu=0 bench=insertsort cycles=4125 instructions=2946 cache-misses=2
[sample=52] cpu=0 bench=insertsort cycles=4153 instructions=2946 cache-misses=2
