[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=PIPELINE
[sample=0] cpu=0 bench=adpcm_dec cycles=462743 instructions=228479 cache-misses=80
[sample=1] cpu=0 bench=adpcm_dec cycles=333815 instructions=228469 cache-misses=44
[sample=2] cpu=0 bench=adpcm_dec cycles=321603 instructions=228469 cache-misses=48
[sample=3] cpu=0 bench=adpcm_dec cycles=321306 instructions=228468 cache-misses=48
[sample=4] cpu=0 bench=adpcm_dec cycles=326983 instructions=228470 cache-misses=62
[sample=5] cpu=0 bench=adpcm_dec cycles=321106 instructions=228468 cache-misses=51
[sample=6] cpu=0 bench=adpcm_dec cycles=323479 instructions=228470 cache-misses=45
[sample=7] cpu=0 bench=adpcm_dec cycles=319112 instructions=228470 cache-misses=45
[sample=8] cpu=0 bench=adpcm_dec cycles=320827 instructions=228469 cache-misses=44
[sample=9] cpu=0 bench=adpcm_dec cycles=320341 instructions=228470 cache-misses=45
[sample=10] cpu=0 bench=adpcm_dec cycles=323121 instructions=228469 cache-misses=40
[sample=11] cpu=0 bench=adpcm_dec cycles=322082 instructions=228469 cache-misses=53
[sample=12] cpu=0 bench=adpcm_dec cycles=321517 instructions=228469 cache-misses=42
[sample=13] cpu=0 bench=adpcm_dec cycles=320478 instructions=228470 cache-misses=51
[sample=14] cpu=0 bench=adpcm_dec cycles=323910 instructions=228469 cache-misses=57
[sample=15] cpu=0 bench=adpcm_dec cycles=322062 instructions=228467 cache-misses=44
[sample=16] cpu=0 bench=adpcm_dec cycles=321672 instructions=228469 cache-misses=45
[sample=17] cpu=0 bench=adpcm_dec cycles=320999 instructions=228469 cache-misses=45
[sample=18] cpu=0 bench=adpcm_dec cycles=321545 instructions=228468 cache-misses=47
[sample=19] cpu=0 bench=adpcm_dec cycles=319782 instructions=228469 cache-misses=40
[sample=20] cpu=0 bench=adpcm_dec cycles=322248 instructions=228469 cache-misses=45
[sample=21] cpu=0 bench=adpcm_dec cycles=319753 instructions=228469 cache-misses=50
[sample=22] cpu=0 bench=adpcm_dec cycles=320209 instructions=228469 cache-misses=44
[sample=23] cpu=0 bench=adpcm_dec cycles=321044 instructions=228469 cache-misses=42
[sample=24] cpu=0 bench=adpcm_dec cycles=320817 instructions=228467 cache-misses=49
[sample=25] cpu=0 bench=adpcm_dec cycles=320880 instructions=228467 cache-misses=47
[sample=26] cpu=0 bench=adpcm_dec cycles=319312 instructions=228468 cache-misses=42
[sample=27] cpu=0 bench=adpcm_dec cycles=317623 instructions=228468 cache-misses=44
[sample=28] cpu=0 bench=adpcm_dec cycles=321132 instructions=228469 cache-misses=44
[sample=29] cpu=0 bench=adpcm_dec cycles=322429 instructions=228468 cache-misses=43
[sample=30] cpu=0 bench=adpcm_dec cycles=319678 instructions=228467 cache-misses=39
[sample=31] cpu=0 bench=adpcm_dec cycles=320693 instructions=228469 cache-misses=45
[sample=32] cpu=0 bench=adpcm_dec cycles=319151 instructions=228468 cache-misses=41
[sample=33] cpu=0 bench=adpcm_dec cycles=331071 instructions=228469 cache-misses=73
[sample=34] cpu=0 bench=adpcm_dec cycles=320124 instructions=228468 cache-misses=48
[sample=35] cpu=0 bench=adpcm_dec cycles=319355 instructions=228467 cache-misses=45
[sample=36] cpu=0 bench=adpcm_dec cycles=320751 instructions=228470 cache-misses=43
[sample=37] cpu=0 bench=adpcm_dec cycles=319372 instructions=228469 cache-misses=50
[sample=38] cpu=0 bench=adpcm_dec cycles=321505 instructions=228468 cache-misses=47
[sample=39] cpu=0 bench=adpcm_dec cycles=322786 instructions=228467 cache-misses=42
[sample=40] cpu=0 bench=adpcm_dec cycles=320760 instructions=228468 cache-misses=44
[sample=41] cpu=0 bench=adpcm_dec cycles=321322 instructions=228468 cache-misses=40
[sample=42] cpu=0 bench=adpcm_dec cycles=318895 instructions=228468 cache-misses=44
[sample=43] cpu=0 bench=adpcm_dec cycles=321757 instructions=228470 cache-misses=60
[sample=44] cpu=0 bench=adpcm_dec cycles=327261 instructions=228469 cache-misses=44
[sample=45] cpu=0 bench=adpcm_dec cycles=321016 instructions=228470 cache-misses=42
[sample=46] cpu=0 bench=adpcm_dec cycles=322214 instructions=228467 cache-misses=54
[sample=47] cpu=0 bench=adpcm_dec cycles=319766 instructions=228467 cache-misses=44
[sample=48] cpu=0 bench=adpcm_dec cycles=320155 instructions=228469 cache-misses=50
[sample=49] cpu=0 bench=adpcm_dec cycles=319455 instructions=228468 cache-misses=44
[sample=50] cpu=0 bench=adpcm_dec cycles=320228 instructions=228468 cache-misses=47
[sample=51] cpu=0 bench=adpcm_dec cycles=320665 instructions=228469 cache-misses=52
[sample=52] cpu=0 bench=adpcm_dec cycles=320264 instructions=228469 cache-misses=46
[sample=53] cpu=0 bench=adpcm_dec cycles=323330 instructions=228467 cache-misses=48
[sample=54] cpu=0 bench=adpcm_dec cycles=319394 instructions=228469 cache-misses=47
[sample=55] cpu=0 bench=adpcm_dec cycles=324733 instructions=228467 cache-misses=43
[sample=56] cpu=0 bench=adpcm_dec cycles=325447 instructions=228467 cache-misses=48
[sample=57] cpu=0 bench=adpcm_dec cycles=318887 instructions=228470 cache-misses=49
[sample=58] cpu=0 bench=adpcm_dec cycles=321004 instructions=228467 cache-misses=41
[sample=59] cpu=0 bench=adpcm_dec cycles=322166 instructions=228469 cache-misses=45
[sample=60] cpu=0 bench=adpcm_dec cycles=321253 instructions=228472 cache-misses=61
[sample=61] cpu=0 bench=adpcm_dec cycles=319932 instructions=228469 cache-misses=41
[sample=62] cpu=0 bench=adpcm_dec cycles=318899 instructions=228467 cache-misses=43
[sample=63] cpu=0 bench=adpcm_dec cycles=320487 instructions=228470 cache-misses=52
[sample=64] cpu=0 bench=adpcm_dec cycles=324871 instructions=228468 cache-misses=46
[sample=65] cpu=0 bench=adpcm_dec cycles=318973 instructions=228469 cache-misses=42
[sample=66] cpu=0 bench=adpcm_dec cycles=322553 instructions=228468 cache-misses=46
[sample=67] cpu=0 bench=adpcm_dec cycles=319222 instructions=228470 cache-misses=44
[sample=68] cpu=0 bench=adpcm_dec cycles=323482 instructions=228467 cache-misses=44
[sample=69] cpu=0 bench=adpcm_dec cycles=323128 instructions=228468 cache-misses=44
[sample=70] cpu=0 bench=adpcm_dec cycles=327062 instructions=228468 cache-misses=44
[sample=71] cpu=0 bench=adpcm_dec cycles=322060 instructions=228468 cache-misses=43
[sample=72] cpu=0 bench=adpcm_dec cycles=321449 instructions=228467 cache-misses=44
[sample=73] cpu=0 bench=adpcm_dec cycles=319401 instructions=228469 cache-misses=59
[sample=74] cpu=0 bench=adpcm_dec cycles=326353 instructions=228467 cache-misses=46
[sample=75] cpu=0 bench=adpcm_dec cycles=321727 instructions=228469 cache-misses=48
[sample=76] cpu=0 bench=adpcm_dec cycles=320213 instructions=228469 cache-misses=50
[sample=77] cpu=0 bench=adpcm_dec cycles=318971 instructions=228467 cache-misses=57
[sample=78] cpu=0 bench=adpcm_dec cycles=319542 instructions=228469 cache-misses=56
[sample=79] cpu=0 bench=adpcm_dec cycles=319934 instructions=228468 cache-misses=43
[sample=80] cpu=0 bench=adpcm_dec cycles=322197 instructions=228468 cache-misses=49
[sample=81] cpu=0 bench=adpcm_dec cycles=325048 instructions=228467 cache-misses=45
[sample=82] cpu=0 bench=adpcm_dec cycles=320042 instructions=228467 cache-misses=45
[sample=83] cpu=0 bench=adpcm_dec cycles=319669 instructions=228468 cache-misses=46
[sample=84] cpu=0 bench=adpcm_dec cycles=319990 instructions=228467 cache-misses=46
