[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot read /sys/devices/system/cpu/cpu5/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu5
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu5/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu5/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu5 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=6, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=MEM  cpu5=MEM
sched_setaffinity: Invalid argument
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=adpcm_dec cycles=456597 instructions=228475 cache-misses=61
[sample=1] cpu=0 bench=adpcm_dec cycles=327528 instructions=228471 cache-misses=53
[sample=2] cpu=0 bench=adpcm_dec cycles=318036 instructions=228470 cache-misses=23
[sample=3] cpu=0 bench=adpcm_dec cycles=322852 instructions=228470 cache-misses=17
[sample=4] cpu=0 bench=adpcm_dec cycles=316906 instructions=228470 cache-misses=21
[sample=5] cpu=0 bench=adpcm_dec cycles=326270 instructions=228471 cache-misses=50
[sample=6] cpu=0 bench=adpcm_dec cycles=325230 instructions=228470 cache-misses=57
[sample=7] cpu=0 bench=adpcm_dec cycles=322578 instructions=228472 cache-misses=44
[sample=8] cpu=0 bench=adpcm_dec cycles=322787 instructions=228472 cache-misses=37
[sample=9] cpu=0 bench=adpcm_dec cycles=326286 instructions=228469 cache-misses=48
[sample=10] cpu=0 bench=adpcm_dec cycles=324919 instructions=228470 cache-misses=44
[sample=11] cpu=0 bench=adpcm_dec cycles=331996 instructions=228472 cache-misses=43
[sample=12] cpu=0 bench=adpcm_dec cycles=327370 instructions=228473 cache-misses=44
[sample=13] cpu=0 bench=adpcm_dec cycles=328180 instructions=228469 cache-misses=45
[sample=14] cpu=0 bench=adpcm_dec cycles=322933 instructions=228471 cache-misses=42
[sample=15] cpu=0 bench=adpcm_dec cycles=324182 instructions=228471 cache-misses=45
[sample=16] cpu=0 bench=adpcm_dec cycles=322564 instructions=228470 cache-misses=31
[sample=17] cpu=0 bench=adpcm_dec cycles=326592 instructions=228469 cache-misses=36
[sample=18] cpu=0 bench=adpcm_dec cycles=326353 instructions=228469 cache-misses=59
[sample=19] cpu=0 bench=adpcm_dec cycles=325678 instructions=228471 cache-misses=45
[sample=20] cpu=0 bench=adpcm_dec cycles=327262 instructions=228471 cache-misses=47
