[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=CACHE  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=adpcm_dec cycles=462878 instructions=228476 cache-misses=67
[sample=1] cpu=0 bench=adpcm_dec cycles=353629 instructions=228469 cache-misses=59
[sample=2] cpu=0 bench=adpcm_dec cycles=327991 instructions=228470 cache-misses=60
[sample=3] cpu=0 bench=adpcm_dec cycles=326941 instructions=228470 cache-misses=51
[sample=4] cpu=0 bench=adpcm_dec cycles=322140 instructions=228470 cache-misses=53
[sample=5] cpu=0 bench=adpcm_dec cycles=321175 instructions=228467 cache-misses=46
[sample=6] cpu=0 bench=adpcm_dec cycles=321636 instructions=228469 cache-misses=55
[sample=7] cpu=0 bench=adpcm_dec cycles=320856 instructions=228468 cache-misses=54
[sample=8] cpu=0 bench=adpcm_dec cycles=321607 instructions=228471 cache-misses=47
[sample=9] cpu=0 bench=adpcm_dec cycles=320393 instructions=228470 cache-misses=47
[sample=10] cpu=0 bench=adpcm_dec cycles=320842 instructions=228472 cache-misses=51
[sample=11] cpu=0 bench=adpcm_dec cycles=323374 instructions=228469 cache-misses=49
[sample=12] cpu=0 bench=adpcm_dec cycles=348485 instructions=228471 cache-misses=55
[sample=13] cpu=0 bench=adpcm_dec cycles=327075 instructions=228468 cache-misses=53
[sample=14] cpu=0 bench=adpcm_dec cycles=328807 instructions=228468 cache-misses=59
