[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=CACHE
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=adpcm_dec cycles=475039 instructions=228477 cache-misses=60
[sample=1] cpu=0 bench=adpcm_dec cycles=399430 instructions=228473 cache-misses=46
[sample=2] cpu=0 bench=adpcm_dec cycles=346831 instructions=228472 cache-misses=52
[sample=3] cpu=0 bench=adpcm_dec cycles=327922 instructions=228468 cache-misses=45
[sample=4] cpu=0 bench=adpcm_dec cycles=333318 instructions=228468 cache-misses=45
[sample=5] cpu=0 bench=adpcm_dec cycles=329413 instructions=228469 cache-misses=44
[sample=6] cpu=0 bench=adpcm_dec cycles=330893 instructions=228469 cache-misses=48
[sample=7] cpu=0 bench=adpcm_dec cycles=329816 instructions=228468 cache-misses=39
[sample=8] cpu=0 bench=adpcm_dec cycles=328571 instructions=228467 cache-misses=58
[sample=9] cpu=0 bench=adpcm_dec cycles=325629 instructions=228469 cache-misses=43
[sample=10] cpu=0 bench=adpcm_dec cycles=328675 instructions=228467 cache-misses=46
[sample=11] cpu=0 bench=adpcm_dec cycles=323723 instructions=228468 cache-misses=54
[sample=12] cpu=0 bench=adpcm_dec cycles=326695 instructions=228467 cache-misses=51
[sample=13] cpu=0 bench=adpcm_dec cycles=327529 instructions=228467 cache-misses=46
[sample=14] cpu=0 bench=adpcm_dec cycles=331171 instructions=228468 cache-misses=44
[sample=15] cpu=0 bench=adpcm_dec cycles=330746 instructions=228467 cache-misses=42
[sample=16] cpu=0 bench=adpcm_dec cycles=325878 instructions=228469 cache-misses=44
[sample=17] cpu=0 bench=adpcm_dec cycles=326229 instructions=228469 cache-misses=43
[sample=18] cpu=0 bench=adpcm_dec cycles=332513 instructions=228469 cache-misses=44
[sample=19] cpu=0 bench=adpcm_dec cycles=330528 instructions=228468 cache-misses=45
[sample=20] cpu=0 bench=adpcm_dec cycles=331872 instructions=228468 cache-misses=41
[sample=21] cpu=0 bench=adpcm_dec cycles=329496 instructions=228468 cache-misses=44
[sample=22] cpu=0 bench=adpcm_dec cycles=331346 instructions=228471 cache-misses=48
[sample=23] cpu=0 bench=adpcm_dec cycles=329195 instructions=228467 cache-misses=44
[sample=24] cpu=0 bench=adpcm_dec cycles=324300 instructions=228468 cache-misses=47
[sample=25] cpu=0 bench=adpcm_dec cycles=327025 instructions=228467 cache-misses=43
[sample=26] cpu=0 bench=adpcm_dec cycles=331450 instructions=228468 cache-misses=45
[sample=27] cpu=0 bench=adpcm_dec cycles=330220 instructions=228469 cache-misses=44
[sample=28] cpu=0 bench=adpcm_dec cycles=330823 instructions=228467 cache-misses=47
[sample=29] cpu=0 bench=adpcm_dec cycles=334441 instructions=228468 cache-misses=43
[sample=30] cpu=0 bench=adpcm_dec cycles=331983 instructions=228467 cache-misses=42
[sample=31] cpu=0 bench=adpcm_dec cycles=328292 instructions=228467 cache-misses=40
[sample=32] cpu=0 bench=adpcm_dec cycles=335690 instructions=228467 cache-misses=42
[sample=33] cpu=0 bench=adpcm_dec cycles=328678 instructions=228467 cache-misses=49
[sample=34] cpu=0 bench=adpcm_dec cycles=328246 instructions=228470 cache-misses=64
[sample=35] cpu=0 bench=adpcm_dec cycles=327776 instructions=228467 cache-misses=43
[sample=36] cpu=0 bench=adpcm_dec cycles=330068 instructions=228468 cache-misses=44
[sample=37] cpu=0 bench=adpcm_dec cycles=325970 instructions=228469 cache-misses=41
[sample=38] cpu=0 bench=adpcm_dec cycles=328831 instructions=228468 cache-misses=41
[sample=39] cpu=0 bench=adpcm_dec cycles=325497 instructions=228468 cache-misses=40
[sample=40] cpu=0 bench=adpcm_dec cycles=325805 instructions=228469 cache-misses=51
[sample=41] cpu=0 bench=adpcm_dec cycles=330629 instructions=228468 cache-misses=46
[sample=42] cpu=0 bench=adpcm_dec cycles=329012 instructions=228468 cache-misses=44
[sample=43] cpu=0 bench=adpcm_dec cycles=333034 instructions=228467 cache-misses=44
[sample=44] cpu=0 bench=adpcm_dec cycles=329667 instructions=228468 cache-misses=54
[sample=45] cpu=0 bench=adpcm_dec cycles=333621 instructions=228467 cache-misses=40
