[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=CACHE  cpu2=BUS  cpu3=POINTER  cpu4=PIPELINE
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=adpcm_dec cycles=341726 instructions=228480 cache-misses=59
[sample=1] cpu=0 bench=adpcm_dec cycles=340256 instructions=228471 cache-misses=50
[sample=2] cpu=0 bench=adpcm_dec cycles=318873 instructions=228471 cache-misses=36
[sample=3] cpu=0 bench=adpcm_dec cycles=316605 instructions=228470 cache-misses=40
[sample=4] cpu=0 bench=adpcm_dec cycles=315793 instructions=228471 cache-misses=45
[sample=5] cpu=0 bench=adpcm_dec cycles=316774 instructions=228471 cache-misses=50
[sample=6] cpu=0 bench=adpcm_dec cycles=317170 instructions=228469 cache-misses=45
[sample=7] cpu=0 bench=adpcm_dec cycles=317468 instructions=228470 cache-misses=52
[sample=8] cpu=0 bench=adpcm_dec cycles=316333 instructions=228468 cache-misses=48
[sample=9] cpu=0 bench=adpcm_dec cycles=315641 instructions=228473 cache-misses=48
[sample=10] cpu=0 bench=adpcm_dec cycles=315285 instructions=228468 cache-misses=44
[sample=11] cpu=0 bench=adpcm_dec cycles=316001 instructions=228468 cache-misses=55
[sample=12] cpu=0 bench=adpcm_dec cycles=315640 instructions=228472 cache-misses=51
[sample=13] cpu=0 bench=adpcm_dec cycles=316496 instructions=228470 cache-misses=53
[sample=14] cpu=0 bench=adpcm_dec cycles=315531 instructions=228468 cache-misses=48
[sample=15] cpu=0 bench=adpcm_dec cycles=315485 instructions=228470 cache-misses=37
[sample=16] cpu=0 bench=adpcm_dec cycles=315250 instructions=228471 cache-misses=52
[sample=17] cpu=0 bench=adpcm_dec cycles=316013 instructions=228470 cache-misses=54
[sample=18] cpu=0 bench=adpcm_dec cycles=315367 instructions=228468 cache-misses=46
[sample=19] cpu=0 bench=adpcm_dec cycles=316432 instructions=228467 cache-misses=55
[sample=20] cpu=0 bench=adpcm_dec cycles=315343 instructions=228471 cache-misses=43
[sample=21] cpu=0 bench=adpcm_dec cycles=315379 instructions=228469 cache-misses=49
[sample=22] cpu=0 bench=adpcm_dec cycles=315650 instructions=228468 cache-misses=52
[sample=23] cpu=0 bench=adpcm_dec cycles=315818 instructions=228469 cache-misses=49
[sample=24] cpu=0 bench=adpcm_dec cycles=315249 instructions=228471 cache-misses=52
[sample=25] cpu=0 bench=adpcm_dec cycles=315472 instructions=228468 cache-misses=47
[sample=26] cpu=0 bench=adpcm_dec cycles=315219 instructions=228469 cache-misses=52
[sample=27] cpu=0 bench=adpcm_dec cycles=315153 instructions=228468 cache-misses=53
[sample=28] cpu=0 bench=adpcm_dec cycles=315257 instructions=228467 cache-misses=46
[sample=29] cpu=0 bench=adpcm_dec cycles=315893 instructions=228469 cache-misses=45
[sample=30] cpu=0 bench=adpcm_dec cycles=315477 instructions=228468 cache-misses=57
[sample=31] cpu=0 bench=adpcm_dec cycles=315141 instructions=228467 cache-misses=49
[sample=32] cpu=0 bench=adpcm_dec cycles=315493 instructions=228468 cache-misses=43
[sample=33] cpu=0 bench=adpcm_dec cycles=315520 instructions=228468 cache-misses=52
[sample=34] cpu=0 bench=adpcm_dec cycles=315175 instructions=228468 cache-misses=48
[sample=35] cpu=0 bench=adpcm_dec cycles=315574 instructions=228468 cache-misses=45
[sample=36] cpu=0 bench=adpcm_dec cycles=315160 instructions=228468 cache-misses=51
[sample=37] cpu=0 bench=adpcm_dec cycles=315554 instructions=228469 cache-misses=52
[sample=38] cpu=0 bench=adpcm_dec cycles=315521 instructions=228469 cache-misses=52
[sample=39] cpu=0 bench=adpcm_dec cycles=316317 instructions=228467 cache-misses=51
[sample=40] cpu=0 bench=adpcm_dec cycles=315115 instructions=228467 cache-misses=45
[sample=41] cpu=0 bench=adpcm_dec cycles=315197 instructions=228469 cache-misses=49
[sample=42] cpu=0 bench=adpcm_dec cycles=332459 instructions=228468 cache-misses=49
[sample=43] cpu=0 bench=adpcm_dec cycles=326035 instructions=228469 cache-misses=49
[sample=44] cpu=0 bench=adpcm_dec cycles=317138 instructions=228469 cache-misses=47
[sample=45] cpu=0 bench=adpcm_dec cycles=316064 instructions=228469 cache-misses=45
[sample=46] cpu=0 bench=adpcm_dec cycles=318658 instructions=228469 cache-misses=47
[sample=47] cpu=0 bench=adpcm_dec cycles=315870 instructions=228470 cache-misses=47
[sample=48] cpu=0 bench=adpcm_dec cycles=315360 instructions=228469 cache-misses=51
[sample=49] cpu=0 bench=adpcm_dec cycles=317752 instructions=228468 cache-misses=50
[sample=50] cpu=0 bench=adpcm_dec cycles=316386 instructions=228468 cache-misses=53
[sample=51] cpu=0 bench=adpcm_dec cycles=316558 instructions=228469 cache-misses=52
[sample=52] cpu=0 bench=adpcm_dec cycles=315177 instructions=228468 cache-misses=46
[sample=53] cpu=0 bench=adpcm_dec cycles=316188 instructions=228468 cache-misses=41
[sample=54] cpu=0 bench=adpcm_dec cycles=316064 instructions=228468 cache-misses=49
[sample=55] cpu=0 bench=adpcm_dec cycles=315136 instructions=228467 cache-misses=49
[sample=56] cpu=0 bench=adpcm_dec cycles=316065 instructions=228468 cache-misses=55
[sample=57] cpu=0 bench=adpcm_dec cycles=315501 instructions=228468 cache-misses=55
[sample=58] cpu=0 bench=adpcm_dec cycles=315053 instructions=228467 cache-misses=53
[sample=59] cpu=0 bench=adpcm_dec cycles=315259 instructions=228469 cache-misses=53
[sample=60] cpu=0 bench=adpcm_dec cycles=315226 instructions=228470 cache-misses=50
[sample=61] cpu=0 bench=adpcm_dec cycles=315290 instructions=228470 cache-misses=51
[sample=62] cpu=0 bench=adpcm_dec cycles=314915 instructions=228469 cache-misses=43
[sample=63] cpu=0 bench=adpcm_dec cycles=315170 instructions=228468 cache-misses=49
[sample=64] cpu=0 bench=adpcm_dec cycles=315447 instructions=228469 cache-misses=53
[sample=65] cpu=0 bench=adpcm_dec cycles=315981 instructions=228469 cache-misses=53
[sample=66] cpu=0 bench=adpcm_dec cycles=315978 instructions=228469 cache-misses=45
[sample=67] cpu=0 bench=adpcm_dec cycles=315351 instructions=228470 cache-misses=51
[sample=68] cpu=0 bench=adpcm_dec cycles=315240 instructions=228469 cache-misses=45
[sample=69] cpu=0 bench=adpcm_dec cycles=315101 instructions=228468 cache-misses=45
[sample=70] cpu=0 bench=adpcm_dec cycles=315352 instructions=228469 cache-misses=46
[sample=71] cpu=0 bench=adpcm_dec cycles=316095 instructions=228470 cache-misses=55
[sample=72] cpu=0 bench=adpcm_dec cycles=315500 instructions=228470 cache-misses=46
[sample=73] cpu=0 bench=adpcm_dec cycles=315135 instructions=228470 cache-misses=42
[sample=74] cpu=0 bench=adpcm_dec cycles=315192 instructions=228469 cache-misses=47
[sample=75] cpu=0 bench=adpcm_dec cycles=316410 instructions=228469 cache-misses=50
[sample=76] cpu=0 bench=adpcm_dec cycles=316270 instructions=228469 cache-misses=46
[sample=77] cpu=0 bench=adpcm_dec cycles=318615 instructions=228469 cache-misses=51
[sample=78] cpu=0 bench=adpcm_dec cycles=317108 instructions=228469 cache-misses=50
[sample=79] cpu=0 bench=adpcm_dec cycles=316284 instructions=228468 cache-misses=47
[sample=80] cpu=0 bench=adpcm_dec cycles=317872 instructions=228469 cache-misses=48
[sample=81] cpu=0 bench=adpcm_dec cycles=318229 instructions=228468 cache-misses=52
[sample=82] cpu=0 bench=adpcm_dec cycles=316092 instructions=228470 cache-misses=46
[sample=83] cpu=0 bench=adpcm_dec cycles=317026 instructions=228469 cache-misses=46
[sample=84] cpu=0 bench=adpcm_dec cycles=317301 instructions=228467 cache-misses=48
[sample=85] cpu=0 bench=adpcm_dec cycles=316667 instructions=228468 cache-misses=44
[sample=86] cpu=0 bench=adpcm_dec cycles=315306 instructions=228467 cache-misses=53
[sample=87] cpu=0 bench=adpcm_dec cycles=316571 instructions=228467 cache-misses=50
[sample=88] cpu=0 bench=adpcm_dec cycles=317372 instructions=228469 cache-misses=60
[sample=89] cpu=0 bench=adpcm_dec cycles=316597 instructions=228467 cache-misses=50
[sample=90] cpu=0 bench=adpcm_dec cycles=315853 instructions=228468 cache-misses=46
[sample=91] cpu=0 bench=adpcm_dec cycles=315046 instructions=228468 cache-misses=44
[sample=92] cpu=0 bench=adpcm_dec cycles=315336 instructions=228467 cache-misses=48
[sample=93] cpu=0 bench=adpcm_dec cycles=315207 instructions=228467 cache-misses=47
[sample=94] cpu=0 bench=adpcm_dec cycles=315318 instructions=228468 cache-misses=45
[sample=95] cpu=0 bench=adpcm_dec cycles=315301 instructions=228469 cache-misses=49
[sample=96] cpu=0 bench=adpcm_dec cycles=315150 instructions=228467 cache-misses=44
[sample=97] cpu=0 bench=adpcm_dec cycles=315178 instructions=228467 cache-misses=55
[sample=98] cpu=0 bench=adpcm_dec cycles=315730 instructions=228468 cache-misses=48
[sample=99] cpu=0 bench=adpcm_dec cycles=315304 instructions=228468 cache-misses=56

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu4)
