[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=binarysearch cycles=42020 instructions=1263 cache-misses=21
[sample=1] cpu=0 bench=binarysearch cycles=11109 instructions=1257 cache-misses=11
[sample=2] cpu=0 bench=binarysearch cycles=4133 instructions=1259 cache-misses=12
[sample=3] cpu=0 bench=binarysearch cycles=3872 instructions=1258 cache-misses=11
[sample=4] cpu=0 bench=binarysearch cycles=3153 instructions=1258 cache-misses=11
[sample=5] cpu=0 bench=binarysearch cycles=3662 instructions=1258 cache-misses=11
[sample=6] cpu=0 bench=binarysearch cycles=3780 instructions=1258 cache-misses=9
[sample=7] cpu=0 bench=binarysearch cycles=5954 instructions=1257 cache-misses=14
[sample=8] cpu=0 bench=binarysearch cycles=3493 instructions=1257 cache-misses=11
[sample=9] cpu=0 bench=binarysearch cycles=3058 instructions=1258 cache-misses=7
[sample=10] cpu=0 bench=binarysearch cycles=3188 instructions=1258 cache-misses=5
[sample=11] cpu=0 bench=binarysearch cycles=3738 instructions=1258 cache-misses=9
[sample=12] cpu=0 bench=binarysearch cycles=3352 instructions=1257 cache-misses=11
[sample=13] cpu=0 bench=binarysearch cycles=3547 instructions=1260 cache-misses=11
[sample=14] cpu=0 bench=binarysearch cycles=2959 instructions=1259 cache-misses=9
[sample=15] cpu=0 bench=binarysearch cycles=3649 instructions=1259 cache-misses=9
[sample=16] cpu=0 bench=binarysearch cycles=2808 instructions=1258 cache-misses=9
[sample=17] cpu=0 bench=binarysearch cycles=3252 instructions=1259 cache-misses=9
[sample=18] cpu=0 bench=binarysearch cycles=4668 instructions=1258 cache-misses=8
[sample=19] cpu=0 bench=binarysearch cycles=3463 instructions=1258 cache-misses=14
[sample=20] cpu=0 bench=binarysearch cycles=3878 instructions=1259 cache-misses=9
[sample=21] cpu=0 bench=binarysearch cycles=3488 instructions=1259 cache-misses=9
[sample=22] cpu=0 bench=binarysearch cycles=5421 instructions=1259 cache-misses=16
[sample=23] cpu=0 bench=binarysearch cycles=3705 instructions=1257 cache-misses=9
[sample=24] cpu=0 bench=binarysearch cycles=3979 instructions=1259 cache-misses=12
[sample=25] cpu=0 bench=binarysearch cycles=5223 instructions=1260 cache-misses=11
[sample=26] cpu=0 bench=binarysearch cycles=3137 instructions=1259 cache-misses=10
[sample=27] cpu=0 bench=binarysearch cycles=3199 instructions=1259 cache-misses=9
[sample=28] cpu=0 bench=binarysearch cycles=3505 instructions=1259 cache-misses=9
[sample=29] cpu=0 bench=binarysearch cycles=3331 instructions=1259 cache-misses=8
[sample=30] cpu=0 bench=binarysearch cycles=4216 instructions=1259 cache-misses=11
[sample=31] cpu=0 bench=binarysearch cycles=3062 instructions=1259 cache-misses=10
[sample=32] cpu=0 bench=binarysearch cycles=2947 instructions=1259 cache-misses=9
[sample=33] cpu=0 bench=binarysearch cycles=3104 instructions=1259 cache-misses=9
[sample=34] cpu=0 bench=binarysearch cycles=2732 instructions=1257 cache-misses=6
[sample=35] cpu=0 bench=binarysearch cycles=3011 instructions=1258 cache-misses=9
[sample=36] cpu=0 bench=binarysearch cycles=2863 instructions=1259 cache-misses=12
[sample=37] cpu=0 bench=binarysearch cycles=4408 instructions=1259 cache-misses=10
[sample=38] cpu=0 bench=binarysearch cycles=2538 instructions=1259 cache-misses=11
[sample=39] cpu=0 bench=binarysearch cycles=3070 instructions=1260 cache-misses=9
[sample=40] cpu=0 bench=binarysearch cycles=3397 instructions=1259 cache-misses=8
[sample=41] cpu=0 bench=binarysearch cycles=3439 instructions=1258 cache-misses=11
[sample=42] cpu=0 bench=binarysearch cycles=5227 instructions=1259 cache-misses=11
[sample=43] cpu=0 bench=binarysearch cycles=3489 instructions=1258 cache-misses=10
[sample=44] cpu=0 bench=binarysearch cycles=3505 instructions=1258 cache-misses=10
[sample=45] cpu=0 bench=binarysearch cycles=3098 instructions=1257 cache-misses=9
[sample=46] cpu=0 bench=binarysearch cycles=3486 instructions=1259 cache-misses=8
[sample=47] cpu=0 bench=binarysearch cycles=3857 instructions=1258 cache-misses=9
[sample=48] cpu=0 bench=binarysearch cycles=3253 instructions=1258 cache-misses=8
[sample=49] cpu=0 bench=binarysearch cycles=4108 instructions=1259 cache-misses=13
[sample=50] cpu=0 bench=binarysearch cycles=3871 instructions=1258 cache-misses=12
[sample=51] cpu=0 bench=binarysearch cycles=4409 instructions=1258 cache-misses=15
[sample=52] cpu=0 bench=binarysearch cycles=3265 instructions=1258 cache-misses=10
[sample=53] cpu=0 bench=binarysearch cycles=4914 instructions=1258 cache-misses=12
[sample=54] cpu=0 bench=binarysearch cycles=3196 instructions=1258 cache-misses=9
[sample=55] cpu=0 bench=binarysearch cycles=3441 instructions=1259 cache-misses=10
[sample=56] cpu=0 bench=binarysearch cycles=3383 instructions=1260 cache-misses=11
[sample=57] cpu=0 bench=binarysearch cycles=3471 instructions=1258 cache-misses=10
[sample=58] cpu=0 bench=binarysearch cycles=3655 instructions=1259 cache-misses=9
[sample=59] cpu=0 bench=binarysearch cycles=2699 instructions=1260 cache-misses=9
[sample=60] cpu=0 bench=binarysearch cycles=3387 instructions=1258 cache-misses=10
[sample=61] cpu=0 bench=binarysearch cycles=3172 instructions=1259 cache-misses=9
[sample=62] cpu=0 bench=binarysearch cycles=4031 instructions=1258 cache-misses=9
[sample=63] cpu=0 bench=binarysearch cycles=3936 instructions=1258 cache-misses=10
[sample=64] cpu=0 bench=binarysearch cycles=3353 instructions=1259 cache-misses=8
[sample=65] cpu=0 bench=binarysearch cycles=3455 instructions=1257 cache-misses=8
[sample=66] cpu=0 bench=binarysearch cycles=3413 instructions=1258 cache-misses=15
[sample=67] cpu=0 bench=binarysearch cycles=2632 instructions=1259 cache-misses=9
[sample=68] cpu=0 bench=binarysearch cycles=5800 instructions=1259 cache-misses=13
[sample=69] cpu=0 bench=binarysearch cycles=3121 instructions=1259 cache-misses=10
[sample=70] cpu=0 bench=binarysearch cycles=3006 instructions=1260 cache-misses=9
[sample=71] cpu=0 bench=binarysearch cycles=2866 instructions=1260 cache-misses=9
[sample=72] cpu=0 bench=binarysearch cycles=3550 instructions=1260 cache-misses=10
[sample=73] cpu=0 bench=binarysearch cycles=2749 instructions=1259 cache-misses=10
[sample=74] cpu=0 bench=binarysearch cycles=2831 instructions=1260 cache-misses=8
[sample=75] cpu=0 bench=binarysearch cycles=3302 instructions=1258 cache-misses=11
[sample=76] cpu=0 bench=binarysearch cycles=4115 instructions=1259 cache-misses=10
[sample=77] cpu=0 bench=binarysearch cycles=5888 instructions=1258 cache-misses=12
[sample=78] cpu=0 bench=binarysearch cycles=3093 instructions=1259 cache-misses=11
[sample=79] cpu=0 bench=binarysearch cycles=3353 instructions=1258 cache-misses=8
[sample=80] cpu=0 bench=binarysearch cycles=4524 instructions=1258 cache-misses=8
[sample=81] cpu=0 bench=binarysearch cycles=3648 instructions=1258 cache-misses=10
[sample=82] cpu=0 bench=binarysearch cycles=3739 instructions=1259 cache-misses=14
[sample=83] cpu=0 bench=binarysearch cycles=3724 instructions=1258 cache-misses=13
[sample=84] cpu=0 bench=binarysearch cycles=3229 instructions=1259 cache-misses=9
[sample=85] cpu=0 bench=binarysearch cycles=4058 instructions=1259 cache-misses=10
[sample=86] cpu=0 bench=binarysearch cycles=4157 instructions=1259 cache-misses=12
[sample=87] cpu=0 bench=binarysearch cycles=4009 instructions=1260 cache-misses=10
[sample=88] cpu=0 bench=binarysearch cycles=3685 instructions=1259 cache-misses=9
[sample=89] cpu=0 bench=binarysearch cycles=3085 instructions=1259 cache-misses=10
[sample=90] cpu=0 bench=binarysearch cycles=2923 instructions=1259 cache-misses=8
[sample=91] cpu=0 bench=binarysearch cycles=4157 instructions=1260 cache-misses=12
[sample=92] cpu=0 bench=binarysearch cycles=3351 instructions=1260 cache-misses=10
[sample=93] cpu=0 bench=binarysearch cycles=3474 instructions=1260 cache-misses=9
[sample=94] cpu=0 bench=binarysearch cycles=2664 instructions=1259 cache-misses=11
[sample=95] cpu=0 bench=binarysearch cycles=2950 instructions=1259 cache-misses=9
[sample=96] cpu=0 bench=binarysearch cycles=2854 instructions=1259 cache-misses=10
[sample=97] cpu=0 bench=binarysearch cycles=4972 instructions=1260 cache-misses=8
