[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=binarysearch cycles=34403 instructions=1264 cache-misses=16
[sample=1] cpu=0 bench=binarysearch cycles=4199 instructions=1258 cache-misses=14
[sample=2] cpu=0 bench=binarysearch cycles=4077 instructions=1258 cache-misses=12
[sample=3] cpu=0 bench=binarysearch cycles=3927 instructions=1258 cache-misses=7
[sample=4] cpu=0 bench=binarysearch cycles=7084 instructions=1258 cache-misses=10
[sample=5] cpu=0 bench=binarysearch cycles=2367 instructions=1258 cache-misses=9
[sample=6] cpu=0 bench=binarysearch cycles=3622 instructions=1259 cache-misses=5
[sample=7] cpu=0 bench=binarysearch cycles=3315 instructions=1258 cache-misses=11
[sample=8] cpu=0 bench=binarysearch cycles=3946 instructions=1258 cache-misses=8
[sample=9] cpu=0 bench=binarysearch cycles=3676 instructions=1258 cache-misses=8
[sample=10] cpu=0 bench=binarysearch cycles=4250 instructions=1258 cache-misses=12
[sample=11] cpu=0 bench=binarysearch cycles=3567 instructions=1258 cache-misses=10
[sample=12] cpu=0 bench=binarysearch cycles=2983 instructions=1258 cache-misses=9
[sample=13] cpu=0 bench=binarysearch cycles=7667 instructions=1258 cache-misses=7
[sample=14] cpu=0 bench=binarysearch cycles=3030 instructions=1257 cache-misses=12
[sample=15] cpu=0 bench=binarysearch cycles=3630 instructions=1258 cache-misses=10
[sample=16] cpu=0 bench=binarysearch cycles=2988 instructions=1258 cache-misses=5
[sample=17] cpu=0 bench=binarysearch cycles=8155 instructions=1258 cache-misses=9
[sample=18] cpu=0 bench=binarysearch cycles=4281 instructions=1258 cache-misses=11
[sample=19] cpu=0 bench=binarysearch cycles=3035 instructions=1258 cache-misses=7
[sample=20] cpu=0 bench=binarysearch cycles=2755 instructions=1259 cache-misses=6
[sample=21] cpu=0 bench=binarysearch cycles=3748 instructions=1258 cache-misses=12
[sample=22] cpu=0 bench=binarysearch cycles=4364 instructions=1258 cache-misses=7
[sample=23] cpu=0 bench=binarysearch cycles=3780 instructions=1258 cache-misses=10
[sample=24] cpu=0 bench=binarysearch cycles=3589 instructions=1258 cache-misses=9
[sample=25] cpu=0 bench=binarysearch cycles=4596 instructions=1259 cache-misses=10
[sample=26] cpu=0 bench=binarysearch cycles=3126 instructions=1258 cache-misses=7
[sample=27] cpu=0 bench=binarysearch cycles=4145 instructions=1258 cache-misses=7
[sample=28] cpu=0 bench=binarysearch cycles=3557 instructions=1259 cache-misses=11
[sample=29] cpu=0 bench=binarysearch cycles=4262 instructions=1258 cache-misses=7
[sample=30] cpu=0 bench=binarysearch cycles=4398 instructions=1257 cache-misses=8
[sample=31] cpu=0 bench=binarysearch cycles=3649 instructions=1258 cache-misses=11
[sample=32] cpu=0 bench=binarysearch cycles=3218 instructions=1257 cache-misses=7
[sample=33] cpu=0 bench=binarysearch cycles=4039 instructions=1258 cache-misses=13
[sample=34] cpu=0 bench=binarysearch cycles=3451 instructions=1257 cache-misses=9
[sample=35] cpu=0 bench=binarysearch cycles=2637 instructions=1258 cache-misses=8
[sample=36] cpu=0 bench=binarysearch cycles=3460 instructions=1257 cache-misses=11
[sample=37] cpu=0 bench=binarysearch cycles=3047 instructions=1258 cache-misses=10
[sample=38] cpu=0 bench=binarysearch cycles=3405 instructions=1258 cache-misses=9
[sample=39] cpu=0 bench=binarysearch cycles=3627 instructions=1258 cache-misses=7
[sample=40] cpu=0 bench=binarysearch cycles=3222 instructions=1258 cache-misses=8
[sample=41] cpu=0 bench=binarysearch cycles=3424 instructions=1258 cache-misses=7
[sample=42] cpu=0 bench=binarysearch cycles=3262 instructions=1258 cache-misses=7
[sample=43] cpu=0 bench=binarysearch cycles=5334 instructions=1258 cache-misses=10
[sample=44] cpu=0 bench=binarysearch cycles=2915 instructions=1258 cache-misses=6
[sample=45] cpu=0 bench=binarysearch cycles=3026 instructions=1258 cache-misses=10
[sample=46] cpu=0 bench=binarysearch cycles=3133 instructions=1258 cache-misses=7
[sample=47] cpu=0 bench=binarysearch cycles=3723 instructions=1258 cache-misses=11
[sample=48] cpu=0 bench=binarysearch cycles=3578 instructions=1258 cache-misses=14
[sample=49] cpu=0 bench=binarysearch cycles=3349 instructions=1258 cache-misses=7
[sample=50] cpu=0 bench=binarysearch cycles=3576 instructions=1258 cache-misses=9
[sample=51] cpu=0 bench=binarysearch cycles=2722 instructions=1257 cache-misses=5
[sample=52] cpu=0 bench=binarysearch cycles=4882 instructions=1257 cache-misses=11
[sample=53] cpu=0 bench=binarysearch cycles=3656 instructions=1258 cache-misses=8
[sample=54] cpu=0 bench=binarysearch cycles=3779 instructions=1258 cache-misses=11
[sample=55] cpu=0 bench=binarysearch cycles=2406 instructions=1258 cache-misses=6
[sample=56] cpu=0 bench=binarysearch cycles=3660 instructions=1258 cache-misses=7
[sample=57] cpu=0 bench=binarysearch cycles=3241 instructions=1258 cache-misses=11
[sample=58] cpu=0 bench=binarysearch cycles=3903 instructions=1258 cache-misses=6
[sample=59] cpu=0 bench=binarysearch cycles=3973 instructions=1258 cache-misses=13
[sample=60] cpu=0 bench=binarysearch cycles=3888 instructions=1258 cache-misses=8
[sample=61] cpu=0 bench=binarysearch cycles=3438 instructions=1259 cache-misses=12
[sample=62] cpu=0 bench=binarysearch cycles=3372 instructions=1258 cache-misses=8
[sample=63] cpu=0 bench=binarysearch cycles=3377 instructions=1258 cache-misses=12
[sample=64] cpu=0 bench=binarysearch cycles=3670 instructions=1258 cache-misses=7
[sample=65] cpu=0 bench=binarysearch cycles=3685 instructions=1258 cache-misses=11
[sample=66] cpu=0 bench=binarysearch cycles=3080 instructions=1258 cache-misses=5
[sample=67] cpu=0 bench=binarysearch cycles=3470 instructions=1258 cache-misses=8
[sample=68] cpu=0 bench=binarysearch cycles=3916 instructions=1259 cache-misses=10
[sample=69] cpu=0 bench=binarysearch cycles=8125 instructions=1258 cache-misses=7
[sample=70] cpu=0 bench=binarysearch cycles=4431 instructions=1258 cache-misses=10
