[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=CACHE
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=binarysearch cycles=31990 instructions=1263 cache-misses=18
[sample=1] cpu=0 bench=binarysearch cycles=5218 instructions=1258 cache-misses=9
[sample=2] cpu=0 bench=binarysearch cycles=3706 instructions=1258 cache-misses=6
[sample=3] cpu=0 bench=binarysearch cycles=3295 instructions=1257 cache-misses=10
[sample=4] cpu=0 bench=binarysearch cycles=3158 instructions=1258 cache-misses=9
[sample=5] cpu=0 bench=binarysearch cycles=3711 instructions=1258 cache-misses=10
[sample=6] cpu=0 bench=binarysearch cycles=4114 instructions=1258 cache-misses=8
[sample=7] cpu=0 bench=binarysearch cycles=3410 instructions=1258 cache-misses=8
[sample=8] cpu=0 bench=binarysearch cycles=3602 instructions=1258 cache-misses=8
[sample=9] cpu=0 bench=binarysearch cycles=2481 instructions=1258 cache-misses=5
[sample=10] cpu=0 bench=binarysearch cycles=3190 instructions=1258 cache-misses=10
[sample=11] cpu=0 bench=binarysearch cycles=4067 instructions=1258 cache-misses=7
[sample=12] cpu=0 bench=binarysearch cycles=3379 instructions=1258 cache-misses=10
[sample=13] cpu=0 bench=binarysearch cycles=3118 instructions=1258 cache-misses=9
[sample=14] cpu=0 bench=binarysearch cycles=7775 instructions=1258 cache-misses=8
[sample=15] cpu=0 bench=binarysearch cycles=3883 instructions=1258 cache-misses=9
[sample=16] cpu=0 bench=binarysearch cycles=3207 instructions=1258 cache-misses=7
[sample=17] cpu=0 bench=binarysearch cycles=2958 instructions=1258 cache-misses=8
[sample=18] cpu=0 bench=binarysearch cycles=3630 instructions=1258 cache-misses=8
[sample=19] cpu=0 bench=binarysearch cycles=3645 instructions=1258 cache-misses=7
[sample=20] cpu=0 bench=binarysearch cycles=3316 instructions=1258 cache-misses=10
[sample=21] cpu=0 bench=binarysearch cycles=3571 instructions=1258 cache-misses=10
[sample=22] cpu=0 bench=binarysearch cycles=3940 instructions=1257 cache-misses=7
[sample=23] cpu=0 bench=binarysearch cycles=3624 instructions=1258 cache-misses=11
[sample=24] cpu=0 bench=binarysearch cycles=2901 instructions=1258 cache-misses=8
[sample=25] cpu=0 bench=binarysearch cycles=3732 instructions=1258 cache-misses=7
[sample=26] cpu=0 bench=binarysearch cycles=4003 instructions=1258 cache-misses=9
[sample=27] cpu=0 bench=binarysearch cycles=3403 instructions=1258 cache-misses=9
[sample=28] cpu=0 bench=binarysearch cycles=3564 instructions=1258 cache-misses=9
[sample=29] cpu=0 bench=binarysearch cycles=2749 instructions=1258 cache-misses=7
[sample=30] cpu=0 bench=binarysearch cycles=3710 instructions=1258 cache-misses=11
[sample=31] cpu=0 bench=binarysearch cycles=3678 instructions=1258 cache-misses=7
[sample=32] cpu=0 bench=binarysearch cycles=4366 instructions=1258 cache-misses=7
[sample=33] cpu=0 bench=binarysearch cycles=2974 instructions=1258 cache-misses=8
[sample=34] cpu=0 bench=binarysearch cycles=3705 instructions=1258 cache-misses=8
[sample=35] cpu=0 bench=binarysearch cycles=3795 instructions=1258 cache-misses=9
