[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=MEM
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=binarysearch cycles=36401 instructions=1263 cache-misses=10
[sample=1] cpu=0 bench=binarysearch cycles=5174 instructions=1258 cache-misses=10
[sample=2] cpu=0 bench=binarysearch cycles=3618 instructions=1258 cache-misses=9
[sample=3] cpu=0 bench=binarysearch cycles=2835 instructions=1258 cache-misses=7
[sample=4] cpu=0 bench=binarysearch cycles=7039 instructions=1258 cache-misses=7
[sample=5] cpu=0 bench=binarysearch cycles=3837 instructions=1258 cache-misses=7
[sample=6] cpu=0 bench=binarysearch cycles=4049 instructions=1258 cache-misses=7
[sample=7] cpu=0 bench=binarysearch cycles=3517 instructions=1258 cache-misses=8
[sample=8] cpu=0 bench=binarysearch cycles=3233 instructions=1258 cache-misses=7
[sample=9] cpu=0 bench=binarysearch cycles=2868 instructions=1258 cache-misses=7
[sample=10] cpu=0 bench=binarysearch cycles=3397 instructions=1258 cache-misses=7
[sample=11] cpu=0 bench=binarysearch cycles=3110 instructions=1258 cache-misses=5
[sample=12] cpu=0 bench=binarysearch cycles=3572 instructions=1258 cache-misses=9
[sample=13] cpu=0 bench=binarysearch cycles=3906 instructions=1258 cache-misses=7
[sample=14] cpu=0 bench=binarysearch cycles=4988 instructions=1258 cache-misses=8
[sample=15] cpu=0 bench=binarysearch cycles=3314 instructions=1258 cache-misses=8
[sample=16] cpu=0 bench=binarysearch cycles=3251 instructions=1258 cache-misses=8
[sample=17] cpu=0 bench=binarysearch cycles=2914 instructions=1258 cache-misses=7
[sample=18] cpu=0 bench=binarysearch cycles=3405 instructions=1258 cache-misses=7
[sample=19] cpu=0 bench=binarysearch cycles=3349 instructions=1258 cache-misses=8
[sample=20] cpu=0 bench=binarysearch cycles=2907 instructions=1258 cache-misses=9
[sample=21] cpu=0 bench=binarysearch cycles=3945 instructions=1258 cache-misses=9
[sample=22] cpu=0 bench=binarysearch cycles=3079 instructions=1258 cache-misses=7
[sample=23] cpu=0 bench=binarysearch cycles=2758 instructions=1258 cache-misses=6
[sample=24] cpu=0 bench=binarysearch cycles=3520 instructions=1258 cache-misses=9
[sample=25] cpu=0 bench=binarysearch cycles=4015 instructions=1258 cache-misses=8
[sample=26] cpu=0 bench=binarysearch cycles=2754 instructions=1258 cache-misses=7
[sample=27] cpu=0 bench=binarysearch cycles=3129 instructions=1258 cache-misses=8
[sample=28] cpu=0 bench=binarysearch cycles=8338 instructions=1258 cache-misses=7
[sample=29] cpu=0 bench=binarysearch cycles=2926 instructions=1258 cache-misses=6
[sample=30] cpu=0 bench=binarysearch cycles=3482 instructions=1258 cache-misses=8
[sample=31] cpu=0 bench=binarysearch cycles=4341 instructions=1258 cache-misses=7
[sample=32] cpu=0 bench=binarysearch cycles=3173 instructions=1258 cache-misses=9
[sample=33] cpu=0 bench=binarysearch cycles=3208 instructions=1258 cache-misses=8
[sample=34] cpu=0 bench=binarysearch cycles=3349 instructions=1258 cache-misses=7
[sample=35] cpu=0 bench=binarysearch cycles=3060 instructions=1258 cache-misses=9
[sample=36] cpu=0 bench=binarysearch cycles=4526 instructions=1258 cache-misses=7
[sample=37] cpu=0 bench=binarysearch cycles=4400 instructions=1258 cache-misses=7
[sample=38] cpu=0 bench=binarysearch cycles=3740 instructions=1258 cache-misses=10
[sample=39] cpu=0 bench=binarysearch cycles=3678 instructions=1258 cache-misses=7
[sample=40] cpu=0 bench=binarysearch cycles=3469 instructions=1258 cache-misses=7
[sample=41] cpu=0 bench=binarysearch cycles=3257 instructions=1258 cache-misses=7
[sample=42] cpu=0 bench=binarysearch cycles=4077 instructions=1258 cache-misses=7
[sample=43] cpu=0 bench=binarysearch cycles=3534 instructions=1258 cache-misses=8
[sample=44] cpu=0 bench=binarysearch cycles=4136 instructions=1258 cache-misses=8
[sample=45] cpu=0 bench=binarysearch cycles=3394 instructions=1258 cache-misses=8
[sample=46] cpu=0 bench=binarysearch cycles=4263 instructions=1258 cache-misses=8
[sample=47] cpu=0 bench=binarysearch cycles=2965 instructions=1258 cache-misses=6
[sample=48] cpu=0 bench=binarysearch cycles=2797 instructions=1258 cache-misses=6
[sample=49] cpu=0 bench=binarysearch cycles=3311 instructions=1258 cache-misses=6
[sample=50] cpu=0 bench=binarysearch cycles=2899 instructions=1258 cache-misses=6
[sample=51] cpu=0 bench=binarysearch cycles=3011 instructions=1258 cache-misses=8
[sample=52] cpu=0 bench=binarysearch cycles=3143 instructions=1258 cache-misses=9
[sample=53] cpu=0 bench=binarysearch cycles=2982 instructions=1258 cache-misses=6
[sample=54] cpu=0 bench=binarysearch cycles=2694 instructions=1258 cache-misses=9
[sample=55] cpu=0 bench=binarysearch cycles=4351 instructions=1258 cache-misses=8
[sample=56] cpu=0 bench=binarysearch cycles=8241 instructions=1258 cache-misses=7
[sample=57] cpu=0 bench=binarysearch cycles=3648 instructions=1258 cache-misses=7
[sample=58] cpu=0 bench=binarysearch cycles=3783 instructions=1258 cache-misses=9
[sample=59] cpu=0 bench=binarysearch cycles=4518 instructions=1258 cache-misses=8
[sample=60] cpu=0 bench=binarysearch cycles=4358 instructions=1258 cache-misses=8
[sample=61] cpu=0 bench=binarysearch cycles=3909 instructions=1258 cache-misses=7
[sample=62] cpu=0 bench=binarysearch cycles=3054 instructions=1258 cache-misses=9
[sample=63] cpu=0 bench=binarysearch cycles=3394 instructions=1258 cache-misses=8
[sample=64] cpu=0 bench=binarysearch cycles=3099 instructions=1258 cache-misses=7
[sample=65] cpu=0 bench=binarysearch cycles=3393 instructions=1258 cache-misses=9
[sample=66] cpu=0 bench=binarysearch cycles=5123 instructions=1258 cache-misses=8
[sample=67] cpu=0 bench=binarysearch cycles=3574 instructions=1258 cache-misses=8
[sample=68] cpu=0 bench=binarysearch cycles=3804 instructions=1258 cache-misses=7
[sample=69] cpu=0 bench=binarysearch cycles=3406 instructions=1258 cache-misses=9
[sample=70] cpu=0 bench=binarysearch cycles=3094 instructions=1258 cache-misses=7
[sample=71] cpu=0 bench=binarysearch cycles=8249 instructions=1258 cache-misses=8
[sample=72] cpu=0 bench=binarysearch cycles=3337 instructions=1258 cache-misses=6
[sample=73] cpu=0 bench=binarysearch cycles=2959 instructions=1258 cache-misses=7
[sample=74] cpu=0 bench=binarysearch cycles=3260 instructions=1258 cache-misses=9
[sample=75] cpu=0 bench=binarysearch cycles=4380 instructions=1258 cache-misses=7
[sample=76] cpu=0 bench=binarysearch cycles=2475 instructions=1258 cache-misses=9
[sample=77] cpu=0 bench=binarysearch cycles=4028 instructions=1258 cache-misses=8
[sample=78] cpu=0 bench=binarysearch cycles=4274 instructions=1258 cache-misses=7
[sample=79] cpu=0 bench=binarysearch cycles=4295 instructions=1258 cache-misses=7
[sample=80] cpu=0 bench=binarysearch cycles=2832 instructions=1258 cache-misses=6
[sample=81] cpu=0 bench=binarysearch cycles=3659 instructions=1258 cache-misses=7
[sample=82] cpu=0 bench=binarysearch cycles=3518 instructions=1258 cache-misses=7
[sample=83] cpu=0 bench=binarysearch cycles=3829 instructions=1258 cache-misses=5
[sample=84] cpu=0 bench=binarysearch cycles=3371 instructions=1258 cache-misses=7
[sample=85] cpu=0 bench=binarysearch cycles=4240 instructions=1258 cache-misses=9
[sample=86] cpu=0 bench=binarysearch cycles=3850 instructions=1258 cache-misses=6
[sample=87] cpu=0 bench=binarysearch cycles=8051 instructions=1258 cache-misses=7
[sample=88] cpu=0 bench=binarysearch cycles=3606 instructions=1258 cache-misses=8
