[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=CACHE  cpu3=POINTER
[sample=0] cpu=0 bench=fir2dim cycles=62521 instructions=10132 cache-misses=18
[sample=1] cpu=0 bench=fir2dim cycles=23190 instructions=10127 cache-misses=12
[sample=2] cpu=0 bench=fir2dim cycles=13846 instructions=10117 cache-misses=9
[sample=3] cpu=0 bench=fir2dim cycles=16118 instructions=10121 cache-misses=7
[sample=4] cpu=0 bench=fir2dim cycles=13559 instructions=10121 cache-misses=8
[sample=5] cpu=0 bench=fir2dim cycles=13619 instructions=10121 cache-misses=7
[sample=6] cpu=0 bench=fir2dim cycles=17392 instructions=10122 cache-misses=9
[sample=7] cpu=0 bench=fir2dim cycles=13813 instructions=10118 cache-misses=11
[sample=8] cpu=0 bench=fir2dim cycles=13749 instructions=10117 cache-misses=7
[sample=9] cpu=0 bench=fir2dim cycles=13391 instructions=10118 cache-misses=9
[sample=10] cpu=0 bench=fir2dim cycles=13348 instructions=10120 cache-misses=7
[sample=11] cpu=0 bench=fir2dim cycles=14008 instructions=10119 cache-misses=8
[sample=12] cpu=0 bench=fir2dim cycles=14991 instructions=10118 cache-misses=11
[sample=13] cpu=0 bench=fir2dim cycles=13686 instructions=10119 cache-misses=10
[sample=14] cpu=0 bench=fir2dim cycles=13744 instructions=10121 cache-misses=9
[sample=15] cpu=0 bench=fir2dim cycles=13566 instructions=10122 cache-misses=8
[sample=16] cpu=0 bench=fir2dim cycles=15341 instructions=10123 cache-misses=6
[sample=17] cpu=0 bench=fir2dim cycles=13503 instructions=10120 cache-misses=8
[sample=18] cpu=0 bench=fir2dim cycles=13592 instructions=10119 cache-misses=7
[sample=19] cpu=0 bench=fir2dim cycles=13859 instructions=10123 cache-misses=7
[sample=20] cpu=0 bench=fir2dim cycles=18292 instructions=10119 cache-misses=6
[sample=21] cpu=0 bench=fir2dim cycles=13496 instructions=10118 cache-misses=9
[sample=22] cpu=0 bench=fir2dim cycles=13755 instructions=10121 cache-misses=7
[sample=23] cpu=0 bench=fir2dim cycles=14113 instructions=10118 cache-misses=6
[sample=24] cpu=0 bench=fir2dim cycles=17852 instructions=10123 cache-misses=6
[sample=25] cpu=0 bench=fir2dim cycles=13665 instructions=10118 cache-misses=8
[sample=26] cpu=0 bench=fir2dim cycles=13989 instructions=10118 cache-misses=8
[sample=27] cpu=0 bench=fir2dim cycles=13675 instructions=10123 cache-misses=8
[sample=28] cpu=0 bench=fir2dim cycles=14254 instructions=10119 cache-misses=7
[sample=29] cpu=0 bench=fir2dim cycles=13568 instructions=10117 cache-misses=7
[sample=30] cpu=0 bench=fir2dim cycles=13889 instructions=10117 cache-misses=7
[sample=31] cpu=0 bench=fir2dim cycles=15939 instructions=10118 cache-misses=8
[sample=32] cpu=0 bench=fir2dim cycles=14204 instructions=10118 cache-misses=9
[sample=33] cpu=0 bench=fir2dim cycles=14120 instructions=10122 cache-misses=8
[sample=34] cpu=0 bench=fir2dim cycles=14283 instructions=10118 cache-misses=10
[sample=35] cpu=0 bench=fir2dim cycles=18789 instructions=10119 cache-misses=6
[sample=36] cpu=0 bench=fir2dim cycles=13524 instructions=10118 cache-misses=8
[sample=37] cpu=0 bench=fir2dim cycles=13910 instructions=10119 cache-misses=8
[sample=38] cpu=0 bench=fir2dim cycles=13692 instructions=10118 cache-misses=10
[sample=39] cpu=0 bench=fir2dim cycles=17712 instructions=10116 cache-misses=9
[sample=40] cpu=0 bench=fir2dim cycles=14078 instructions=10120 cache-misses=7
[sample=41] cpu=0 bench=fir2dim cycles=13864 instructions=10124 cache-misses=9
[sample=42] cpu=0 bench=fir2dim cycles=14152 instructions=10120 cache-misses=7
[sample=43] cpu=0 bench=fir2dim cycles=13820 instructions=10115 cache-misses=9
[sample=44] cpu=0 bench=fir2dim cycles=13751 instructions=10117 cache-misses=9
[sample=45] cpu=0 bench=fir2dim cycles=13763 instructions=10118 cache-misses=9
