[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=MEM  cpu3=CACHE
[sample=0] cpu=0 bench=fir2dim cycles=58326 instructions=10130 cache-misses=17
[sample=1] cpu=0 bench=fir2dim cycles=46281 instructions=10125 cache-misses=15
[sample=2] cpu=0 bench=fir2dim cycles=24929 instructions=10126 cache-misses=9
[sample=3] cpu=0 bench=fir2dim cycles=17817 instructions=10120 cache-misses=11
[sample=4] cpu=0 bench=fir2dim cycles=16953 instructions=10120 cache-misses=9
[sample=5] cpu=0 bench=fir2dim cycles=17205 instructions=10121 cache-misses=13
[sample=6] cpu=0 bench=fir2dim cycles=13969 instructions=10121 cache-misses=11
[sample=7] cpu=0 bench=fir2dim cycles=14699 instructions=10125 cache-misses=9
[sample=8] cpu=0 bench=fir2dim cycles=14773 instructions=10121 cache-misses=16
[sample=9] cpu=0 bench=fir2dim cycles=15456 instructions=10116 cache-misses=11
[sample=10] cpu=0 bench=fir2dim cycles=14192 instructions=10118 cache-misses=12
[sample=11] cpu=0 bench=fir2dim cycles=14996 instructions=10120 cache-misses=11
[sample=12] cpu=0 bench=fir2dim cycles=14453 instructions=10123 cache-misses=13
[sample=13] cpu=0 bench=fir2dim cycles=14759 instructions=10121 cache-misses=16
[sample=14] cpu=0 bench=fir2dim cycles=17885 instructions=10119 cache-misses=11
[sample=15] cpu=0 bench=fir2dim cycles=14546 instructions=10120 cache-misses=8
[sample=16] cpu=0 bench=fir2dim cycles=18649 instructions=10126 cache-misses=15
[sample=17] cpu=0 bench=fir2dim cycles=15713 instructions=10121 cache-misses=15
[sample=18] cpu=0 bench=fir2dim cycles=14213 instructions=10117 cache-misses=11
[sample=19] cpu=0 bench=fir2dim cycles=13805 instructions=10121 cache-misses=12
[sample=20] cpu=0 bench=fir2dim cycles=17643 instructions=10121 cache-misses=10
[sample=21] cpu=0 bench=fir2dim cycles=13856 instructions=10118 cache-misses=10
[sample=22] cpu=0 bench=fir2dim cycles=13474 instructions=10121 cache-misses=10
[sample=23] cpu=0 bench=fir2dim cycles=14072 instructions=10123 cache-misses=11
[sample=24] cpu=0 bench=fir2dim cycles=13844 instructions=10120 cache-misses=9
[sample=25] cpu=0 bench=fir2dim cycles=13803 instructions=10118 cache-misses=9
[sample=26] cpu=0 bench=fir2dim cycles=13556 instructions=10118 cache-misses=8
[sample=27] cpu=0 bench=fir2dim cycles=17751 instructions=10128 cache-misses=9
[sample=28] cpu=0 bench=fir2dim cycles=15272 instructions=10119 cache-misses=14
[sample=29] cpu=0 bench=fir2dim cycles=14866 instructions=10127 cache-misses=9
[sample=30] cpu=0 bench=fir2dim cycles=16575 instructions=10118 cache-misses=11
[sample=31] cpu=0 bench=fir2dim cycles=13638 instructions=10120 cache-misses=13
[sample=32] cpu=0 bench=fir2dim cycles=13734 instructions=10123 cache-misses=13
[sample=33] cpu=0 bench=fir2dim cycles=14567 instructions=10121 cache-misses=10
[sample=34] cpu=0 bench=fir2dim cycles=16775 instructions=10118 cache-misses=13
