[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=fir2dim cycles=56621 instructions=10128 cache-misses=18
[sample=1] cpu=0 bench=fir2dim cycles=21600 instructions=10117 cache-misses=9
[sample=2] cpu=0 bench=fir2dim cycles=14683 instructions=10111 cache-misses=6
[sample=3] cpu=0 bench=fir2dim cycles=16079 instructions=10113 cache-misses=10
[sample=4] cpu=0 bench=fir2dim cycles=16004 instructions=10112 cache-misses=7
[sample=5] cpu=0 bench=fir2dim cycles=14744 instructions=10110 cache-misses=7
[sample=6] cpu=0 bench=fir2dim cycles=16381 instructions=10106 cache-misses=7
[sample=7] cpu=0 bench=fir2dim cycles=15156 instructions=10107 cache-misses=6
[sample=8] cpu=0 bench=fir2dim cycles=15281 instructions=10108 cache-misses=7
[sample=9] cpu=0 bench=fir2dim cycles=19369 instructions=10109 cache-misses=6
[sample=10] cpu=0 bench=fir2dim cycles=20270 instructions=10105 cache-misses=6
[sample=11] cpu=0 bench=fir2dim cycles=17652 instructions=10108 cache-misses=7
[sample=12] cpu=0 bench=fir2dim cycles=16060 instructions=10109 cache-misses=8
[sample=13] cpu=0 bench=fir2dim cycles=14588 instructions=10108 cache-misses=7
[sample=14] cpu=0 bench=fir2dim cycles=19682 instructions=10109 cache-misses=7
[sample=15] cpu=0 bench=fir2dim cycles=15624 instructions=10113 cache-misses=7
[sample=16] cpu=0 bench=fir2dim cycles=15756 instructions=10108 cache-misses=7
[sample=17] cpu=0 bench=fir2dim cycles=17575 instructions=10105 cache-misses=7
[sample=18] cpu=0 bench=fir2dim cycles=15333 instructions=10105 cache-misses=7
[sample=19] cpu=0 bench=fir2dim cycles=19707 instructions=10106 cache-misses=5
[sample=20] cpu=0 bench=fir2dim cycles=15113 instructions=10113 cache-misses=6
[sample=21] cpu=0 bench=fir2dim cycles=15902 instructions=10109 cache-misses=7
[sample=22] cpu=0 bench=fir2dim cycles=14701 instructions=10112 cache-misses=8
[sample=23] cpu=0 bench=fir2dim cycles=15178 instructions=10109 cache-misses=6
[sample=24] cpu=0 bench=fir2dim cycles=20770 instructions=10112 cache-misses=7
[sample=25] cpu=0 bench=fir2dim cycles=20726 instructions=10113 cache-misses=7
[sample=26] cpu=0 bench=fir2dim cycles=20260 instructions=10106 cache-misses=8
[sample=27] cpu=0 bench=fir2dim cycles=15281 instructions=10109 cache-misses=8
[sample=28] cpu=0 bench=fir2dim cycles=15427 instructions=10110 cache-misses=7
[sample=29] cpu=0 bench=fir2dim cycles=15433 instructions=10111 cache-misses=8
[sample=30] cpu=0 bench=fir2dim cycles=14396 instructions=10108 cache-misses=8
[sample=31] cpu=0 bench=fir2dim cycles=14439 instructions=10107 cache-misses=6
[sample=32] cpu=0 bench=fir2dim cycles=15916 instructions=10112 cache-misses=8
[sample=33] cpu=0 bench=fir2dim cycles=16953 instructions=10108 cache-misses=8
[sample=34] cpu=0 bench=fir2dim cycles=19835 instructions=10106 cache-misses=7
[sample=35] cpu=0 bench=fir2dim cycles=14511 instructions=10109 cache-misses=7
[sample=36] cpu=0 bench=fir2dim cycles=18295 instructions=10106 cache-misses=6
[sample=37] cpu=0 bench=fir2dim cycles=16340 instructions=10109 cache-misses=7
[sample=38] cpu=0 bench=fir2dim cycles=16492 instructions=10111 cache-misses=7
[sample=39] cpu=0 bench=fir2dim cycles=14154 instructions=10112 cache-misses=6
[sample=40] cpu=0 bench=fir2dim cycles=15349 instructions=10107 cache-misses=5
[sample=41] cpu=0 bench=fir2dim cycles=15333 instructions=10110 cache-misses=6
[sample=42] cpu=0 bench=fir2dim cycles=16202 instructions=10112 cache-misses=7
[sample=43] cpu=0 bench=fir2dim cycles=15082 instructions=10108 cache-misses=7
[sample=44] cpu=0 bench=fir2dim cycles=15911 instructions=10111 cache-misses=7
[sample=45] cpu=0 bench=fir2dim cycles=16153 instructions=10110 cache-misses=7
[sample=46] cpu=0 bench=fir2dim cycles=15902 instructions=10111 cache-misses=8
[sample=47] cpu=0 bench=fir2dim cycles=15221 instructions=10111 cache-misses=8
[sample=48] cpu=0 bench=fir2dim cycles=16473 instructions=10108 cache-misses=6
[sample=49] cpu=0 bench=fir2dim cycles=14870 instructions=10107 cache-misses=7
[sample=50] cpu=0 bench=fir2dim cycles=16424 instructions=10109 cache-misses=7
[sample=51] cpu=0 bench=fir2dim cycles=15416 instructions=10110 cache-misses=7
[sample=52] cpu=0 bench=fir2dim cycles=15229 instructions=10105 cache-misses=6
[sample=53] cpu=0 bench=fir2dim cycles=15474 instructions=10108 cache-misses=6
[sample=54] cpu=0 bench=fir2dim cycles=16466 instructions=10110 cache-misses=7
[sample=55] cpu=0 bench=fir2dim cycles=16095 instructions=10110 cache-misses=7
[sample=56] cpu=0 bench=fir2dim cycles=14951 instructions=10115 cache-misses=9
[sample=57] cpu=0 bench=fir2dim cycles=16234 instructions=10112 cache-misses=7
[sample=58] cpu=0 bench=fir2dim cycles=16128 instructions=10105 cache-misses=7
[sample=59] cpu=0 bench=fir2dim cycles=14735 instructions=10110 cache-misses=7
