[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MEM  cpu2=CACHE  cpu3=POINTER
[sample=0] cpu=0 bench=fmref cycles=893095 instructions=454816 cache-misses=152
[sample=1] cpu=0 bench=fmref cycles=692213 instructions=417299 cache-misses=82
[sample=2] cpu=0 bench=fmref cycles=694573 instructions=417298 cache-misses=57
[sample=3] cpu=0 bench=fmref cycles=671385 instructions=417296 cache-misses=40
[sample=4] cpu=0 bench=fmref cycles=658872 instructions=417297 cache-misses=46
[sample=5] cpu=0 bench=fmref cycles=658329 instructions=417298 cache-misses=34
[sample=6] cpu=0 bench=fmref cycles=659840 instructions=417295 cache-misses=28
[sample=7] cpu=0 bench=fmref cycles=683154 instructions=417305 cache-misses=62
[sample=8] cpu=0 bench=fmref cycles=701963 instructions=417299 cache-misses=87
[sample=9] cpu=0 bench=fmref cycles=679688 instructions=417302 cache-misses=71
[sample=10] cpu=0 bench=fmref cycles=699734 instructions=417305 cache-misses=116
[sample=11] cpu=0 bench=fmref cycles=683242 instructions=417298 cache-misses=69
[sample=12] cpu=0 bench=fmref cycles=677769 instructions=417297 cache-misses=65
[sample=13] cpu=0 bench=fmref cycles=705103 instructions=417300 cache-misses=73
[sample=14] cpu=0 bench=fmref cycles=698068 instructions=417303 cache-misses=77
[sample=15] cpu=0 bench=fmref cycles=701163 instructions=417298 cache-misses=81
[sample=16] cpu=0 bench=fmref cycles=1703608 instructions=417300 cache-misses=130
[sample=17] cpu=0 bench=fmref cycles=676440 instructions=417297 cache-misses=75
[sample=18] cpu=0 bench=fmref cycles=671898 instructions=417298 cache-misses=67
[sample=19] cpu=0 bench=fmref cycles=673582 instructions=417296 cache-misses=71
[sample=20] cpu=0 bench=fmref cycles=674625 instructions=417295 cache-misses=77
[sample=21] cpu=0 bench=fmref cycles=679439 instructions=417296 cache-misses=67
[sample=22] cpu=0 bench=fmref cycles=694880 instructions=417296 cache-misses=75
[sample=23] cpu=0 bench=fmref cycles=698716 instructions=417302 cache-misses=79
[sample=24] cpu=0 bench=fmref cycles=701936 instructions=417307 cache-misses=67
[sample=25] cpu=0 bench=fmref cycles=712533 instructions=417300 cache-misses=77
[sample=26] cpu=0 bench=fmref cycles=684360 instructions=417305 cache-misses=68
[sample=27] cpu=0 bench=fmref cycles=678979 instructions=417300 cache-misses=62
[sample=28] cpu=0 bench=fmref cycles=671239 instructions=417305 cache-misses=67
[sample=29] cpu=0 bench=fmref cycles=670299 instructions=417300 cache-misses=71
[sample=30] cpu=0 bench=fmref cycles=670056 instructions=417304 cache-misses=64
[sample=31] cpu=0 bench=fmref cycles=674199 instructions=417297 cache-misses=68
[sample=32] cpu=0 bench=fmref cycles=708549 instructions=417298 cache-misses=77
[sample=33] cpu=0 bench=fmref cycles=734808 instructions=417304 cache-misses=90
[sample=34] cpu=0 bench=fmref cycles=732941 instructions=417299 cache-misses=82
[sample=35] cpu=0 bench=fmref cycles=690790 instructions=417299 cache-misses=62
[sample=36] cpu=0 bench=fmref cycles=661739 instructions=417302 cache-misses=78
[sample=37] cpu=0 bench=fmref cycles=693726 instructions=417301 cache-misses=70
[sample=38] cpu=0 bench=fmref cycles=673362 instructions=417301 cache-misses=63
[sample=39] cpu=0 bench=fmref cycles=670172 instructions=417297 cache-misses=75
[sample=40] cpu=0 bench=fmref cycles=681989 instructions=417301 cache-misses=83
[sample=41] cpu=0 bench=fmref cycles=675139 instructions=417300 cache-misses=64
[sample=42] cpu=0 bench=fmref cycles=677543 instructions=417301 cache-misses=65
[sample=43] cpu=0 bench=fmref cycles=682523 instructions=417296 cache-misses=68
[sample=44] cpu=0 bench=fmref cycles=710929 instructions=417299 cache-misses=81
[sample=45] cpu=0 bench=fmref cycles=710073 instructions=417300 cache-misses=78
[sample=46] cpu=0 bench=fmref cycles=712296 instructions=417301 cache-misses=82
[sample=47] cpu=0 bench=fmref cycles=693214 instructions=417303 cache-misses=81
[sample=48] cpu=0 bench=fmref cycles=685565 instructions=417300 cache-misses=69
[sample=49] cpu=0 bench=fmref cycles=680086 instructions=417298 cache-misses=73
[sample=50] cpu=0 bench=fmref cycles=672026 instructions=417301 cache-misses=68
[sample=51] cpu=0 bench=fmref cycles=678887 instructions=417301 cache-misses=72
[sample=52] cpu=0 bench=fmref cycles=681549 instructions=417305 cache-misses=71
[sample=53] cpu=0 bench=fmref cycles=739004 instructions=417303 cache-misses=68
[sample=54] cpu=0 bench=fmref cycles=676534 instructions=417298 cache-misses=70
[sample=55] cpu=0 bench=fmref cycles=657027 instructions=417298 cache-misses=65
[sample=56] cpu=0 bench=fmref cycles=657509 instructions=417302 cache-misses=77
[sample=57] cpu=0 bench=fmref cycles=659280 instructions=417299 cache-misses=68
