[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=fmref cycles=875754 instructions=454818 cache-misses=130
[sample=1] cpu=0 bench=fmref cycles=705585 instructions=417306 cache-misses=78
[sample=2] cpu=0 bench=fmref cycles=699751 instructions=417300 cache-misses=64
[sample=3] cpu=0 bench=fmref cycles=704589 instructions=417303 cache-misses=66
[sample=4] cpu=0 bench=fmref cycles=666545 instructions=417299 cache-misses=64
[sample=5] cpu=0 bench=fmref cycles=667247 instructions=417299 cache-misses=54
[sample=6] cpu=0 bench=fmref cycles=673149 instructions=417301 cache-misses=80
[sample=7] cpu=0 bench=fmref cycles=675130 instructions=417296 cache-misses=61
[sample=8] cpu=0 bench=fmref cycles=670079 instructions=417295 cache-misses=58
[sample=9] cpu=0 bench=fmref cycles=671915 instructions=417301 cache-misses=58
[sample=10] cpu=0 bench=fmref cycles=666260 instructions=417297 cache-misses=49
[sample=11] cpu=0 bench=fmref cycles=666291 instructions=417301 cache-misses=40
[sample=12] cpu=0 bench=fmref cycles=671430 instructions=417299 cache-misses=58
[sample=13] cpu=0 bench=fmref cycles=667244 instructions=417302 cache-misses=51
[sample=14] cpu=0 bench=fmref cycles=666608 instructions=417296 cache-misses=57
[sample=15] cpu=0 bench=fmref cycles=665812 instructions=417297 cache-misses=49
[sample=16] cpu=0 bench=fmref cycles=667680 instructions=417301 cache-misses=74
[sample=17] cpu=0 bench=fmref cycles=675840 instructions=417299 cache-misses=81
[sample=18] cpu=0 bench=fmref cycles=668495 instructions=417300 cache-misses=57
[sample=19] cpu=0 bench=fmref cycles=672255 instructions=417299 cache-misses=62
[sample=20] cpu=0 bench=fmref cycles=670067 instructions=417301 cache-misses=50
[sample=21] cpu=0 bench=fmref cycles=669703 instructions=417298 cache-misses=54
[sample=22] cpu=0 bench=fmref cycles=677466 instructions=417298 cache-misses=70
[sample=23] cpu=0 bench=fmref cycles=662464 instructions=417301 cache-misses=61
[sample=24] cpu=0 bench=fmref cycles=664600 instructions=417299 cache-misses=43
[sample=25] cpu=0 bench=fmref cycles=668916 instructions=417300 cache-misses=58
[sample=26] cpu=0 bench=fmref cycles=677628 instructions=417297 cache-misses=49
[sample=27] cpu=0 bench=fmref cycles=669286 instructions=417302 cache-misses=55
[sample=28] cpu=0 bench=fmref cycles=669519 instructions=417299 cache-misses=58
[sample=29] cpu=0 bench=fmref cycles=669700 instructions=417298 cache-misses=58
[sample=30] cpu=0 bench=fmref cycles=667307 instructions=417299 cache-misses=57
[sample=31] cpu=0 bench=fmref cycles=668388 instructions=417298 cache-misses=47
[sample=32] cpu=0 bench=fmref cycles=667943 instructions=417296 cache-misses=48
[sample=33] cpu=0 bench=fmref cycles=671794 instructions=417299 cache-misses=55
[sample=34] cpu=0 bench=fmref cycles=681802 instructions=417301 cache-misses=73
[sample=35] cpu=0 bench=fmref cycles=669560 instructions=417298 cache-misses=57
[sample=36] cpu=0 bench=fmref cycles=666337 instructions=417298 cache-misses=56
[sample=37] cpu=0 bench=fmref cycles=667958 instructions=417298 cache-misses=53
[sample=38] cpu=0 bench=fmref cycles=672082 instructions=417301 cache-misses=50
[sample=39] cpu=0 bench=fmref cycles=676588 instructions=417297 cache-misses=53
[sample=40] cpu=0 bench=fmref cycles=666568 instructions=417300 cache-misses=51
[sample=41] cpu=0 bench=fmref cycles=663229 instructions=417303 cache-misses=48
[sample=42] cpu=0 bench=fmref cycles=666736 instructions=417298 cache-misses=57
[sample=43] cpu=0 bench=fmref cycles=687340 instructions=417300 cache-misses=66
[sample=44] cpu=0 bench=fmref cycles=667873 instructions=417300 cache-misses=46
[sample=45] cpu=0 bench=fmref cycles=666164 instructions=417302 cache-misses=50
[sample=46] cpu=0 bench=fmref cycles=665548 instructions=417299 cache-misses=49
[sample=47] cpu=0 bench=fmref cycles=663745 instructions=417299 cache-misses=48
[sample=48] cpu=0 bench=fmref cycles=689865 instructions=417304 cache-misses=57
[sample=49] cpu=0 bench=fmref cycles=689702 instructions=417297 cache-misses=63
[sample=50] cpu=0 bench=fmref cycles=666809 instructions=417301 cache-misses=63
[sample=51] cpu=0 bench=fmref cycles=754152 instructions=417302 cache-misses=77
[sample=52] cpu=0 bench=fmref cycles=681552 instructions=417300 cache-misses=62
[sample=53] cpu=0 bench=fmref cycles=679115 instructions=417304 cache-misses=81
[sample=54] cpu=0 bench=fmref cycles=670776 instructions=417301 cache-misses=59
[sample=55] cpu=0 bench=fmref cycles=663168 instructions=417296 cache-misses=55
[sample=56] cpu=0 bench=fmref cycles=673204 instructions=417298 cache-misses=54
