[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=fmref cycles=899005 instructions=454818 cache-misses=145
[sample=1] cpu=0 bench=fmref cycles=680781 instructions=417304 cache-misses=74
[sample=2] cpu=0 bench=fmref cycles=670100 instructions=417306 cache-misses=76
[sample=3] cpu=0 bench=fmref cycles=670531 instructions=417304 cache-misses=77
[sample=4] cpu=0 bench=fmref cycles=670418 instructions=417305 cache-misses=70
[sample=5] cpu=0 bench=fmref cycles=664747 instructions=417301 cache-misses=59
[sample=6] cpu=0 bench=fmref cycles=668865 instructions=417305 cache-misses=55
[sample=7] cpu=0 bench=fmref cycles=670561 instructions=417300 cache-misses=65
[sample=8] cpu=0 bench=fmref cycles=665358 instructions=417301 cache-misses=62
[sample=9] cpu=0 bench=fmref cycles=663606 instructions=417306 cache-misses=62
[sample=10] cpu=0 bench=fmref cycles=664689 instructions=417302 cache-misses=76
[sample=11] cpu=0 bench=fmref cycles=669452 instructions=417299 cache-misses=81
[sample=12] cpu=0 bench=fmref cycles=668013 instructions=417301 cache-misses=63
[sample=13] cpu=0 bench=fmref cycles=668964 instructions=417302 cache-misses=65
[sample=14] cpu=0 bench=fmref cycles=669986 instructions=417304 cache-misses=73
[sample=15] cpu=0 bench=fmref cycles=669613 instructions=417295 cache-misses=63
[sample=16] cpu=0 bench=fmref cycles=663567 instructions=417299 cache-misses=55
[sample=17] cpu=0 bench=fmref cycles=665426 instructions=417298 cache-misses=61
[sample=18] cpu=0 bench=fmref cycles=661350 instructions=417298 cache-misses=57
[sample=19] cpu=0 bench=fmref cycles=662517 instructions=417302 cache-misses=75
[sample=20] cpu=0 bench=fmref cycles=668177 instructions=417296 cache-misses=62
[sample=21] cpu=0 bench=fmref cycles=663861 instructions=417300 cache-misses=82
[sample=22] cpu=0 bench=fmref cycles=671101 instructions=417305 cache-misses=62
[sample=23] cpu=0 bench=fmref cycles=672770 instructions=417301 cache-misses=79
[sample=24] cpu=0 bench=fmref cycles=669703 instructions=417303 cache-misses=77
[sample=25] cpu=0 bench=fmref cycles=666686 instructions=417301 cache-misses=61
[sample=26] cpu=0 bench=fmref cycles=662825 instructions=417300 cache-misses=63
[sample=27] cpu=0 bench=fmref cycles=669862 instructions=417299 cache-misses=77
[sample=28] cpu=0 bench=fmref cycles=669782 instructions=417300 cache-misses=80
[sample=29] cpu=0 bench=fmref cycles=662888 instructions=417303 cache-misses=67
[sample=30] cpu=0 bench=fmref cycles=668713 instructions=417306 cache-misses=68
[sample=31] cpu=0 bench=fmref cycles=665523 instructions=417298 cache-misses=69
[sample=32] cpu=0 bench=fmref cycles=669471 instructions=417305 cache-misses=69
[sample=33] cpu=0 bench=fmref cycles=676259 instructions=417307 cache-misses=80
[sample=34] cpu=0 bench=fmref cycles=665855 instructions=417301 cache-misses=70
[sample=35] cpu=0 bench=fmref cycles=664138 instructions=417301 cache-misses=59
[sample=36] cpu=0 bench=fmref cycles=668229 instructions=417301 cache-misses=59
[sample=37] cpu=0 bench=fmref cycles=663831 instructions=417298 cache-misses=65
[sample=38] cpu=0 bench=fmref cycles=660505 instructions=417302 cache-misses=51
[sample=39] cpu=0 bench=fmref cycles=661524 instructions=417298 cache-misses=67
[sample=40] cpu=0 bench=fmref cycles=666684 instructions=417302 cache-misses=73
[sample=41] cpu=0 bench=fmref cycles=662722 instructions=417304 cache-misses=62
[sample=42] cpu=0 bench=fmref cycles=662676 instructions=417301 cache-misses=79
[sample=43] cpu=0 bench=fmref cycles=664093 instructions=417300 cache-misses=67
[sample=44] cpu=0 bench=fmref cycles=665005 instructions=417296 cache-misses=55
[sample=45] cpu=0 bench=fmref cycles=664207 instructions=417298 cache-misses=64
[sample=46] cpu=0 bench=fmref cycles=660886 instructions=417299 cache-misses=63
[sample=47] cpu=0 bench=fmref cycles=665468 instructions=417305 cache-misses=84
[sample=48] cpu=0 bench=fmref cycles=670047 instructions=417300 cache-misses=67
[sample=49] cpu=0 bench=fmref cycles=667184 instructions=417300 cache-misses=60
[sample=50] cpu=0 bench=fmref cycles=666375 instructions=417298 cache-misses=58
[sample=51] cpu=0 bench=fmref cycles=662793 instructions=417305 cache-misses=74
[sample=52] cpu=0 bench=fmref cycles=668727 instructions=417303 cache-misses=67
[sample=53] cpu=0 bench=fmref cycles=665675 instructions=417299 cache-misses=60
[sample=54] cpu=0 bench=fmref cycles=668608 instructions=417303 cache-misses=74
[sample=55] cpu=0 bench=fmref cycles=665727 instructions=417296 cache-misses=59
[sample=56] cpu=0 bench=fmref cycles=665019 instructions=417302 cache-misses=75
[sample=57] cpu=0 bench=fmref cycles=666423 instructions=417298 cache-misses=65
[sample=58] cpu=0 bench=fmref cycles=670495 instructions=417301 cache-misses=68
[sample=59] cpu=0 bench=fmref cycles=664334 instructions=417302 cache-misses=54
[sample=60] cpu=0 bench=fmref cycles=662855 instructions=417300 cache-misses=82
[sample=61] cpu=0 bench=fmref cycles=668582 instructions=417298 cache-misses=63
[sample=62] cpu=0 bench=fmref cycles=666299 instructions=417303 cache-misses=80
[sample=63] cpu=0 bench=fmref cycles=668463 instructions=417305 cache-misses=84
[sample=64] cpu=0 bench=fmref cycles=671069 instructions=417301 cache-misses=64
[sample=65] cpu=0 bench=fmref cycles=667226 instructions=417301 cache-misses=62
[sample=66] cpu=0 bench=fmref cycles=662662 instructions=417304 cache-misses=62
[sample=67] cpu=0 bench=fmref cycles=673371 instructions=417301 cache-misses=83
[sample=68] cpu=0 bench=fmref cycles=671405 instructions=417307 cache-misses=82
[sample=69] cpu=0 bench=fmref cycles=661535 instructions=417300 cache-misses=64
[sample=70] cpu=0 bench=fmref cycles=671638 instructions=417301 cache-misses=56
[sample=71] cpu=0 bench=fmref cycles=675182 instructions=417304 cache-misses=60
[sample=72] cpu=0 bench=fmref cycles=672808 instructions=417299 cache-misses=71
[sample=73] cpu=0 bench=fmref cycles=667905 instructions=417305 cache-misses=72
