[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=MEM  cpu2=MEM  cpu3=CACHE
[sample=0] cpu=0 bench=iir cycles=38183 instructions=2593 cache-misses=16
[sample=1] cpu=0 bench=iir cycles=16436 instructions=2589 cache-misses=11
[sample=2] cpu=0 bench=iir cycles=8850 instructions=2589 cache-misses=8
[sample=3] cpu=0 bench=iir cycles=4154 instructions=2589 cache-misses=7
[sample=4] cpu=0 bench=iir cycles=9782 instructions=2589 cache-misses=9
[sample=5] cpu=0 bench=iir cycles=5070 instructions=2589 cache-misses=8
[sample=6] cpu=0 bench=iir cycles=4349 instructions=2589 cache-misses=9
[sample=7] cpu=0 bench=iir cycles=4158 instructions=2589 cache-misses=7
[sample=8] cpu=0 bench=iir cycles=4003 instructions=2589 cache-misses=6
[sample=9] cpu=0 bench=iir cycles=3995 instructions=2588 cache-misses=6
[sample=10] cpu=0 bench=iir cycles=4829 instructions=2589 cache-misses=6
[sample=11] cpu=0 bench=iir cycles=4160 instructions=2589 cache-misses=7
[sample=12] cpu=0 bench=iir cycles=4347 instructions=2589 cache-misses=8
[sample=13] cpu=0 bench=iir cycles=4629 instructions=2588 cache-misses=8
[sample=14] cpu=0 bench=iir cycles=4497 instructions=2589 cache-misses=8
[sample=15] cpu=0 bench=iir cycles=5016 instructions=2589 cache-misses=7
[sample=16] cpu=0 bench=iir cycles=3786 instructions=2589 cache-misses=6
[sample=17] cpu=0 bench=iir cycles=4344 instructions=2589 cache-misses=8
[sample=18] cpu=0 bench=iir cycles=3916 instructions=2589 cache-misses=7
[sample=19] cpu=0 bench=iir cycles=3977 instructions=2589 cache-misses=7
[sample=20] cpu=0 bench=iir cycles=4843 instructions=2588 cache-misses=7
[sample=21] cpu=0 bench=iir cycles=4088 instructions=2589 cache-misses=7
[sample=22] cpu=0 bench=iir cycles=4155 instructions=2589 cache-misses=8
[sample=23] cpu=0 bench=iir cycles=3976 instructions=2589 cache-misses=8
[sample=24] cpu=0 bench=iir cycles=4519 instructions=2589 cache-misses=7
[sample=25] cpu=0 bench=iir cycles=4924 instructions=2589 cache-misses=6
[sample=26] cpu=0 bench=iir cycles=4368 instructions=2589 cache-misses=7
[sample=27] cpu=0 bench=iir cycles=4317 instructions=2589 cache-misses=6
[sample=28] cpu=0 bench=iir cycles=4296 instructions=2589 cache-misses=7
[sample=29] cpu=0 bench=iir cycles=4143 instructions=2589 cache-misses=7
[sample=30] cpu=0 bench=iir cycles=3926 instructions=2589 cache-misses=7
[sample=31] cpu=0 bench=iir cycles=3946 instructions=2589 cache-misses=5
[sample=32] cpu=0 bench=iir cycles=4374 instructions=2588 cache-misses=6
[sample=33] cpu=0 bench=iir cycles=4587 instructions=2588 cache-misses=6
[sample=34] cpu=0 bench=iir cycles=4163 instructions=2588 cache-misses=7
[sample=35] cpu=0 bench=iir cycles=3934 instructions=2588 cache-misses=7
[sample=36] cpu=0 bench=iir cycles=4203 instructions=2588 cache-misses=7
[sample=37] cpu=0 bench=iir cycles=4064 instructions=2589 cache-misses=7
[sample=38] cpu=0 bench=iir cycles=3925 instructions=2588 cache-misses=7
[sample=39] cpu=0 bench=iir cycles=4160 instructions=2589 cache-misses=8
[sample=40] cpu=0 bench=iir cycles=3696 instructions=2589 cache-misses=5
[sample=41] cpu=0 bench=iir cycles=4497 instructions=2589 cache-misses=7
[sample=42] cpu=0 bench=iir cycles=4055 instructions=2589 cache-misses=7
[sample=43] cpu=0 bench=iir cycles=4291 instructions=2589 cache-misses=6
[sample=44] cpu=0 bench=iir cycles=4452 instructions=2589 cache-misses=6
[sample=45] cpu=0 bench=iir cycles=4498 instructions=2588 cache-misses=8
[sample=46] cpu=0 bench=iir cycles=3900 instructions=2588 cache-misses=6
[sample=47] cpu=0 bench=iir cycles=4629 instructions=2589 cache-misses=7
[sample=48] cpu=0 bench=iir cycles=8903 instructions=2589 cache-misses=6
[sample=49] cpu=0 bench=iir cycles=4420 instructions=2588 cache-misses=7
[sample=50] cpu=0 bench=iir cycles=3852 instructions=2588 cache-misses=7
[sample=51] cpu=0 bench=iir cycles=4570 instructions=2588 cache-misses=5
[sample=52] cpu=0 bench=iir cycles=5855 instructions=2588 cache-misses=7
[sample=53] cpu=0 bench=iir cycles=4073 instructions=2588 cache-misses=9
[sample=54] cpu=0 bench=iir cycles=4276 instructions=2589 cache-misses=9
[sample=55] cpu=0 bench=iir cycles=4523 instructions=2589 cache-misses=7
[sample=56] cpu=0 bench=iir cycles=4309 instructions=2589 cache-misses=6
[sample=57] cpu=0 bench=iir cycles=4519 instructions=2589 cache-misses=7
[sample=58] cpu=0 bench=iir cycles=4306 instructions=2589 cache-misses=7
[sample=59] cpu=0 bench=iir cycles=4554 instructions=2589 cache-misses=5
[sample=60] cpu=0 bench=iir cycles=4569 instructions=2589 cache-misses=8
