[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot read /sys/devices/system/cpu/cpu5/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu5
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu5/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu5/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu5 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=6, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=BUS  cpu5=BUS
sched_setaffinity: Invalid argument
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=iir cycles=36890 instructions=2592 cache-misses=18
[sample=1] cpu=0 bench=iir cycles=8901 instructions=2588 cache-misses=15
[sample=2] cpu=0 bench=iir cycles=11482 instructions=2588 cache-misses=9
[sample=3] cpu=0 bench=iir cycles=4537 instructions=2588 cache-misses=8
[sample=4] cpu=0 bench=iir cycles=6373 instructions=2588 cache-misses=8
[sample=5] cpu=0 bench=iir cycles=4579 instructions=2588 cache-misses=10
[sample=6] cpu=0 bench=iir cycles=5157 instructions=2588 cache-misses=8
[sample=7] cpu=0 bench=iir cycles=6092 instructions=2588 cache-misses=7
[sample=8] cpu=0 bench=iir cycles=4968 instructions=2588 cache-misses=7
[sample=9] cpu=0 bench=iir cycles=4733 instructions=2588 cache-misses=7
[sample=10] cpu=0 bench=iir cycles=5063 instructions=2588 cache-misses=7
[sample=11] cpu=0 bench=iir cycles=9485 instructions=2588 cache-misses=10
[sample=12] cpu=0 bench=iir cycles=5062 instructions=2588 cache-misses=8
[sample=13] cpu=0 bench=iir cycles=5299 instructions=2588 cache-misses=9
[sample=14] cpu=0 bench=iir cycles=8204 instructions=2588 cache-misses=9
